formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ag16 Se12 Sn2,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5333,-0.5333,0.62,0.3022,0.45,0.2154,1.0,0.4899,5.875
Ag4 O6,2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1.51,0.7397,1.0,0.4899,3.0,1.4697,6.0
Ag2 Bi6 S10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,-0.0,0.65,0.2906,0.6,0.2981,3.0,1.3966,5.0
Ag2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.0,0.71,0.2923,0.2,0.075,3.0,1.299,10.0
Ag1 F1,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.05,1.025,1.1,0.55,3.0,1.5,6.0
Ag2 F8 Na2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,-0.3333,3.05,1.2363,1.3,0.5686,3.0,1.1055,5.0
Ag2 Al6 Br2 Na6 O24 Si6,6,0.0,0.1304,0.0,0.5217,0.0435,0.0,0.1304,0.0,0.0,0.0435,-1.0435,2.51,0.974,1.2,0.4386,3.0,0.7655,4.0
Ag3 In1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,0.15,0.065,0.05,0.0217,0.0,0.0,12.0
Ag2 Th4,2,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,3.0,0.63,0.297,0.2,0.0943,4.0,1.8856,9.0
Ag4 S2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.65,0.3064,0.6,0.2828,2.0,0.9428,6.5
Ag4 Ge2 S6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.3333,0.65,0.3128,0.6,0.2684,2.0,0.8975,5.0
Ag32 Ge4 S24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.5333,-0.5333,0.65,0.3147,0.6,0.2878,2.0,0.9568,5.625
Ag2 Mn12 O48 P14,4,0.0,0.0,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.1842,-1.4737,1.89,0.7673,1.0,0.325,3.0,0.847,6.0
Ag3 As3 Ca3,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.0,1.18,0.5077,0.65,0.2718,1.0,0.4714,8.0
Ag8 O28 P8 Zn4,4,0.0,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.25,-1.3333,1.79,0.7324,1.0,0.3908,3.0,1.1426,7.0
Ag2 Ce2 Ge2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.0,0.89,0.402,0.6,0.2461,4.0,1.6997,7.0
Ag3 Si3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.0,1.93,0.9028,0.65,0.2779,5.0,2.0548,7.0
Ag1 Ce1 Mg2,3,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.0,0.81,0.3059,0.35,0.1431,5.0,2.0463,10.0
Ag8 Sr8,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.98,0.49,0.4,0.2,0.0,0.0,8.0
Ag2 Rb4 Se8 V2,4,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.73,0.7152,1.2,0.4949,1.0,0.4841,5.0
Ag1 Ce1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.0,0.81,0.405,0.25,0.125,3.0,1.5,11.0
Ag2 As2 Hg2 S6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.1667,0.65,0.2817,0.6,0.249,3.0,1.1547,5.0
Ag2 C2 N2 O2,4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,-2.0,1.51,0.564,1.0,0.4129,3.0,1.299,5.0
Ag2 Au4 S4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.65,0.2526,0.6,0.2311,3.0,1.3565,5.0
Ag1 F12 Sb2,3,0.0,0.0,0.0,0.0,0.8,0.0,0.1333,0.0,0.0,0.0667,-1.1333,2.05,0.7884,1.1,0.4012,3.0,1.2,6.0
Ag8 B8 F32 H16 O8,5,0.0,0.0,0.0,0.1111,0.4444,0.0,0.1111,0.0,0.0,0.1111,-0.4444,2.05,0.902,1.35,0.3866,4.0,1.0999,7.0
