formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Al2 Au2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.3333,1.0,0.4558,0.15,0.0624,3.0,1.2472,8.0
Al2 Cl12 I2,3,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,-0.5,1.55,0.5157,0.4,0.1456,2.0,0.6614,4.0
Al16 Be2 Mg6 O32,4,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9481,0.9,0.3547,1.0,0.4884,5.75
Al2 La2 O6,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.0,2.34,1.0341,1.35,0.5376,6.0,2.3324,6.0
Al6 Na8 O28 S1 Si6,5,0.0,0.1633,0.0,0.5714,0.0,0.0,0.1224,0.0,0.0,0.0,-1.1429,2.51,1.0191,1.2,0.4492,1.0,0.4949,4.0
Al16 Mg8 O32,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9596,0.9,0.371,1.0,0.4949,5.75
Al4 Th2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,3.3333,0.31,0.1461,0.55,0.2593,6.0,2.8284,10.0
Al2 Y2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.39,0.195,0.55,0.275,2.0,1.0,8.0
Al1 Ni3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.3,0.1299,0.1,0.0433,1.0,0.433,12.0
Al1 Co2 Mn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.33,0.1515,0.15,0.0545,1.0,0.433,10.0
Al4 Au4 Eu2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,2.8,2.54,0.9284,0.6,0.2245,5.0,1.9391,6.5
Al4 H16 Li4,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.4638,1.2,0.5217,2.0,0.7638,4.0
Al40 Ce2 Co4,3,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.087,2.913,0.76,0.1295,0.6,0.1237,5.0,1.0398,9.6999999999999993
Al4 Cl16 Pd2,3,0.0,0.0,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0909,-0.0,1.55,0.62,0.4,0.1386,2.0,0.575,4.0
Al2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,1.9,0.7139,0.65,0.2396,5.0,2.0,6.0
Al1 Cu2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.54,0.2255,0.35,0.1293,1.0,0.433,10.0
Ag2 Al6 Br2 Na6 O24 Si6,6,0.0,0.1304,0.0,0.5217,0.0435,0.0,0.1304,0.0,0.0,0.0435,-1.0435,2.51,0.974,1.2,0.4386,3.0,0.7655,4.0
