formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
As4 Cl4 Hg12 O16,4,0.0,0.0,0.0,0.4444,0.1111,0.0,0.1111,0.0,0.0,0.3333,-1.0,1.44,0.6726,0.9,0.3961,4.0,1.7638,4.0
As2 Li2 Mn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,1.2,0.4901,0.3,0.1312,2.0,0.9428,7.0
As6 Rb4,2,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.4,1.36,0.6663,1.2,0.5879,1.0,0.4899,5.0
As2 Ni2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.23,0.4543,0.85,0.313,1.0,0.4,7.0
As2 Cl10,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.1667,0.0,0.0,0.0,-1.3333,0.98,0.3652,0.15,0.0559,1.0,0.3727,5.0
As4 Fe4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.5,0.35,0.175,0.25,0.125,0.0,0.0,7.0
As2 F12 I6,3,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,-1.2,1.8,0.7176,0.9,0.416,3.0,1.3748,6.0
As6 Br2 Cd4,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.5,0.0,0.0,0.3333,-1.0,1.27,0.4246,0.4,0.1886,1.0,0.4714,5.0
As2 O1 Yb4,3,0.0,0.0,0.0,0.1429,0.0,0.5714,0.2857,0.0,0.5714,0.0,0.5714,3.44,1.3441,1.15,0.4232,6.0,2.3905,6.0
As6 Ca10,2,0.0,0.0,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,1.18,0.5713,0.65,0.3147,0.0,0.0,7.0
As1 Li1 Zn1,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.0,1.2,0.491,0.3,0.1247,2.0,0.9428,8.0
As2 Cu2 Eu2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,2.18,0.9684,0.7,0.2944,4.0,1.8856,6.0
As4 Au2 K10,3,0.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.25,1.72,0.724,1.05,0.4795,2.0,0.6614,5.0
As4 H4 Hg4 O20 Zn4,5,0.0,0.0,0.0,0.5556,0.0,0.0,0.1111,0.0,0.0,0.2222,-1.2222,1.79,0.7269,1.25,0.3968,5.0,1.4741,4.0
As6 H2 Sr10,3,0.0,0.0,0.5556,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.25,0.6137,1.75,0.594,4.0,1.2273,8.0
As1 Np1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.82,0.41,0.6,0.3,5.0,2.5,6.0
As4 Ge2 K4,3,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.6,1.36,0.6415,1.05,0.4994,0.0,0.0,5.0
As2 Ca2 F2 Mg2 O8,5,0.0,0.0,0.25,0.5,0.125,0.0,0.125,0.0,0.0,0.0,-1.0,2.98,1.0531,1.3,0.4677,2.0,0.857,4.0
As1 Rh2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,1.0,0.1,0.0471,0.2,0.0943,1.0,0.4714,8.0
As8 In8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.2,1.0,0.5,5.0
As8 Se12,2,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,-2.4,0.37,0.1813,0.0,0.0,0.0,0.0,5.0
As3 Fe3 Mn3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.63,0.2577,0.25,0.1179,0.0,0.0,8.0
As4 Hf4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.88,0.44,0.4,0.2,2.0,1.0,6.5
As8 Li8,2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-1.0,1.2,0.6,0.3,0.15,2.0,1.0,7.0
Ag3 As3 Ca3,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.0,1.18,0.5077,0.65,0.2718,1.0,0.4714,8.3333333333333339
As4 Nd2 Ni4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.04,0.3816,0.7,0.2561,4.0,1.6,6.5
As2 Cr4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,1.0,0.52,0.2451,0.25,0.1179,0.0,0.0,7.0
As8 O28 Ti4,3,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.1,-1.6,1.9,0.6951,0.8,0.2973,2.0,0.9165,4.0
As3 B3 O12,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,-1.3333,1.4,0.6283,0.55,0.2075,2.0,0.7454,4.0
As8 K8 O40 Sn8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.125,0.0,0.0,0.0,-2.0,2.62,0.9388,1.6,0.5545,3.0,1.1659,4.0
As6 Rh7 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.2353,0.3529,0.0,0.2353,0.4118,0.8824,2.28,0.9486,0.6,0.2263,4.0,1.5317,7.0
As2 F10,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.1667,0.0,0.0,0.0,-1.3333,1.8,0.6708,0.65,0.2422,2.0,0.7454,5.0
As4 Pd8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.02,0.0094,0.25,0.1179,1.0,0.4714,8.5
As2 Ba1 Ni2 O8,4,0.0,0.0,0.0769,0.6154,0.0,0.0,0.1538,0.0,0.0,0.1538,-1.2308,2.55,0.8447,1.55,0.4647,4.0,1.2686,4.0
