formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Al2 Au2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.3333,1.0,0.4558,0.15,0.0624,3.0,1.2472,8.0
Au8 La16 O36,3,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0,0.2667,0.4,0.0,2.34,1.0073,1.35,0.5911,6.0,2.68,5.0
Au4 I16 K4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,1.84,0.6782,0.85,0.3024,2.0,0.5774,5.0
Au2 Ba2 Bi2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,1.65,0.6888,0.8,0.3342,0.0,0.0,11.0
Au2 Nb1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6667,0.94,0.4431,0.1,0.0471,1.0,0.4714,8.0
Au8 Nd16 O36,3,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0,0.2667,0.1333,0.0,2.3,0.9904,1.25,0.5513,6.0,2.68,5.0
Au2 Br8 Rb2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,2.14,0.7814,1.2,0.4384,2.0,0.7638,5.0
Al4 Au4 Eu2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,2.8,2.54,0.9284,0.6,0.2245,5.0,1.9391,6.5
Au3 In3 La3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.44,0.5882,0.6,0.2494,3.0,1.2472,8.6666666666666661
Au2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,3.0,1.32,0.5564,0.4,0.1658,3.0,1.0897,10.0
As4 Au2 K10,3,0.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.25,1.72,0.724,1.05,0.4795,2.0,0.6614,5.0
Au2 Ce2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.42,0.5829,0.5,0.216,3.0,1.2472,7.0
Au1 Sc1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,1.18,0.4818,0.25,0.1027,2.0,0.8165,8.0
Au2 Ca2 P2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,1.54,0.6591,0.8,0.3274,3.0,1.2472,6.0
Au2 Th1,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.3333,1.24,0.5845,0.45,0.2121,3.0,1.4142,7.0
Al10 Au20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.0,0.93,0.4384,0.1,0.0471,3.0,1.4142,9.5999999999999996
Al14 Au6 Ho2,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.2727,3.0,1.31,0.4483,0.5,0.142,5.0,1.7628,8.0
Au4 Dy4 In2,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,3.0,1.32,0.5917,0.4,0.1789,3.0,1.2,8.0
Au2 P2 S8 Tl4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.75,0.96,0.4041,0.9,0.3816,3.0,1.4524,4.0
Au2 Cu2 Se8,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.5,0.65,0.2415,0.2,0.0943,2.0,0.7454,5.0
Au2 Ge8 Rb6,3,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.125,-1.25,1.72,0.6494,1.1,0.5238,2.0,0.696,6.0
Au2 Eu2 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.54,1.1002,0.5,0.216,3.0,1.2472,6.0
Au2 Ge2 Ho2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.31,0.538,0.5,0.216,4.0,1.633,7.0
