formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
B12 Cs2 H12,3,0.0,0.0769,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,1.0,1.41,0.3626,2.35,0.6176,5.0,1.2918,3.0
B4 Na8 O10,3,0.0,0.3636,0.0,0.4545,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,2.51,1.1335,1.2,0.5503,1.0,0.481,4.0
B2 Ir3 U1,3,0.1667,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.5,3.5,0.82,0.2907,0.9,0.3162,7.0,2.4777,7.0
B4 Ba2 S8,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,1.69,0.5786,1.3,0.425,4.0,1.2454,4.0
B2 W1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,3.3333,0.32,0.1508,0.5,0.2357,4.0,1.8856,5.0
B4 Rb4 S12,3,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.4,1.76,0.6828,1.5,0.558,3.0,0.9798,4.0
B16 Cr4 Th4,3,0.1667,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.1667,0.1667,3.1667,0.74,0.2837,0.95,0.3719,7.0,2.5658,5.0
B2 Mn1 O6 Sn1,4,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.1,-0.8,1.89,0.7665,0.85,0.3202,3.0,1.0247,4.0
B1 Ce1 Pt3,3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,2.4,1.16,0.4497,1.0,0.3162,6.0,1.9596,5.0
B2 C8 Cs2 N8,4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-2.4,2.25,0.6564,1.95,0.5745,4.0,1.2,4.0
B4 Co11 Pr3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.2222,0.0,0.1667,0.6111,2.3889,0.91,0.3024,1.0,0.3106,6.0,1.8725,7.0
B2 Ce3 N4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.2222,0.0,0.3333,0.0,0.3333,1.92,0.8412,1.2,0.5398,6.0,2.8284,4.0
B4 Na12 P8,3,0.0,0.5,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.26,0.6071,0.95,0.4279,1.0,0.3727,4.0
B12 Dy8 O30,3,0.0,0.0,0.0,0.6,0.0,0.16,0.24,0.0,0.16,0.0,0.0,2.22,0.8838,1.15,0.4087,6.0,2.1996,4.0
B2 Rh3 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.0,1.11,0.3928,1.0,0.3436,6.0,2.0616,7.0
B16 Fe4 Sm4,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.6667,0.0,0.1667,0.1667,2.8333,0.87,0.318,1.0,0.3877,6.0,2.2111,5.0
B2 C1 Er1 Ni2,4,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.3333,1.5,1.31,0.3837,1.05,0.3702,6.0,2.1344,4.0
B4 Ce1 O12 Sc3,4,0.0,0.0,0.0,0.6,0.0,0.05,0.2,0.0,0.05,0.15,0.0,2.32,0.8993,1.25,0.4144,6.0,1.4283,4.0
B3 Ca4 La1 O10,4,0.0,0.0,0.2222,0.5556,0.0,0.0556,0.1667,0.0,0.0556,0.0556,-0.0,2.44,1.0648,1.35,0.5336,6.0,1.5113,3.0
B12 O2,2,0.0,0.0,0.0,0.1429,0.0,0.0,0.8571,0.0,0.0,0.0,2.2857,1.4,0.4899,0.25,0.0875,0.0,0.0,4.0
B4 Dy4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.22,0.9239,1.15,0.4456,6.0,2.4,3.0
B4 Fe56 Nd8,3,0.0,0.0,0.0,0.0,0.0,0.1176,0.0588,0.0,0.1176,0.8235,2.1765,0.9,0.2321,1.0,0.203,6.0,1.4118,7.0
B4 Mo10 Si2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,2.75,0.26,0.0902,0.6,0.2603,3.0,1.3229,8.0
B6 N12 Pr6,3,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,1.91,0.7955,1.2,0.4975,6.0,2.5981,4.0
B8 Na8 S20,3,0.0,0.2222,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,-0.2222,1.65,0.658,0.95,0.3555,1.0,0.4157,4.0
