formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ba1 Si2,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,-2.0,1.01,0.4761,1.05,0.495,3.0,1.4142,10.0
Ba1 Mo1 O3,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.55,1.0205,1.55,0.6282,4.0,1.7436,12.0
Ba2 O10 Pd2 Y4,4,0.0,0.0,0.1111,0.5556,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,2.55,1.0735,1.55,0.616,4.0,1.6405,11.0
Ba1 La1 Mn1 Mo1 O6,5,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.3,-0.1,2.55,1.034,1.55,0.5931,6.0,2.0616,12.0
Ba1 F6 Ti1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.125,0.0,3.09,1.2083,1.65,0.5831,4.0,1.3919,11.0
Ba2 Fe4 S6,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,1.69,0.6171,1.15,0.41,3.0,1.0672,10.0
Ba1 Ru4 Sb12,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.31,0.2887,0.85,0.1846,1.0,0.2353,13.0
Ba2 La1 O6 Ta1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.2,0.0,2.55,1.1596,1.55,0.6739,6.0,2.2716,8.0
Au2 Ba2 Bi2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,1.65,0.6888,0.8,0.3342,0.0,0.0,8.0
Ba2 O6 Tb2,3,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,-0.2,3.44,1.494,1.55,0.6733,6.0,2.5298,8.0
Ba3 Pb9,2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.44,0.6235,0.35,0.1516,0.0,0.0,11.333333333333334
Ba4 F20 Sb4,3,0.0,0.0,0.1429,0.0,0.7143,0.0,0.1429,0.0,0.0,0.0,-0.8571,3.09,1.1755,1.65,0.6164,4.0,1.6036,8.0
Ba2 Ca2 Cu3 Hg1 O8,5,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.0625,2.55,1.0613,1.55,0.5866,4.0,1.536,8.0
B4 Ba2 S8,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,1.69,0.5786,1.3,0.425,4.0,1.2454,9.0
Ba2 Hg4,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,1.11,0.5233,0.65,0.3064,0.0,0.0,12.0
Ba6 O10 Si2,3,0.0,0.0,0.3333,0.5556,0.0,0.0,0.1111,0.0,0.0,0.0,-0.8889,2.55,1.1783,1.55,0.7079,4.0,1.8325,7.333333333333333
Ba6 O18 Ru4 Tb2,4,0.0,0.0,0.2,0.6,0.0,0.0667,0.0,0.0,0.0667,0.1333,-0.2,3.44,1.2149,1.55,0.6353,6.0,2.0591,11.333333333333334
Ba4 O44 Ti20,3,0.0,0.0,0.0588,0.6471,0.0,0.0,0.0,0.0,0.0,0.2941,0.0,2.55,0.9705,1.55,0.4722,4.0,1.1998,8.0
Ba2 Bi1 O6 Y1,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,2.55,1.1096,1.55,0.666,4.0,1.8574,12.0
Ba1 Pt5,2,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,2.0,1.39,0.518,0.8,0.2981,0.0,0.0,14.0
Ba1 Mg2 P2,3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5227,1.15,0.4238,3.0,1.2,9.0
Ba4 Ca2 O12 Pd6,4,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,2.55,1.0411,1.55,0.6072,4.0,1.6562,9.0
Ba2 In4,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6667,0.89,0.4196,0.6,0.2828,1.0,0.4714,11.0
Ba4 Cr4 O16,3,0.0,0.0,0.1667,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,-0.5,2.55,1.0445,1.55,0.5947,4.0,1.5275,8.0
