formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Al16 Be2 Mg6 O32,4,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9481,0.9,0.3547,1.0,0.4884,4.0
Be4 H16 N4 O16 P4,5,0.0,0.0,0.0909,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,1.87,0.6628,0.8,0.2751,2.0,0.6166,4.0
Be4 Ho4 O14 Si2,4,0.0,0.0,0.1667,0.5833,0.0,0.1667,0.0833,0.0,0.1667,0.0,-0.6667,2.21,0.9701,1.15,0.4242,6.0,2.2158,4.0
Be4 Li4 N4,3,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.8662,0.8,0.3266,0.0,0.0,5.0
Be26 Ca2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.57,0.1468,0.75,0.1932,2.0,0.5151,9.2307692307692299
Be1 O1,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.935,0.45,0.225,0.0,0.0,6.0
Be1 Rh1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.71,0.355,0.3,0.15,3.0,1.5,10.0
Be6 K8 O10,3,0.0,0.3333,0.25,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.1681,1.6,0.6978,2.0,0.9428,4.0
Be24 N16,2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.47,0.7201,0.4,0.196,0.0,0.0,5.0
Be26 Th2,2,0.0714,0.0,0.9286,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,2.1429,0.27,0.0695,0.75,0.1932,7.0,1.8028,8.3076923076923084
Be4 Ge2 O14 Pr4,4,0.0,0.0,0.1667,0.5833,0.0,0.1667,0.0833,0.0,0.1667,0.0,-0.6667,2.31,0.9884,1.25,0.4642,6.0,2.2298,4.0
Be4 Fe2 O20 Si4 Y4,5,0.0,0.0,0.1176,0.5882,0.0,0.0,0.1176,0.0,0.0,0.1765,-0.9412,2.22,0.9217,1.2,0.4127,3.0,1.0323,4.0
Be4 H12 Li4,3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.4901,1.2,0.506,1.0,0.4899,6.0
Be2 F8 K2 Li2,4,0.0,0.2857,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.4294,1.7,0.6132,2.0,0.6999,4.0
Al2 Be2 H10,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.63,0.2758,1.0,0.4101,2.0,0.7284,4.0
Be26 Hf2,2,0.0,0.0,0.9286,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,2.1429,0.27,0.0695,0.5,0.1288,4.0,1.0302,8.3076923076923084
Be8 Na16 O32 Si8,4,0.0,0.25,0.125,0.5,0.0,0.0,0.125,0.0,0.0,0.0,-1.0,2.51,1.0946,1.2,0.4911,1.0,0.4841,4.0
Be16 H96 K16 N48,4,0.0,0.0909,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0909,2.22,0.6321,1.95,0.5644,3.0,0.8814,4.0
Be2 C4 N4,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,1.47,0.5368,0.4,0.1517,0.0,0.0,4.0
Be2 Zr1,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,0.24,0.1131,0.5,0.2357,3.0,1.4142,7.0
Be6 Cd8 O24 S2 Si6,5,0.0,0.0,0.1304,0.5217,0.0,0.0,0.1304,0.0,0.0,0.1739,-1.0435,1.87,0.8436,0.95,0.3591,3.0,1.1204,4.0
Au2 Be1,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.6667,0.97,0.4573,0.3,0.1414,4.0,1.8856,9.0
Au1 Be5,2,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.1667,0.97,0.3615,0.3,0.1118,4.0,1.4907,11.199999999999999
Be4 N4 Sr2,3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.852,1.35,0.4936,3.0,1.2,4.0
Be4 Cu2,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.0,0.33,0.1556,0.3,0.1414,2.0,0.9428,10.0
Be1 H3 Na1,3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.5075,1.55,0.6226,2.0,0.8,6.0
Be6 Ge6 Mn8 O24 S2,5,0.0,0.0,0.1304,0.5217,0.0,0.0,0.1304,0.0,0.0,0.1739,-1.0435,1.89,0.8613,0.8,0.3313,2.0,0.9141,4.0
Be12 Ti1,2,0.0,0.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,2.1538,0.03,0.008,0.35,0.0933,2.0,0.5329,10.0
B4 Be2 Na4 O10,4,0.0,0.2,0.1,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.51,1.0309,1.2,0.4566,1.0,0.4,4.0
Al4 Be6 O36 Si12,4,0.0,0.0,0.1034,0.6207,0.0,0.0,0.2069,0.0,0.0,0.0,-1.6552,1.87,0.8222,0.65,0.2527,1.0,0.4469,4.0
As2 Be2 Na2,3,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-0.0,1.25,0.5104,0.75,0.3325,2.0,0.8165,5.0
Be2 Li2 P2,3,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.494,0.45,0.2014,1.0,0.4714,8.0
Be6 Ge6 Mn8 O24 Se2,5,0.0,0.0,0.1304,0.5652,0.0,0.0,0.1304,0.0,0.0,0.1739,-1.0435,1.89,0.8614,0.8,0.3347,2.0,0.9526,4.0
Al4 Be1 Br2 Na8 O24 Si7,6,0.0,0.1739,0.0217,0.5217,0.0435,0.0,0.1522,0.0,0.0,0.0,-1.2174,2.51,1.0193,1.2,0.4496,2.0,0.5805,4.0
B2 Be8,2,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.2,0.47,0.188,0.2,0.08,0.0,0.0,8.75
Be4 Na8 O16 Si4,4,0.0,0.25,0.125,0.5,0.0,0.0,0.125,0.0,0.0,0.0,-1.0,2.51,1.0946,1.2,0.4911,1.0,0.4841,4.0
Be8 Re4,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,0.33,0.1556,0.3,0.1414,4.0,1.8856,9.25
Be4 F16 Na8,3,0.0,0.2857,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,3.05,1.4176,1.3,0.5688,1.0,0.4518,4.0
Be4 K8 O8,3,0.0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.1929,1.6,0.7291,2.0,0.9798,4.0
Be26 Mg2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.26,0.067,0.45,0.1159,1.0,0.2575,8.3076923076923084
Be4 Ca4 F4 O16 P4,5,0.0,0.0,0.25,0.5,0.125,0.0,0.0,0.0,0.0,0.0,-1.0,2.98,1.0096,1.3,0.4088,2.0,0.696,4.0
Be12 Pd1,2,0.0,0.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,2.0,0.63,0.1679,0.35,0.0933,3.0,0.7994,9.6666666666666661
Ag1 Be12,2,0.0,0.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,1.9231,0.36,0.0959,0.55,0.1466,3.0,0.7994,9.6666666666666661
Be4 O7 Te1,3,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0833,0.0,0.0,0.0,-0.6667,1.87,0.8804,0.8,0.2718,3.0,0.8292,4.0
Be12 Ca4 Mn8 O48 Si12,5,0.0,0.0,0.1905,0.5714,0.0,0.0,0.1429,0.0,0.0,0.0952,-1.1429,2.44,0.9211,1.2,0.349,2.0,0.7284,4.0
Be6 Cd8 O24 Si6 Te2,5,0.0,0.0,0.1304,0.5652,0.0,0.0,0.1739,0.0,0.0,0.1739,-1.0435,1.87,0.851,0.95,0.3727,3.0,1.2143,4.0
Be6 H24 Li12,3,0.0,0.2857,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.5382,1.2,0.5421,1.0,0.4949,4.166666666666667
Be5 Zr1,2,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.3333,0.24,0.0894,0.5,0.1863,3.0,1.118,9.0
Be12 Cd8 F48 Rb8,4,0.0,0.1053,0.1579,0.0,0.6316,0.0,0.0,0.0,0.0,0.1053,0.0,3.16,1.2687,1.85,0.6085,3.0,1.223,4.0
Be4 Cs4 F12,3,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.19,1.3937,2.1,0.8134,4.0,1.6,4.0
B1 Be2,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,2.3333,0.47,0.2216,0.2,0.0943,0.0,0.0,8.0
Be12 Mo1,2,0.0,0.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,2.1538,0.59,0.1572,0.4,0.1066,3.0,0.7994,9.3333333333333339
Be26 Dy2,2,0.0,0.0,0.9286,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,2.0714,0.35,0.0901,0.7,0.1803,6.0,1.5452,8.3076923076923084
Be4 F14 Li2 Na4,4,0.0,0.25,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,-0.0,3.05,1.3867,1.3,0.5071,1.0,0.3727,4.0
Be8 Cr4,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,0.09,0.0424,0.35,0.165,2.0,0.9428,9.25
Ba4 Be4 Nd8 O20,4,0.0,0.0,0.2222,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.0,-0.0,2.55,1.1323,1.55,0.6218,6.0,2.5724,4.0
Be4 Ni2 O20 Si4 Yb4,5,0.0,0.0,0.1176,0.5882,0.0,0.1176,0.1176,0.0,0.1176,0.0588,-0.9412,3.44,1.1907,1.15,0.3964,6.0,1.9242,4.0
Be17 Ca12 O29,3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.44,1.0715,1.2,0.4613,2.0,0.8102,4.0
