formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Au2 Ba2 Bi2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,1.65,0.6888,0.8,0.3342,0.0,0.0,8.0
Bi2 Cu2 Sr2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,1.07,0.4786,0.65,0.2677,2.0,0.8165,6.0
Bi6 Te6,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.08,0.04,0.2,0.1,1.0,0.5,6.0
Bi2 Fe1 Ho6,3,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.1111,2.8889,0.79,0.3464,0.35,0.1157,4.0,1.3699,9.0
Ag2 Bi6 S10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,-0.0,0.65,0.2906,0.6,0.2981,3.0,1.3966,5.333333333333333
Bi12 O20 Si1,3,0.0,0.0,0.0,0.6061,0.0,0.0,0.0303,0.0,0.0,0.0,-0.2424,1.54,0.6986,1.0,0.4772,4.0,1.9089,6.0
Ba2 Bi1 O6 Y1,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,2.55,1.1096,1.55,0.666,4.0,1.8574,6.0
Bi4 O28 P8,3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,1.42,0.6004,1.0,0.3156,4.0,1.2,6.0
Ba1 Bi2 O5,3,0.0,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,2.55,0.929,1.55,0.5945,4.0,1.9365,4.0
Bi6 Sr8,2,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4286,1.07,0.5295,0.4,0.1979,1.0,0.4949,7.0
Bi2 Se2 Te1,3,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.53,0.2483,0.45,0.2015,2.0,0.8944,5.0
Bi4 K12 Se12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.8094,1.05,0.4868,2.0,0.6999,5.0
Bi1 Ni1 Zr1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.0,0.69,0.3027,0.25,0.108,2.0,0.8165,8.0
Bi4 Mn2 Ni2 O12,4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1.89,0.7763,1.0,0.4407,4.0,1.6,7.0
Bi6 Br2 Se8,3,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.3234,0.45,0.2179,2.0,0.9682,5.666666666666667
Bi1 I1 Te1,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.64,0.2847,0.2,0.0943,1.0,0.4714,6.0
Bi8 Mo4 O24,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-0.2222,1.42,0.6485,1.0,0.4497,4.0,1.7498,6.5
Bi1 Rb1 S2,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.7186,1.35,0.5549,3.0,1.299,6.0
Bi16 Rb16,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.6,0.75,0.375,1.0,0.5,6.0
Bi4 Mg8 O24 V4,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.13,0.9358,1.0,0.4384,4.0,1.249,6.0
