formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Br2 O2 Sm2,3,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,2.27,0.9768,1.25,0.5115,6.0,2.4944,11.0
Br2 O2 Pu2,3,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,2.16,0.9261,1.15,0.4696,7.0,2.9439,11.0
Br20 Eu10,2,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.3333,0.0,0.0,2.96,1.3954,0.7,0.33,4.0,1.8856,7.5999999999999996
Br6 Cs2 Ti2,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.4,2.17,0.9108,1.45,0.5634,2.0,0.8,7.0
Au2 Br8 Rb2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,2.14,0.7814,1.2,0.4384,2.0,0.7638,5.0
As6 Br2 Cd4,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.5,0.0,0.0,0.3333,-1.0,1.27,0.4246,0.4,0.1886,1.0,0.4714,6.0
Br8 H48 Mg4 O48,4,0.0,0.0,0.037,0.4444,0.0741,0.0,0.0,0.0,0.0,0.0,-1.3333,2.13,0.6523,1.25,0.3166,3.0,0.8429,4.0
Br2 O1 Rb4,3,0.0,0.5714,0.0,0.1429,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.1478,1.75,0.7053,3.0,1.0302,6.0
Br3 Ga1 La3,3,0.0,0.0,0.0,0.0,0.4286,0.4286,0.0,0.0,0.4286,0.4286,1.2857,1.86,0.8644,0.8,0.3805,4.0,1.9795,6.0
Br30 W6,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.1667,-0.1667,0.6,0.2236,0.2,0.0745,2.0,0.7454,5.7999999999999998
Br4 Hg8 P12,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333,-1.3333,0.96,0.3265,0.5,0.2244,3.0,1.3437,8.0
Ag2 Al6 Br2 Na6 O24 Si6,6,0.0,0.1304,0.0,0.5217,0.0435,0.0,0.1304,0.0,0.0,0.0435,-1.0435,2.51,0.974,1.2,0.4386,3.0,0.7655,4.0
Br2 Cr2 O2,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,1.78,0.7519,0.8,0.3342,2.0,0.9428,7.0
Br16 K4 Tl4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.3333,2.14,0.8521,1.05,0.433,2.0,0.7454,4.5
Br16 Sn4,2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-1.6,1.0,0.4,0.3,0.12,1.0,0.4,4.0
Br1 Li1,2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.99,0.3,0.15,2.0,1.0,6.0
Br12 P4,2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-1.5,0.77,0.3334,0.15,0.065,1.0,0.433,4.0
Br18 Te2 W2,3,0.0,0.0,0.0,0.0909,0.8182,0.0,0.0909,0.0,0.0,0.0909,-0.6364,0.86,0.287,0.25,0.0874,2.0,0.6166,6.0
Br4 La2,2,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.86,0.8768,0.8,0.3771,4.0,1.8856,7.0
Br18 K4 Nb6,3,0.0,0.1429,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.2143,0.5714,2.14,0.8331,1.05,0.3618,1.0,0.4103,6.8888888888888893
Br6 Cs2 Pt1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.17,0.887,1.45,0.5942,2.0,0.9428,6.0
Al9 Br36 Nd3,3,0.0,0.0,0.0,0.0,0.75,0.0625,0.0,0.0,0.0625,0.0,0.0,1.82,0.6435,0.7,0.1691,5.0,1.0879,4.0
Br16 In4 K4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.8302,1.05,0.3899,1.0,0.3727,4.0
Br20 K8 U4,3,0.125,0.25,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.375,2.14,0.9594,1.05,0.4547,5.0,1.6536,7.0
Br6 U2,2,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,1.58,0.6842,0.6,0.2598,5.0,2.1651,9.0
Bi6 Br2 Se8,3,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.3234,0.45,0.2179,2.0,0.9682,9.0
Br2 Cd4 P6,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333,-1.0,1.27,0.4251,0.55,0.2473,2.0,0.8975,6.0
Br10 La4,2,0.0,0.0,0.0,0.0,0.7143,0.2857,0.0,0.0,0.2857,0.2857,0.1429,1.86,0.8403,0.8,0.3614,4.0,1.807,7.2000000000000002
Br4 Hg8 N4,3,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,-0.5,1.04,0.5008,0.85,0.3482,4.0,1.6583,9.5
Br6 Ca2 In2,3,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,1.96,0.8077,0.65,0.2691,1.0,0.4,6.0
Br8 Ge38 P8,3,0.0,0.0,0.0,0.0,0.1481,0.0,0.7037,0.0,0.0,0.0,-3.4074,0.95,0.3324,0.25,0.0897,1.0,0.3552,16.25
Br4 Na4 O12,3,0.0,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-1.2,2.51,0.9739,1.2,0.4754,2.0,0.8,4.0
Br4 O10 Sb8,3,0.0,0.0,0.0,0.4545,0.1818,0.0,0.3636,0.0,0.0,0.0,-2.1818,1.39,0.627,0.85,0.3878,3.0,1.3727,8.0
Br4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Br4 Cu4 Te8,3,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.25,-0.75,1.06,0.4095,0.25,0.1031,1.0,0.5,5.0
Br2 O24 P6 Sr10,4,0.0,0.0,0.2381,0.5714,0.0476,0.0,0.0,0.0,0.0,0.0,-1.1429,2.49,1.039,1.4,0.5747,3.0,1.2527,12.0
Br12 N12 S16,3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.0,0.46,0.2081,0.5,0.1997,2.0,0.7746,4.333333333333333
Br4 Li2 Mg1,3,0.0,0.2857,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.931,0.35,0.1575,2.0,0.8806,6.0
Bi16 Br8 O20,3,0.0,0.0,0.0,0.4545,0.1818,0.0,0.0,0.0,0.0,0.0,-0.0,1.42,0.6409,1.0,0.4513,4.0,1.7999,10.25
As2 Br6 F12,3,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,-1.2,1.8,0.6324,0.65,0.3184,2.0,0.9798,5.0
Br2 La2,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.86,0.93,0.8,0.4,4.0,2.0,7.0
