formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
C8 Cu2 K6 N8,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,-1.9167,2.22,0.8712,1.55,0.6545,2.0,0.9428,3.0
C8 Hg8 N16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-2.25,1.04,0.4291,0.85,0.3614,4.0,1.7321,3.0
C4 Cu4 O20 Sr8,4,0.0,0.0,0.2222,0.5556,0.0,0.0,0.0,0.0,0.0,0.1111,-0.8889,2.49,1.0254,1.4,0.5785,3.0,1.2862,3.0
C1 Cl1 La2,3,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.5,0.25,2.06,0.9036,1.25,0.5601,6.0,2.7726,6.0
C2 In2 Ti4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,1.01,0.4144,0.85,0.3305,3.0,1.0897,6.0
C1 Ga1 Mn3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.3873,0.7,0.2728,2.0,0.8,12.0
C4 Ti8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,1.01,0.4761,0.7,0.33,2.0,0.9428,6.0
B2 C8 Cs2 N8,4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-2.4,2.25,0.6564,1.95,0.5745,4.0,1.2,3.0
C12 Lu8,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,-1.2,1.28,0.6271,1.05,0.5144,4.0,1.9596,4.0
C4 Cl4 H24 N12 O4,5,0.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0.0,0.0,0.0,-1.8333,1.24,0.4616,0.75,0.2479,2.0,0.6401,3.0
C4 Na4 O8,3,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,2.51,1.025,1.2,0.5068,1.0,0.433,3.0
C12 Ce8,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,-1.2,1.43,0.7006,1.15,0.5634,6.0,2.9394,4.0
B2 C1 Er1 Ni2,4,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.3333,1.5,1.31,0.3837,1.05,0.3702,6.0,2.1344,4.0
