formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cd2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
As6 Br2 Cd4,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.5,0.0,0.0,0.3333,-1.0,1.27,0.4246,0.4,0.1886,1.0,0.4714,5.0
Cd4 Na4 O16 P4,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.51,0.9701,1.2,0.4741,3.0,1.0302,5.0
Cd4 I14 Tl6,3,0.0,0.0,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.1667,-0.0,1.04,0.4994,0.5,0.2092,1.0,0.433,5.0
Cd20 Cu8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.21,0.0949,0.2,0.0904,1.0,0.4518,8.5999999999999996
Cd2 P2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.24,0.4548,1.0,0.3803,2.0,0.9798,6.0
Cd1 Hg2 Ti1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.46,0.1997,0.15,0.0545,2.0,0.8292,11.0
Cd2 Hg1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6667,0.31,0.1461,0.05,0.0236,1.0,0.4714,9.0
Cd6 Sb12 Sr11,3,0.0,0.0,0.3793,0.0,0.0,0.0,0.4138,0.0,0.0,0.2069,-0.069,1.1,0.494,0.55,0.2534,0.0,0.0,6.0
Ba2 Cd4,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.0,0.8,0.3771,0.6,0.2828,1.0,0.4714,7.0
Cd2 Sm1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.52,0.2451,0.3,0.1414,3.0,1.4142,8.0
Cd1 N3 O6 Rb1,4,0.0,0.0909,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,0.0909,-1.6364,2.62,0.8305,1.75,0.5422,3.0,1.1571,13.0
Cd6 Er2,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,0.45,0.1949,0.2,0.0866,3.0,1.299,9.0
Al4 Cd2 Cl16,3,0.0,0.0,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0909,0.0,1.55,0.6787,0.55,0.1725,2.0,0.575,5.0
Cd4 O12 Ti4,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.9,0.8953,0.95,0.4313,3.0,1.2649,6.5
Cd1 Li2 Pb1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,1.35,0.5625,0.35,0.1431,4.0,1.7854,10.0
Br2 Cd4 P6,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333,-1.0,1.27,0.4251,0.55,0.2473,2.0,0.8975,5.0
Cd2 Cl12 K8,3,0.0,0.3636,0.0,0.0,0.5455,0.0,0.0,0.0,0.0,0.0909,0.0,2.34,1.1037,1.2,0.5609,2.0,0.6556,6.0
Cd4 O12 Ti4,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.9,0.8953,0.95,0.4313,3.0,1.2649,6.0
C4 Cd2 N4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.4,1.35,0.4933,0.9,0.3507,3.0,1.2,4.0
Cd4 Cl12 Tl4,3,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,1.54,0.7376,0.9,0.372,3.0,1.2649,5.0
Cd2 Na4 Sn2,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.03,0.4576,0.35,0.1541,2.0,1.0,8.0
Cd6 Gd2,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,0.49,0.2122,0.25,0.1083,3.0,1.299,11.0
Cd1 Cl4 Rb2,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,2.34,1.0494,1.35,0.5902,2.0,0.9897,6.0
Cd1 Lu1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.42,0.21,0.2,0.1,1.0,0.5,10.0
Cd4 O8 Sn2,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.2857,-1.1429,1.75,0.8257,0.95,0.4547,3.0,1.4846,6.0
C2 Cd2 O6,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.75,0.7015,0.95,0.372,3.0,1.2,6.0
