formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ce1 Rh2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.16,0.4236,0.75,0.2739,5.0,1.833,15.0
Ce2 Si4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.3333,0.0,-1.6667,0.78,0.3677,0.75,0.3536,5.0,2.357,13.0
Ce1 P1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.07,0.535,0.85,0.425,5.0,2.5,6.0
Ce1 F1 O1,3,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,2.86,1.2407,1.35,0.6142,6.0,2.8284,8.0
Ce4 S8 Sm2,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.4286,0.0,0.1429,1.46,0.7144,0.85,0.4206,5.0,2.4744,7.0
B1 Ce1 Pt3,3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,2.4,1.16,0.4497,1.0,0.3162,6.0,1.9596,10.0
Ce2 Rh4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.16,0.5468,0.5,0.2357,3.0,1.4142,16.0
Ce2 K2 Se8,3,0.0,0.1667,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.0,-0.6667,1.73,0.7498,1.05,0.4247,4.0,1.4907,nan
B2 Ce3 N4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.2222,0.0,0.3333,0.0,0.3333,1.92,0.8412,1.2,0.5398,6.0,2.8284,8.0
Au2 Ce2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.42,0.5829,0.5,0.216,3.0,1.2472,10.0
