formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
As4 Cl4 Hg12 O16,4,0.0,0.0,0.0,0.4444,0.1111,0.0,0.1111,0.0,0.0,0.3333,-1.0,1.44,0.6726,0.9,0.3961,4.0,1.7638,8.0
Al2 Cl12 I2,3,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,-0.5,1.55,0.5157,0.4,0.1456,2.0,0.6614,4.333333333333333
As2 Cl10,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.1667,0.0,0.0,0.0,-1.3333,0.98,0.3652,0.15,0.0559,1.0,0.3727,5.4000000000000004
Cl40 Mo8,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.1667,-0.1667,1.0,0.3727,0.45,0.1677,2.0,0.7454,5.7999999999999998
Cl120 Ta48,2,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.2857,0.7143,1.66,0.7499,0.45,0.2033,3.0,1.3553,7.2000000000000002
C1 Cl1 La2,3,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.5,0.25,2.06,0.9036,1.25,0.5601,6.0,2.7726,8.0
C4 Cl4 H24 N12 O4,5,0.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0.0,0.0,0.0,-1.8333,1.24,0.4616,0.75,0.2479,2.0,0.6401,5.0
Cl1 Na1 O4,3,0.0,0.1667,0.0,0.6667,0.1667,0.0,0.0,0.0,0.0,0.0,-1.3333,2.51,0.9202,1.2,0.4422,1.0,0.4714,4.0
Cl16 F4 Ta4,3,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.1667,0.0,2.48,0.7428,0.95,0.2745,4.0,1.2472,6.0
Cl6 K2 Mn1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.34,1.0081,1.2,0.4909,1.0,0.4714,6.0
Al4 Cl16 Pd2,3,0.0,0.0,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0909,-0.0,1.55,0.62,0.4,0.1386,2.0,0.575,4.5
