formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Co5 O8 Ru1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2143,1.56,0.7497,0.75,0.3672,3.0,1.0996,5.2000000000000002
Co4 Tm2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.63,0.297,0.4,0.1886,4.0,1.8856,10.0
Co2 Mn1 Si1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.5,0.35,0.146,0.3,0.1173,1.0,0.433,10.0
Al1 Co2 Mn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.33,0.1515,0.15,0.0545,1.0,0.433,10.0
Co4 O12 Te4,3,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.2,-1.2,1.56,0.7138,0.8,0.38,3.0,1.2649,6.0
Co4 Er4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.72,0.3222,0.4,0.17,4.0,1.6997,7.0
B4 Co11 Pr3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.2222,0.0,0.1667,0.6111,2.3889,0.91,0.3024,1.0,0.3106,6.0,1.8725,7.3636363636363633
Co34 Er4,2,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.0,0.1053,0.8947,2.1053,0.64,0.1964,0.4,0.1228,4.0,1.2276,9.1764705882352935
Al40 Ce2 Co4,3,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.087,2.913,0.76,0.1295,0.6,0.1237,5.0,1.0398,10.0
Co1 Mn2 Sb1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.75,0.5,0.216,0.1,0.0354,1.0,0.433,10.0
C2 Co2 O6,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.56,0.6364,0.75,0.2926,2.0,0.8,6.0
Co1 N6 Na3 O12,4,0.0,0.1364,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,0.0455,-1.6818,2.51,0.8606,1.2,0.4218,2.0,0.5163,6.0
Co9 Y3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,0.66,0.2858,0.45,0.1949,1.0,0.433,9.1111111111111107
Co2 O24 P8,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.0588,-2.0,1.56,0.6016,0.75,0.2272,2.0,0.5882,6.0
Cl16 Co4 Na8,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,2.23,0.9912,0.8,0.3504,1.0,0.3499,4.0
Co2 I8 Rb4,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,1.84,0.8052,1.0,0.434,1.0,0.3499,4.0
Al1 C1 Co3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.94,0.313,0.65,0.253,2.0,0.8,6.0
Cl10 Co2 Tl6,3,0.0,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.1111,-0.0,1.54,0.7368,0.9,0.4108,3.0,1.3699,4.0
C12 Co2 K6 N12,4,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-2.3125,2.22,0.8037,1.55,0.5978,2.0,0.866,6.0
C2 Co1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,-0.75,2.55,1.0439,1.05,0.4479,6.0,2.4495,5.0
Al9 Ca1 Co2,3,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.75,0.88,0.2077,0.55,0.1516,1.0,0.433,7.0
Co3 Sn3 Zr3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.63,0.28,0.2,0.0816,1.0,0.4714,8.6666666666666661
Ba2 Co1 O6 U1,4,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.55,1.099,1.55,0.6473,7.0,2.3685,6.0
Co2 Ge2 Pr1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.88,0.3311,0.6,0.2245,4.0,1.6,7.0
Co4 Ge4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-1.0,0.13,0.065,0.1,0.05,0.0,0.0,8.0
B2 C1 Co2 Pr1,4,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.3333,1.5,1.42,0.4189,1.15,0.3983,6.0,2.1344,6.0
Co4 O8 Tc2,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,1.56,0.7687,0.75,0.3712,3.0,1.1952,5.0
Co10 O44 P12,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1515,-1.5758,1.56,0.6617,0.75,0.2821,2.0,0.7435,5.2000000000000002
Ce4 Co2 Si6,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,0.0,0.3333,0.1667,-0.6667,0.78,0.3654,0.75,0.3359,5.0,2.2669,6.0
Ba2 Co4 O10 Y2,4,0.0,0.0,0.1111,0.5556,0.0,0.0,0.0,0.0,0.0,0.3333,-0.1111,2.55,1.021,1.55,0.5735,4.0,1.4741,5.0
Co8 K36 S28,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,-0.0556,1.76,0.8282,1.2,0.5705,1.0,0.4875,4.0
B2 Co3 Gd1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,2.5,0.84,0.2864,0.95,0.3297,6.0,2.0,7.0
Co2 Sb2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.5,0.17,0.085,0.1,0.05,1.0,0.5,7.0
Co1 O1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.56,0.78,0.75,0.375,2.0,1.0,5.0
Co2 Na8 O6,3,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,2.51,1.1626,1.2,0.5559,2.0,0.6614,4.0
Co3 Sn3 U3,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.3333,0.58,0.2566,0.4,0.17,5.0,2.1602,8.0
Co1 F6 H12 O6 Si1,5,0.0,0.0,0.0,0.2308,0.2308,0.0,0.0385,0.0,0.0,0.0385,-1.2308,2.1,0.8002,1.1,0.2673,3.0,0.7308,6.0
Co6 Li6 O32 P8,4,0.0,0.1154,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.1154,-1.3462,2.46,0.8882,0.85,0.3351,2.0,0.6837,5.0
As2 Ba1 Co2 O8,4,0.0,0.0,0.0769,0.6154,0.0,0.0,0.1538,0.0,0.0,0.1538,-1.2308,2.55,0.8497,1.55,0.4647,4.0,1.2686,6.0
B20 Co58 Si8 Sm6,4,0.0,0.0,0.0,0.0,0.0,0.0652,0.3043,0.0,0.0652,0.6304,1.7609,0.87,0.1959,1.0,0.2579,6.0,1.3899,7.4827586206896548
B6 Co4 O13,3,0.0,0.0,0.0,0.5652,0.0,0.0,0.2609,0.0,0.0,0.1739,0.0,1.56,0.7276,0.75,0.2754,2.0,0.7581,4.0
As24 Ba4 Co40,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.3529,0.0,0.0,0.5882,0.2353,1.29,0.2952,1.0,0.2263,2.0,0.4706,7.2000000000000002
C6 Co1 Fe1 K2 N6,5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-2.25,2.22,0.7144,1.55,0.5245,2.0,0.866,6.0
Al38 Co12 U4,3,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741,0.2222,3.0,0.5,0.1352,0.5,0.1313,6.0,1.5635,7.333333333333333
Co6 Ge2 Mn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.8333,1.0,0.46,0.177,0.15,0.05,0.0,0.0,8.0
Co4 Ga1 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889,2.5556,0.66,0.3217,0.5,0.2291,1.0,0.4969,6.0
Co2 Ge2 Ho1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.78,0.2918,0.5,0.1855,4.0,1.6,7.0
C2 Co2 Tm2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.3,0.5308,1.05,0.4327,6.0,2.4944,4.0
Co14 Na8 O28,3,0.0,0.16,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.28,-0.4,2.51,0.9932,1.2,0.4757,2.0,0.8727,6.0
Co6 Sm3 Sn5,3,0.0,0.0,0.0,0.0,0.0,0.2143,0.0,0.0,0.2143,0.4286,0.0714,0.79,0.3083,0.5,0.1917,4.0,1.5203,8.3333333333333339
Co3 Sn3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.08,0.04,0.1,0.05,1.0,0.5,9.0
Co1 Li1 O7 P2,4,0.0,0.0909,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.5455,2.46,0.8391,0.85,0.3135,2.0,0.6428,6.0
Co2 Na3 O6 Sb1,4,0.0,0.25,0.0,0.5,0.0,0.0,0.0833,0.0,0.0,0.1667,-0.6667,2.51,1.0653,1.2,0.5178,3.0,0.986,6.0
Ca8 Co8 O56 V16,4,0.0,0.0,0.0909,0.6364,0.0,0.0,0.0,0.0,0.0,0.2727,0.0,2.44,0.9372,1.2,0.4312,2.0,0.9621,5.5
