formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cs4 S24 Sb4,3,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-1.75,1.79,0.5929,1.6,0.5288,3.0,1.111,9.0
B12 Cs2 H12,3,0.0,0.0769,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,1.0,1.41,0.3626,2.35,0.6176,5.0,1.2918,12.0
Cs4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.65,1.0628,2.0,0.6687,4.0,1.4142,12.0
Cs2 F5 O1 Rb1 Zr1,5,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,3.19,1.4645,2.1,0.9039,4.0,1.7436,12.0
Cs4 F4 O8 S4,4,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,-1.2,3.19,1.1216,2.1,0.7889,4.0,1.5492,8.0
Br6 Cs2 Ti2,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.4,2.17,0.9108,1.45,0.5634,2.0,0.8,12.0
Cs8 F48 Na8 Sn8,4,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.8889,3.19,1.3324,2.1,0.7379,4.0,1.4487,8.5
B2 C8 Cs2 N8,4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-2.4,2.25,0.6564,1.95,0.5745,4.0,1.2,8.0
Cs4 Mn2 Sn2 Te8,4,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,-1.0,1.31,0.546,1.2,0.5163,2.0,0.5995,8.0
Cs4 Pt2,2,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1.3333,1.49,0.7024,1.25,0.5893,0.0,0.0,10.5
Cs2 F18 U4,3,0.1667,0.0833,0.0,0.0,0.75,0.0,0.0,0.0,0.1667,0.0,0.3333,3.19,1.219,2.1,0.6935,7.0,2.6926,7.5
Cl3 Cs1 Ge1,3,0.0,0.2,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,-1.2,2.37,0.9446,1.6,0.6226,3.0,1.1662,11.0
Cs1 K2 O8 P2 Yb1,5,0.0,0.2143,0.0,0.5714,0.0,0.0714,0.0,0.0,0.0714,0.0,-1.1429,3.44,1.2549,2.0,0.7127,6.0,1.767,12.0
Cl6 Cs2 Pb1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.2222,2.37,0.9704,1.6,0.6652,3.0,1.4142,12.0
Br6 Cs2 Pt1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.17,0.887,1.45,0.5942,2.0,0.9428,12.0
Cs2 F4 H2,3,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,3.19,1.3388,2.35,0.9509,5.0,1.9203,9.0
Cs16 Sn16,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.17,0.585,1.15,0.575,1.0,0.5,9.5
Cl8 Cs6 Np2 O4,4,0.1,0.3,0.0,0.2,0.4,0.0,0.0,0.0,0.1,0.0,-0.0,2.65,1.1522,2.0,0.7941,7.0,2.1932,6.666666666666667
Cs2 Cu1 F6 K1,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,-0.1,3.19,1.4547,2.1,0.8875,4.0,1.6,12.0
Cs4 Ni6 S8,3,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.79,0.6898,1.6,0.6219,3.0,1.1547,9.0
Cl8 Cs4 Pt2,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,2.37,1.0348,1.6,0.7012,3.0,1.4846,8.0
Cs2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Cs4 K8,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0141,0.4,0.1886,2.0,0.9428,16.0
Cs2 Hg2 Se6 Y2,4,0.0,0.1667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333,-0.1667,1.76,0.7025,1.45,0.5239,2.0,0.8975,9.0
Ag2 C4 Cs2,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-1.5,1.76,0.7187,1.9,0.7842,4.0,1.7854,11.0
Cs1 H1 Mn1 O10 P3,5,0.0,0.0625,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0625,-1.6875,2.65,0.8345,2.35,0.525,5.0,1.118,8.0
Cs1 Fe2 Sb2,3,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.2,1.26,0.4704,1.2,0.4705,2.0,0.7483,10.0
As4 Cs12 O16,3,0.0,0.375,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,-1.0,2.65,1.2274,2.0,0.9314,4.0,1.854,6.666666666666667
C6 Cs2 Li1 Mn1 N6,5,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-2.3125,2.25,0.8093,1.95,0.6498,4.0,1.3636,20.0
