formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu4 S6 Si2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.0,0.68,0.34,0.35,0.1572,1.0,0.4714,5.0
Cu6 Li4 O28 P8,4,0.0,0.087,0.0,0.6087,0.0,0.0,0.0,0.0,0.0,0.1304,-1.3913,2.46,0.8412,0.85,0.3253,2.0,0.7118,5.0
Cu4 Pr4 S8,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,1.45,0.5981,0.85,0.3482,5.0,2.0616,5.0
Cu2 Eu2 F2 Se2,4,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,3.98,1.4306,1.35,0.484,6.0,2.1794,7.0
C8 Cu2 K6 N8,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,-1.9167,2.22,0.8712,1.55,0.6545,2.0,0.9428,4.0
Cu6 O8 Pb1,3,0.0,0.0,0.0,0.5333,0.0,0.0,0.0,0.0,0.0,0.4,-0.1333,1.54,0.7448,1.2,0.4202,4.0,1.2365,6.0
Cu2 H4 O10 Se2,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.3333,1.54,0.629,1.1,0.3448,3.0,1.0304,5.0
Cu28 P4 Se24,3,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.5,-0.0714,0.65,0.3123,0.35,0.1168,1.0,0.2575,5.4285714285714288
Cu8 O20 Y8,3,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.4444,-0.0,2.22,0.9613,1.2,0.5072,3.0,1.2862,5.0
C4 Cu4 O20 Sr8,4,0.0,0.0,0.2222,0.5556,0.0,0.0,0.0,0.0,0.0,0.1111,-0.8889,2.49,1.0254,1.4,0.5785,3.0,1.2862,5.0
Bi2 Cu2 Sr2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,1.07,0.4786,0.65,0.2677,2.0,0.8165,6.0
Cu2 Sb4 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,2.05,0.8682,0.4,0.15,4.0,1.5,8.0
Cu4 Ho3 Si4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0,0.2727,0.3636,0.0909,0.67,0.2984,0.65,0.257,5.0,2.049,7.0
Cu4 Li8 O28 P8,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.46,0.9535,0.85,0.3473,2.0,0.6236,5.0
Ba2 Ca2 Cu3 Hg1 O8,5,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.0625,2.55,1.0613,1.55,0.5866,4.0,1.536,5.0
Cu2 Ho1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.67,0.268,0.65,0.2379,5.0,1.8547,7.0
Cu2 Eu2 S6 Tm2,4,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.1667,0.1667,2.58,0.9466,0.85,0.3591,5.0,2.2669,6.0
Cu2 Nd4 Rb2 S8,4,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.125,1.76,0.7219,1.35,0.4931,5.0,2.0578,5.0
Cu2 Li4 O24 P8,4,0.0,0.1053,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0526,-1.6842,2.46,0.8526,0.85,0.3064,2.0,0.5669,5.0
Cu2 O7 P2,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-1.4545,1.54,0.6767,0.75,0.296,2.0,0.782,5.0
Cu1 Ge4 O12 Yb2,4,0.0,0.0,0.0,0.6316,0.0,0.1053,0.2105,0.0,0.1053,0.0526,-1.6842,3.44,1.1167,1.15,0.4115,6.0,1.8712,5.0
As2 Cu2 Eu2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,2.18,0.9684,0.7,0.2944,4.0,1.8856,6.0
Cu3 Er3 In3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,0.66,0.2871,0.4,0.1633,4.0,1.6997,8.6666666666666661
Cu4 Dy3 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.0,0.0,0.2727,0.3636,0.0909,0.74,0.3172,0.4,0.1616,4.0,1.616,6.0
Cu2 F7 K3,3,0.0,0.25,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.1667,-0.0,3.16,1.3876,1.7,0.7224,2.0,0.986,6.0
Cu1 F6 Sn1,3,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.125,-1.0,2.08,0.8878,0.95,0.3905,3.0,1.111,6.0
Ca1 Cu1 O2,3,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2.44,1.0446,1.2,0.5128,2.0,1.0,5.0
Cd20 Cu8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.21,0.0949,0.2,0.0904,1.0,0.4518,8.75
Cu2 Hf2 Se6 Tl2,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,1.25,0.5025,0.75,0.2765,2.0,0.9428,6.0
Al1 Cu2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.54,0.2255,0.35,0.1293,1.0,0.433,10.0
Cu1 Ge4 O12 Tb2,4,0.0,0.0,0.0,0.6316,0.0,0.1053,0.2105,0.0,0.1053,0.0526,-1.6842,3.44,1.1167,1.15,0.4115,6.0,1.8712,5.0
Cu3 In3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,1.9,0.8688,0.4,0.1633,4.0,1.6997,8.6666666666666661
Cu2 K4 Sb2,3,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,1.23,0.5799,0.85,0.4016,1.0,0.433,6.0
Al1 Cu2 Hf1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.75,0.6,0.248,0.3,0.109,3.0,1.0897,10.0
Cu3 S4 Ta1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,1.08,0.4088,0.45,0.19,3.0,0.9682,5.0
Cu4 In1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.6667,2.3333,1.9,0.7005,0.4,0.1528,4.0,1.4625,10.0
Cu2 Li6 O16 P4,4,0.0,0.2143,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0714,-1.2143,2.46,1.0119,0.85,0.3634,2.0,0.589,4.0
Cu20 K12 O16,3,0.0,0.25,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.4167,0.4167,2.62,1.0114,1.6,0.6056,2.0,0.9428,4.2000000000000002
B12 Cu6 O24,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.2857,0.0,0.0,0.1429,0.0,1.54,0.7172,0.75,0.2575,2.0,0.6999,5.0
Cu24 Sm4,2,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.8571,2.1429,0.73,0.2554,0.5,0.175,4.0,1.3997,8.3333333333333339
Al2 Cu1 U1,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,3.5,0.52,0.1845,0.5,0.2062,6.0,2.4875,10.0
Au2 Cu2 Se8,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.5,0.65,0.2415,0.2,0.0943,2.0,0.7454,5.0
Al7 Ca3 Cu2,3,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.5833,0.9,0.3101,0.55,0.2314,1.0,0.493,8.0
Cu4 O4 Rb4,3,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,2.62,1.0751,1.75,0.7169,3.0,1.2472,4.0
Cu2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.9,0.76,0.65,0.2379,5.0,1.8547,7.0
Cu4 I4,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.76,0.38,0.05,0.025,1.0,0.5,4.5
Cs2 Cu1 F6 K1,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,-0.1,3.19,1.4547,2.1,0.8875,4.0,1.6,6.0
Cu1 N2 Ta1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,1.54,0.6848,0.8,0.3767,4.0,1.6583,4.0
Cu1 F4 K2,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,3.16,1.4252,1.7,0.7485,2.0,0.9897,6.0
Cu1 Hf1 Hg2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.7,0.2915,0.2,0.075,2.0,0.866,10.0
Cu5 O10 P2,3,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.0,0.2941,-0.9412,1.54,0.722,0.75,0.3356,2.0,0.8921,5.0
B8 Cu2 O20 Tm4,4,0.0,0.0,0.0,0.5882,0.0,0.1176,0.2353,0.0,0.1176,0.0588,-0.0,2.19,0.8401,1.15,0.3829,6.0,1.9474,5.0
Cu2 F8 Fe1 H21 O10,5,0.0,0.0,0.0,0.2381,0.1905,0.0,0.0,0.0,0.0,0.0714,-1.0238,2.15,0.7769,1.15,0.2929,3.0,0.8113,5.0
Cu2 Li8 O16 P4,4,0.0,0.2667,0.0,0.5333,0.0,0.0,0.0,0.0,0.0,0.0667,-1.0667,2.46,1.0602,0.85,0.3776,2.0,0.5735,4.0
Ba4 Cu8 O28 Si8,4,0.0,0.0,0.0833,0.5833,0.0,0.0,0.1667,0.0,0.0,0.1667,-1.3333,2.55,0.8975,1.55,0.4709,4.0,1.2134,5.0
Cu4 Li16 O32 P8,4,0.0,0.2667,0.0,0.5333,0.0,0.0,0.0,0.0,0.0,0.0667,-1.0667,2.46,1.0602,0.85,0.3776,2.0,0.5735,4.0
Ce4 Cu4 Mg2,3,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,0.78,0.3579,0.5,0.2272,5.0,2.1541,8.0
Cu3 Nd1 O12 Ru4,4,0.0,0.0,0.0,0.6,0.0,0.05,0.0,0.0,0.05,0.35,-0.15,2.3,0.7582,1.25,0.4016,6.0,1.6613,5.0
As4 Cu2 Tm2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,0.93,0.3799,0.6,0.2449,4.0,1.7321,8.0
B2 Cu2 S4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.68,0.309,0.5,0.1837,2.0,0.7071,5.0
