formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Au2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,3.0,1.32,0.5564,0.4,0.1658,3.0,1.0897,10.0
Ag2 Dy1 In1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.0,0.71,0.2923,0.2,0.075,3.0,1.299,10.0
Cu4 Dy3 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.0,0.0,0.2727,0.3636,0.0909,0.74,0.3172,0.4,0.1616,4.0,1.616,10.666666666666666
B12 Dy8 O30,3,0.0,0.0,0.0,0.6,0.0,0.16,0.24,0.0,0.16,0.0,0.0,2.22,0.8838,1.15,0.4087,6.0,2.1996,6.0
B4 Dy4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.22,0.9239,1.15,0.4456,6.0,2.4,6.0
Al4 Dy2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,3.0,0.39,0.1838,0.5,0.2357,5.0,2.357,16.0
Dy1 O6 Re1 Sr2,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.1,2.49,1.0982,1.4,0.5997,6.0,2.1071,6.0
Dy1 Ge2 Mn2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.79,0.3041,0.5,0.1828,4.0,1.6,13.0
Dy2 Ir4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,0.98,0.462,0.4,0.1886,2.0,0.9428,16.0
Dy1 Si2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.3333,0.0,-1.6667,0.68,0.3206,0.65,0.3064,5.0,2.357,13.0
Au4 Dy4 In2,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,3.0,1.32,0.5917,0.4,0.1789,3.0,1.2,8.0
Dy8 Ge4 O20,3,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.22,0.9743,1.15,0.4975,6.0,2.5372,6.0
Dy4 O14 Ru4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.1818,-0.1818,2.22,0.8831,1.15,0.4652,6.0,2.3461,6.0
Dy4 Ge4 Rh4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.06,0.4498,0.5,0.216,4.0,1.6997,10.0
Dy2 Rh4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.06,0.4997,0.4,0.1886,3.0,1.4142,16.0
Dy8 O4 S8,3,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.22,0.8657,1.15,0.4567,6.0,2.6382,5.5
Dy4 Ni6 Si10,3,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.3,-0.8,0.69,0.2735,0.65,0.2474,5.0,1.9,10.0
