formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu2 Eu2 F2 Se2,4,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,3.98,1.4306,1.35,0.484,6.0,2.1794,7.0
Eu1 Hg2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.3333,2.0,0.9428,0.35,0.165,2.0,0.9428,13.0
Br20 Eu10,2,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.3333,0.0,0.0,2.96,1.3954,0.7,0.33,4.0,1.8856,7.2000000000000002
Cu2 Eu2 S6 Tm2,4,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.1667,0.1667,2.58,0.9466,0.85,0.3591,5.0,2.2669,7.0
Eu2 P2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,-1.6667,2.19,0.9827,0.85,0.3472,5.0,2.0548,6.0
Al4 Au4 Eu2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,2.8,2.54,0.9284,0.6,0.2245,5.0,1.9391,16.0
Eu2 In4 Rh2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,2.28,0.8673,0.5,0.1785,3.0,1.299,9.0
As2 Cu2 Eu2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,2.18,0.9684,0.7,0.2944,4.0,1.8856,13.0
Eu4 Ni4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.4,3.44,1.359,1.25,0.5148,6.0,2.3324,7.0
Eu3 Ir6 P6,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.4,2.2,0.878,0.85,0.3121,5.0,1.9391,10.0
Eu2 In8 Pd2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.6667,2.2,0.7114,0.45,0.1346,3.0,1.118,10.0
Eu1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.4,1.91,0.762,0.75,0.2739,5.0,1.8547,16.0
Eu1 S1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2.58,1.29,0.85,0.425,5.0,2.5,6.0
Eu2 Sn4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.4,1.96,0.7352,0.5,0.1855,4.0,1.4697,15.0
Au2 Eu2 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.54,1.1002,0.5,0.216,3.0,1.2472,13.0
Eu4 Ge4 Pt4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.0,2.28,1.0172,0.6,0.2625,4.0,1.633,11.0
Eu4 In32 Rh8,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.1818,2.9091,2.28,0.5731,0.5,0.124,3.0,0.8624,12.0
Eu2 N14 Si8 Y2,4,0.0,0.0,0.0,0.0,0.0,0.0769,0.3077,0.0,0.0769,0.0769,-2.4615,3.04,0.9168,1.2,0.4158,6.0,1.6641,11.0
Eu3 Li6 O12 Si3,4,0.0,0.25,0.0,0.5,0.0,0.125,0.125,0.0,0.125,0.0,-1.0,3.44,1.3256,1.25,0.4703,6.0,1.9645,9.0
Eu2 Lu4 S8,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.4286,0.0,0.0,2.58,0.9431,0.85,0.3889,5.0,1.9166,7.0
Eu2 S8 Y4,3,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.2857,0.0,2.58,0.9519,0.85,0.4044,5.0,1.7496,7.0
Eu1 N1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.5,3.04,1.52,1.2,0.6,6.0,3.0,6.0
Al20 Eu12 O48,3,0.0,0.0,0.0,0.6,0.0,0.15,0.0,0.0,0.15,0.0,-0.15,3.44,1.2902,1.25,0.4664,6.0,2.0803,7.0
Eu2 O2 S1,3,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.0,-0.4,3.44,1.5764,1.25,0.5662,6.0,2.8,6.0
B6 Eu1,2,0.0,0.0,0.0,0.0,0.0,0.1429,0.8571,0.0,0.1429,0.0,2.8571,2.04,0.7139,1.0,0.3499,6.0,2.0996,24.0
Eu2 Tl4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,1.3333,1.62,0.7637,0.05,0.0236,2.0,0.9428,10.0
