formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
F18 Nd6,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.84,1.2298,1.35,0.5846,6.0,2.5981,9.0
F12 Sm4,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.81,1.2168,1.35,0.5846,6.0,2.5981,8.6666666666666661
Cu2 Eu2 F2 Se2,4,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,3.98,1.4306,1.35,0.484,6.0,2.1794,7.0
F13 Na5 Zr2,3,0.0,0.25,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.0,3.05,1.4043,1.3,0.5898,3.0,0.9206,5.8461538461538458
F8 Li2 Y2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,3.0,1.3594,1.3,0.5399,3.0,1.118,5.0
Ca1 F6 Pb1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-0.25,2.98,1.0561,1.3,0.5629,4.0,1.3919,6.0
Ba1 F6 Ti1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.125,0.0,3.09,1.2083,1.65,0.5831,4.0,1.3919,6.0
Cr4 F12 O4,3,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,-0.4,2.32,0.8987,0.9,0.3521,2.0,0.8,5.666666666666667
F12 Li4 Rh2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.1111,3.0,1.2606,0.95,0.433,3.0,0.9428,6.0
Ba4 F20 Sb4,3,0.0,0.0,0.1429,0.0,0.7143,0.0,0.1429,0.0,0.0,0.0,-0.8571,3.09,1.1755,1.65,0.6164,4.0,1.6036,6.2000000000000002
