formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ba2 Fe4 S6,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,1.69,0.6171,1.15,0.41,3.0,1.0672,5.0
As4 Fe4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.5,0.35,0.175,0.25,0.125,0.0,0.0,7.0
Fe2 O12 Sr4 Ta2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.1,2.49,1.0714,1.4,0.5747,4.0,1.5362,6.0
Fe4 Li4 O28 P8,4,0.0,0.0909,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.5455,2.46,0.8445,0.85,0.3215,2.0,0.6428,5.0
Bi2 Fe1 Ho6,3,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.1111,2.8889,0.79,0.3464,0.35,0.1157,4.0,1.3699,8.0
Fe2 Rh4 S8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.75,0.2624,0.4,0.1821,2.0,0.8806,4.0
Fe4 Mo2 O8,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,1.61,0.7493,0.85,0.4044,3.0,1.1952,5.0
B16 Fe4 Sm4,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.6667,0.0,0.1667,0.1667,2.8333,0.87,0.318,1.0,0.3877,6.0,2.2111,10.0
C6 Fe1 N6 Sn2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,-3.2,1.21,0.415,0.8,0.3043,3.0,1.0873,6.0
B4 Fe56 Nd8,3,0.0,0.0,0.0,0.0,0.0,0.1176,0.0588,0.0,0.1176,0.8235,2.1765,0.9,0.2321,1.0,0.203,6.0,1.4118,8.2857142857142865
Fe3 Pt1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.45,0.1949,0.05,0.0217,2.0,0.866,12.0
Fe12 O24 Zn6,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2857,1.79,0.8283,0.8,0.388,2.0,0.9897,5.666666666666667
B2 Fe2 O6,3,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.2,-0.2,1.61,0.7403,0.8,0.3105,2.0,0.8,6.0
C4 Fe2 U2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.17,0.4986,1.05,0.4547,7.0,2.8614,5.0
Ca4 Fe8 O16,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.2857,-0.2857,2.44,0.9682,1.2,0.4781,2.0,0.9897,6.0
