formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ga20 O48 Tb12,3,0.0,0.0,0.0,0.6,0.0,0.15,0.0,0.0,0.15,0.0,0.0,3.44,1.2595,1.15,0.4473,6.0,2.1071,4.7999999999999998
Ga2 Na6 P8 Sr6,4,0.0,0.2727,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.5935,1.0,0.4324,2.0,0.8814,6.0
C1 Ga1 Mn3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.3873,0.7,0.2728,2.0,0.8,6.0
Ga4 H6 O18 P6,4,0.0,0.0,0.0,0.5294,0.0,0.0,0.0,0.0,0.0,0.0,-1.4118,1.63,0.6792,1.05,0.3149,3.0,0.8765,5.0
Ga16 Na4 Nd4 S32,4,0.0,0.0714,0.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,0.0,1.65,0.5637,0.85,0.2856,5.0,1.2877,4.0
Ga8 Ni2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.8333,1.91,0.683,0.45,0.165,4.0,1.4907,7.5
Br3 Ga1 La3,3,0.0,0.0,0.0,0.0,0.4286,0.4286,0.0,0.0,0.4286,0.4286,1.2857,1.86,0.8644,0.8,0.3805,4.0,1.9795,6.0
Ce3 Ga1,2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,3.0,0.69,0.2988,0.55,0.2382,4.0,1.7321,12.0
Ga10 Pd2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.8333,0.39,0.1453,0.1,0.0373,1.0,0.3727,7.4000000000000004
Ga2 Hf4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.6667,0.51,0.2404,0.25,0.1179,2.0,0.9428,9.0
