formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Gd4 Pt4,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,1.08,0.54,0.45,0.225,2.0,1.0,7.0
Gd1 In1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,0.58,0.29,0.25,0.125,3.0,1.5,10.0
Al4 Gd4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.0,0.0,2.24,1.0053,1.2,0.4854,6.0,2.3324,7.0
C4 Cl12 Gd12,3,0.0,0.0,0.0,0.0,0.4286,0.4286,0.0,0.0,0.4286,0.0,0.2857,1.96,0.9165,1.1,0.444,6.0,2.6186,6.0
Gd1 Mg1,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5,0.11,0.055,0.3,0.15,5.0,2.5,10.0
Al2 Gd1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.7,0.2571,0.7,0.2588,5.0,2.0,8.0
Gd12 O32 Re4,3,0.0,0.0,0.0,0.6667,0.0,0.25,0.0,0.0,0.25,0.0833,-0.25,2.24,0.9891,1.2,0.5249,6.0,2.6405,6.333333333333333
Gd3 Pd3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.0,0.41,0.5,0.216,3.0,1.2472,10.0
B2 Co3 Gd1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,2.5,0.84,0.2864,0.95,0.3297,6.0,2.0,16.0
Gd4 Ge4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.81,0.3314,0.55,0.2392,4.0,1.8856,9.5
Gd2 O12 Rh2 Sr6,4,0.0,0.0,0.2727,0.5455,0.0,0.0909,0.0,0.0,0.0909,0.0909,0.0,2.49,1.1371,1.4,0.6356,6.0,1.9667,7.0
Cd6 Gd2,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,0.49,0.2122,0.25,0.1083,3.0,1.299,11.0
Gd1 Na1 S2,3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.65,0.7635,0.8,0.4,5.0,2.1651,6.0
Ba4 Gd8 O20 Zn4,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.1105,1.55,0.6138,6.0,2.4944,7.0
Ag1 Gd1 Mg2,3,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.0,0.73,0.2879,0.3,0.1225,5.0,2.0463,10.0
Al1 Gd1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,0.41,0.205,0.55,0.275,5.0,2.5,10.0
Gd1 Pt2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.08,0.3945,0.7,0.2557,5.0,1.9391,16.0
Gd2 O8 V2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,2.24,0.9626,1.2,0.4776,6.0,2.2111,7.0
Cs2 Gd2 Hg2 Se6,4,0.0,0.1667,0.0,0.5,0.0,0.1667,0.0,0.0,0.1667,0.1667,-0.1667,1.76,0.7059,1.45,0.5239,4.0,1.4907,7.0
Gd6 Pd4,2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.4,2.6,1.0,0.4899,0.4,0.196,3.0,1.4697,8.3333333333333339
Ba8 Cl28 Gd4,3,0.0,0.0,0.2,0.0,0.7,0.1,0.0,0.0,0.1,0.0,0.0,2.27,0.9961,1.15,0.4821,5.0,1.7578,6.0
Cu2 Gd4 Rb2 S8,4,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.125,1.76,0.7061,1.35,0.4827,5.0,2.0578,6.0
Gd1 Ni2 P2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.99,0.3623,0.8,0.295,5.0,1.8547,15.0
Gd2 Na2 O4,3,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,2.51,1.1913,1.2,0.6,6.0,2.4875,6.0
Ba8 C8 F12 Gd4 O24,5,0.0,0.0,0.1429,0.4286,0.2143,0.0714,0.0,0.0,0.0714,0.0,-1.1429,3.09,1.0844,1.65,0.5997,6.0,1.964,7.0
