formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ca4 Ge4 O14 Zn2,4,0.0,0.0,0.1667,0.5833,0.0,0.0,0.1667,0.0,0.0,0.0833,-1.3333,2.44,0.9846,1.2,0.4688,2.0,0.986,4.0
Ge2 S4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-2.6667,0.57,0.2687,0.25,0.1179,1.0,0.4714,4.0
Ge3 Li3 Nd3,3,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,1.03,0.4526,0.6,0.2494,6.0,2.4944,8.3333333333333339
Ge3 Ru3 Sc3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,0.84,0.3597,0.35,0.1546,1.0,0.4714,8.6666666666666661
Ge38 I8 P8,3,0.0,0.0,0.0,0.0,0.1481,0.0,0.7037,0.0,0.0,0.0,-3.4074,0.65,0.2286,0.4,0.1112,2.0,0.5443,5.0
Er4 Ge8 Ir4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.5,0.96,0.3691,0.5,0.2062,4.0,1.6583,6.5
Ge2 Pd2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,2.2,0.8463,0.5,0.1828,4.0,1.4697,6.0
Ge2 Sc2 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.01,0.8375,0.5,0.2095,4.0,1.8856,8.0
Ge2 Li4 O8 Rb4,4,0.0,0.4444,0.0,0.4444,0.0,0.0,0.1111,0.0,0.0,0.0,-0.8889,2.62,1.1996,1.75,0.6823,3.0,1.2862,4.0
Ge2 Rh2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,1.33,0.493,0.75,0.2835,1.0,0.4899,7.0
Cu1 Ge4 O12 Yb2,4,0.0,0.0,0.0,0.6316,0.0,0.1053,0.2105,0.0,0.1053,0.0526,-1.6842,3.44,1.1167,1.15,0.4115,6.0,1.8712,4.0
Ge1 Sb4 Te7,3,0.0,0.0,0.0,0.5833,0.0,0.0,1.0,0.0,0.0,0.0,-2.5,0.09,0.0304,0.2,0.0519,1.0,0.2764,6.0
Ge2 Pd2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.9,0.333,0.55,0.2015,5.0,1.8547,6.0
Ge3 I6,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0,-2.0,0.65,0.3064,0.15,0.0707,1.0,0.4714,6.0
Ge4 Ni4 Ta4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,1.0,0.51,0.2207,0.2,0.0816,2.0,0.9428,7.0
