formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ca2 H8 O12 S2,4,0.0,0.0,0.0833,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.44,0.7723,1.55,0.417,3.0,0.862,3.0
Ca4 H4 Mn4 O20 Si4,5,0.0,0.0,0.1111,0.5556,0.0,0.0,0.1111,0.0,0.0,0.1111,-1.2222,2.44,0.932,1.55,0.4641,3.0,0.9558,3.0
B12 Cs2 H12,3,0.0,0.0769,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,1.0,1.41,0.3626,2.35,0.6176,5.0,1.2918,3.0
Cu2 H4 O10 Se2,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.3333,1.54,0.629,1.1,0.3448,3.0,1.0304,3.0
H2 Mn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.65,0.325,1.15,0.575,3.0,1.5,7.0
H8 Li4 N4,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.06,0.7345,1.2,0.4899,1.0,0.5,4.0
H8 O8,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.24,0.62,0.35,0.175,1.0,0.5,3.0
Be4 H16 N4 O16 P4,5,0.0,0.0,0.0909,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,1.87,0.6628,0.8,0.2751,2.0,0.6166,4.0
H32 Mn4 O32 S4,4,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.0556,-1.3333,1.89,0.6538,1.15,0.3016,3.0,0.8032,3.0
Ga4 H6 O18 P6,4,0.0,0.0,0.0,0.5294,0.0,0.0,0.0,0.0,0.0,0.0,-1.4118,1.63,0.6792,1.05,0.3149,3.0,0.8765,4.0
