formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Hf6 Sb6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.75,0.375,0.1,0.05,1.0,0.5,7.666666666666667
Ca2 Hf7 O16,3,0.0,0.0,0.08,0.64,0.0,0.0,0.0,0.0,0.0,0.28,0.0,2.44,1.0618,1.2,0.4867,4.0,1.7781,6.0
Ga2 Hf4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.6667,0.51,0.2404,0.25,0.1179,2.0,0.9428,8.0
Hf14 P8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,1.4545,0.89,0.4281,0.55,0.2646,3.0,1.4431,7.7857142857142856
Cu2 Hf2 Se6 Tl2,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,1.25,0.5025,0.75,0.2765,2.0,0.9428,7.0
Al1 Cu2 Hf1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.75,0.6,0.248,0.3,0.109,3.0,1.0897,10.0
Hf4 O12 Sr4,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.49,1.1395,1.4,0.593,4.0,1.7436,6.0
Hf6 Rh6 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.98,0.408,0.2,0.0816,1.0,0.4714,9.0
Hf6 Ni4 Si6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,0.5,0.61,0.2924,0.45,0.1952,3.0,1.317,9.3333333333333339
H2 Hf1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.9,0.4243,1.3,0.6128,5.0,2.357,8.0
F28 Hf4 K4 Pd4,4,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,3.16,1.2054,1.7,0.5891,4.0,1.4457,6.0
Hf3 P3 Ru3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,0.9,0.4219,0.55,0.2248,3.0,1.2472,10.0
