formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
As4 Cl4 Hg12 O16,4,0.0,0.0,0.0,0.4444,0.1111,0.0,0.1111,0.0,0.0,0.3333,-1.0,1.44,0.6726,0.9,0.3961,4.0,1.7638,6.0
C8 Hg8 N16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-2.25,1.04,0.4291,0.85,0.3614,4.0,1.7321,4.0
Hg2 Ho1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.6667,0.77,0.363,0.25,0.1179,2.0,0.9428,7.0
Hg9 O18 S3,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,-1.1,1.44,0.654,0.9,0.4036,4.0,1.7916,5.0
Ba2 Ca2 Cu3 Hg1 O8,5,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.0625,2.55,1.0613,1.55,0.5866,4.0,1.536,4.0
Eu1 Hg2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.3333,2.0,0.9428,0.35,0.165,2.0,0.9428,7.0
Ba2 Hg4,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,1.11,0.5233,0.65,0.3064,0.0,0.0,7.0
As4 H4 Hg4 O20 Zn4,5,0.0,0.0,0.0,0.5556,0.0,0.0,0.1111,0.0,0.0,0.2222,-1.2222,1.79,0.7269,1.25,0.3968,5.0,1.4741,6.0
Br4 Hg8 P12,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333,-1.3333,0.96,0.3265,0.5,0.2244,3.0,1.3437,5.0
Hg2 Pt2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.28,0.14,0.15,0.075,0.0,0.0,11.0
Hg12 I8 Te8,3,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.0,0.0,0.4286,-0.4286,0.66,0.2831,0.1,0.0495,1.0,0.4949,5.0
Ca10 Hg6,2,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.625,1.0,0.4841,0.3,0.1452,2.0,0.9682,8.3333333333333339
Cd1 Hg2 Ti1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.46,0.1997,0.15,0.0545,2.0,0.8292,11.0
Cd2 Hg1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6667,0.31,0.1461,0.05,0.0236,1.0,0.4714,9.0
Er1 Hg2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.6667,0.76,0.3583,0.25,0.1179,2.0,0.9428,8.0
Ca1 Hg1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.0,0.5,0.3,0.15,2.0,1.0,10.0
Hg1 Tm1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.0,0.75,0.375,0.25,0.125,2.0,1.0,10.0
Ba2 Hg2 Sn2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.3333,1.11,0.5141,0.7,0.3189,1.0,0.4714,6.0
Hg3 S3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.58,0.29,0.5,0.25,3.0,1.5,4.0
Hg4 O4,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.44,0.72,0.9,0.45,4.0,2.0,4.0
Cu1 Hf1 Hg2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.7,0.2915,0.2,0.075,2.0,0.866,10.0
Ag2 As2 Hg2 S6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.1667,0.65,0.2817,0.6,0.249,3.0,1.1547,5.0
Hg2 Y1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6667,0.78,0.3677,0.3,0.1414,1.0,0.4714,7.0
Cl4 Hg6 Te4,3,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.0,0.0,0.4286,-0.4286,1.16,0.5077,0.5,0.2119,3.0,1.2454,5.0
Br4 Hg8 N4,3,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,-0.5,1.04,0.5008,0.85,0.3482,4.0,1.6583,4.0
