formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu4 Ho3 Si4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0,0.2727,0.3636,0.0909,0.67,0.2984,0.65,0.257,5.0,2.049,11.0
Hg2 Ho1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.6667,0.77,0.363,0.25,0.1179,2.0,0.9428,14.0
Ho2 Rh4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.05,0.495,0.4,0.1886,3.0,1.4142,16.0
Ho6 O12 W1,3,0.0,0.0,0.0,0.6316,0.0,0.3158,0.0,0.0,0.3158,0.0526,-0.1053,2.21,1.0169,1.15,0.534,6.0,2.789,6.0
Cu2 Ho1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.67,0.268,0.65,0.2379,5.0,1.8547,14.0
Ho4 Mg8,2,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.3333,0.08,0.0377,0.25,0.1179,5.0,2.357,16.0
Bi2 Fe1 Ho6,3,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.1111,2.8889,0.79,0.3464,0.35,0.1157,4.0,1.3699,8.5
Ho1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Ho3 Rh3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.05,0.4394,0.4,0.17,3.0,1.4142,9.0
Ho1 Mn12,2,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0769,0.9231,2.0769,0.32,0.0853,0.35,0.0933,4.0,1.0659,17.0
Be4 Ho4 O14 Si2,4,0.0,0.0,0.1667,0.5833,0.0,0.1667,0.0833,0.0,0.1667,0.0,-0.6667,2.21,0.9701,1.15,0.4242,6.0,2.2158,7.0
Al14 Au6 Ho2,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.2727,3.0,1.31,0.4483,0.5,0.142,5.0,1.7628,16.0
Ge6 Ho6 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.375,0.25,0.375,0.97,0.4209,0.5,0.2332,4.0,1.7854,9.3333333333333339
Ho1 Si2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.3333,0.0,-1.6667,0.67,0.3158,0.65,0.3064,5.0,2.357,13.0
Ho10 Sb6,2,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.625,0.0,0.75,0.82,0.397,0.3,0.1452,3.0,1.4524,8.8000000000000007
Ba2 Ho1 O6 Ta1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,0.0,2.55,1.1444,1.55,0.6518,6.0,2.2716,6.0
