formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Al2 Cl12 I2,3,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,-0.5,1.55,0.5157,0.4,0.1456,2.0,0.6614,5.0
Ge38 I8 P8,3,0.0,0.0,0.0,0.0,0.1481,0.0,0.7037,0.0,0.0,0.0,-3.4074,0.65,0.2286,0.4,0.1112,2.0,0.5443,16.25
Au4 I16 K4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,1.84,0.6782,0.85,0.3024,2.0,0.5774,5.0
I10 Ru1 Y6,3,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.4118,0.6471,1.44,0.6766,0.5,0.1969,0.0,0.0,6.5999999999999996
I4 O12,2,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,-1.75,0.78,0.3377,0.8,0.3464,3.0,1.299,5.0
As2 F12 I6,3,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,-1.2,1.8,0.7176,0.9,0.416,3.0,1.3748,5.0
I4 Na4 O12,3,0.0,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-1.2,2.51,0.974,1.2,0.506,3.0,1.1662,4.0
Ge3 I6,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0,-2.0,0.65,0.3064,0.15,0.0707,1.0,0.4714,6.0
Cd4 I14 Tl6,3,0.0,0.0,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.1667,-0.0,1.04,0.4994,0.5,0.2092,1.0,0.433,5.2857142857142856
Hg12 I8 Te8,3,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.0,0.0,0.4286,-0.4286,0.66,0.2831,0.1,0.0495,1.0,0.4949,5.5
Co2 I8 Rb4,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,1.84,0.8052,1.0,0.434,1.0,0.3499,4.0
I1 Na1,2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.865,0.4,0.2,2.0,1.0,6.0
F12 I4,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.32,0.5716,0.9,0.3897,3.0,1.299,5.0
I4 Sb4 Se4,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,-2.0,0.61,0.2655,0.3,0.1312,1.0,0.4714,7.0
I12 La12 P4,3,0.0,0.0,0.0,0.0,0.4286,0.4286,0.0,0.0,0.4286,0.4286,0.4286,1.56,0.7302,0.95,0.3473,5.0,1.8516,7.0
I10 In2 Pb4,3,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.25,0.88,0.2949,0.4,0.1694,1.0,0.433,7.4000000000000004
Cu4 I4,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.76,0.38,0.05,0.025,1.0,0.5,4.5
I2 Nd1,2,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.3333,0.0,0.3333,1.52,0.7165,0.45,0.2121,3.0,1.4142,9.0
Bi1 I1 Te1,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.64,0.2847,0.2,0.0943,1.0,0.4714,7.0
I4 Np4 O20,3,0.1429,0.0,0.0,0.7143,0.1429,0.0,0.0,0.0,0.1429,0.0,-0.8571,2.08,0.7335,1.15,0.4503,7.0,2.499,4.0
I4 Nb8 Te24,3,0.0,0.0,0.0,0.6667,0.1111,0.0,0.6667,0.0,0.0,0.2222,-0.3333,1.06,0.2967,0.05,0.0208,0.0,0.0,7.0
Cl48 I8 Nb24,3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.8,1.56,0.6977,0.45,0.2148,2.0,0.9798,11.0
Cu4 I12 Tl8,3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1667,0.1667,1.04,0.4824,0.55,0.2422,2.0,0.6872,5.333333333333333
Ca4 I2 N2,3,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.9347,1.15,0.4695,3.0,1.0897,9.0
I12 O36 Tb4,3,0.0,0.0,0.0,0.6923,0.2308,0.0769,0.0,0.0,0.0769,0.0,-1.3846,3.44,0.9236,1.15,0.4182,6.0,1.8748,4.333333333333333
