formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Er4 Ge8 Ir4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.5,0.96,0.3691,0.5,0.2062,4.0,1.6583,6.0
B2 Ir3 U1,3,0.1667,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.5,3.5,0.82,0.2907,0.9,0.3162,7.0,2.4777,7.0
Ca2 Ir2 O6,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.44,0.978,1.2,0.4984,4.0,1.6,6.0
Ir4 U2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,4.0,0.82,0.3866,0.4,0.1886,3.0,1.4142,10.0
Ir8 U8,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.5,0.82,0.41,0.4,0.2,3.0,1.5,7.0
F6 Ir1 K2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.1111,3.16,1.3271,1.7,0.7068,4.0,1.3699,6.0
Ca3 Ir4 Si4,3,0.0,0.0,0.2727,0.0,0.0,0.0,0.3636,0.0,0.0,0.3636,0.1818,1.2,0.4848,0.7,0.2774,3.0,1.2984,5.0
Dy2 Ir4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,0.98,0.462,0.4,0.1886,2.0,0.9428,10.0
Eu3 Ir6 P6,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.4,2.2,0.878,0.85,0.3121,5.0,1.9391,5.5
Al1 Ir1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.59,0.295,0.1,0.05,3.0,1.5,10.0
B2 Ir2 Zn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,2.8,0.55,0.2012,0.5,0.2449,4.0,1.7889,8.0
Ir6 Sn14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.9,0.24,0.11,0.1,0.0458,1.0,0.4583,8.0
Ir2 La2 P2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.0,1.1,0.5162,0.95,0.3923,5.0,2.0548,6.0
