formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
K8 O40 P8 Ti8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.62,0.9922,1.6,0.5454,2.0,0.857,7.5
C8 Cu2 K6 N8,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,-1.9167,2.22,0.8712,1.55,0.6545,2.0,0.9428,6.0
Au4 I16 K4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,1.84,0.6782,0.85,0.3024,2.0,0.5774,8.0
K12 O30 Si12,3,0.0,0.2222,0.0,0.5556,0.0,0.0,0.2222,0.0,0.0,0.0,-1.7778,2.62,1.0945,1.6,0.6377,2.0,0.8165,6.666666666666667
F12 K2 Rb4 Sc2,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4893,1.85,0.8198,3.0,1.2649,6.0
K3 O4 V1,3,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,2.62,1.2339,1.6,0.741,2.0,1.0,5.666666666666667
F6 Ir1 K2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.1111,3.16,1.3271,1.7,0.7068,4.0,1.3699,11.0
Ce2 K2 Se8,3,0.0,0.1667,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.0,-0.6667,1.73,0.7498,1.05,0.4247,4.0,1.4907,nan
As4 Au2 K10,3,0.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.25,1.72,0.724,1.05,0.4795,2.0,0.6614,8.1999999999999993
Cu2 F7 K3,3,0.0,0.25,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.1667,-0.0,3.16,1.3876,1.7,0.7224,2.0,0.986,8.0
K4 S6,2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.76,0.8622,1.2,0.5879,1.0,0.4899,8.5
Cl6 K2 Mn1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.34,1.0081,1.2,0.4909,1.0,0.4714,12.0
K4 O16 V6,3,0.0,0.1538,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.2308,0.0769,2.62,1.067,1.6,0.5898,2.0,0.973,7.0
Cs1 K2 O8 P2 Yb1,5,0.0,0.2143,0.0,0.5714,0.0,0.0714,0.0,0.0,0.0714,0.0,-1.1429,3.44,1.2549,2.0,0.7127,6.0,1.767,6.0
Br16 K4 Tl4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.3333,2.14,0.8521,1.05,0.433,2.0,0.7454,8.0
As4 Ge2 K4,3,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.6,1.36,0.6415,1.05,0.4994,0.0,0.0,7.0
H24 K4 Ni2 O28 S4,5,0.0,0.0645,0.0,0.4516,0.0,0.0,0.0,0.0,0.0,0.0323,-1.2903,2.62,0.77,1.95,0.4906,3.0,0.9067,8.0
Ce4 K12 P8 S32,4,0.0,0.2143,0.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,-1.1429,1.76,0.7411,1.2,0.5091,5.0,1.2936,7.666666666666667
F12 K4 Zr2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,0.0,3.16,1.4163,1.7,0.7213,3.0,1.1331,8.0
Cu2 K4 Sb2,3,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,1.23,0.5799,0.85,0.4016,1.0,0.433,11.0
C12 Co2 K6 N12,4,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-2.3125,2.22,0.8037,1.55,0.5978,2.0,0.866,6.666666666666667
K8 Si46,2,0.0,0.1481,0.0,0.0,0.0,0.0,0.8519,0.0,0.0,0.0,-3.2593,1.08,0.3837,1.1,0.3908,1.0,0.3552,16.25
K12 Mn2 Te8,3,0.0,0.5455,0.0,0.3636,0.0,0.0,0.3636,0.0,0.0,0.0909,0.0,1.28,0.6012,0.8,0.3983,1.0,0.481,8.0
Ca18 K2 Mg2 O56 P14,5,0.0,0.0217,0.2174,0.6087,0.0,0.0,0.0,0.0,0.0,0.0,-1.2174,2.62,1.0277,1.6,0.5068,2.0,0.8203,7.0
F5 K1 O1 Rb2 Zr1,5,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4566,1.85,0.8098,3.0,1.3748,6.0
Ga16 K16 Sb32,3,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,1.23,0.5075,0.9,0.3518,1.0,0.5,8.0
Ge4 K4 O14 Zr2,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.1667,0.0,0.0,0.0833,-1.3333,2.62,1.0639,1.6,0.605,3.0,1.1149,7.0
K32 O24 Sn8,3,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,2.62,1.2128,1.6,0.741,3.0,1.111,6.25
K1 Pr1 S2,3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.76,0.8099,1.2,0.5272,5.0,2.0616,7.0
K4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.62,1.0573,1.6,0.5754,3.0,1.0553,6.0
Cu20 K12 O16,3,0.0,0.25,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.4167,0.4167,2.62,1.0114,1.6,0.6056,2.0,0.9428,6.333333333333333
Br18 K4 Nb6,3,0.0,0.1429,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.2143,0.5714,2.14,0.8331,1.05,0.3618,1.0,0.4103,6.0
F24 K8 Sn8,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-1.2,3.16,1.3191,1.7,0.6911,3.0,1.2649,6.75
F28 Hf4 K4 Pd4,4,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,3.16,1.2054,1.7,0.5891,4.0,1.4457,9.0
Bi4 K12 Se12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.8094,1.05,0.4868,2.0,0.6999,7.333333333333333
B6 K6 S12,3,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.76,0.7188,1.35,0.5447,2.0,0.7071,8.0
