formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ba1 La1 Mn1 Mo1 O6,5,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.3,-0.1,2.55,1.034,1.55,0.5931,6.0,2.0616,12.0
Au8 La16 O36,3,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0,0.2667,0.4,0.0,2.34,1.0073,1.35,0.5911,6.0,2.68,6.5
In8 La2 Ni2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.3333,2.8333,0.81,0.2674,0.6,0.1795,4.0,1.2472,11.0
Ba2 La1 O6 Ta1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.2,0.0,2.55,1.1596,1.55,0.6739,6.0,2.2716,6.0
La4 O18 W4,3,0.0,0.0,0.0,0.6923,0.0,0.1538,0.0,0.0,0.1538,0.3077,-0.3077,2.34,0.8631,1.35,0.5124,6.0,2.3734,8.0
Al2 La2 O6,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.0,2.34,1.0341,1.35,0.5376,6.0,2.3324,9.0
La2 Mn2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.6667,0.3333,0.8,0.3274,0.85,0.352,5.0,2.1602,10.0
C1 Cl1 La2,3,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.5,0.25,2.06,0.9036,1.25,0.5601,6.0,2.7726,6.0
La1 Pt2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.6,-0.2,1.18,0.4309,0.85,0.3108,5.0,1.9391,17.0
La6 Ni4 O14,3,0.0,0.0,0.0,0.5833,0.0,0.25,0.0,0.0,0.25,0.4167,-0.0833,2.34,1.0264,1.35,0.5792,6.0,2.5111,6.333333333333333
Au3 In3 La3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.44,0.5882,0.6,0.2494,3.0,1.2472,9.0
Br3 Ga1 La3,3,0.0,0.0,0.0,0.0,0.4286,0.4286,0.0,0.0,0.4286,0.4286,1.2857,1.86,0.8644,0.8,0.3805,4.0,1.9795,6.0
B3 Ca4 La1 O10,4,0.0,0.0,0.2222,0.5556,0.0,0.0556,0.1667,0.0,0.0556,0.0556,-0.0,2.44,1.0648,1.35,0.5336,6.0,1.5113,6.0
Cl6 La6 O12 W2,4,0.0,0.0,0.0,0.4615,0.2308,0.2308,0.0,0.0,0.2308,0.3077,-0.1538,2.34,0.9479,1.35,0.5364,6.0,2.4639,8.0
