formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu6 Li4 O28 P8,4,0.0,0.087,0.0,0.6087,0.0,0.0,0.0,0.0,0.0,0.1304,-1.3913,2.46,0.8412,0.85,0.3253,2.0,0.7118,5.0
F8 Li2 Y2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,3.0,1.3594,1.3,0.5399,3.0,1.118,5.0
Ge3 Li3 Nd3,3,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,1.03,0.4526,0.6,0.2494,6.0,2.4944,8.0
H8 Li4 N4,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.06,0.7345,1.2,0.4899,1.0,0.5,8.5
Li8 O16 U4,3,0.1429,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,2.46,1.158,1.15,0.4792,7.0,2.4495,5.0
Li6 Mn4 O32 P10,4,0.0,0.1154,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0769,-1.5385,2.46,0.9084,0.85,0.3277,2.0,0.6166,5.0
As2 Li2 Mn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,1.2,0.4901,0.3,0.1312,2.0,0.9428,9.0
Li4 Mo8 O52 P12,4,0.0,0.0526,0.0,0.6842,0.0,0.0,0.0,0.0,0.0,0.1053,-1.3684,2.46,0.7243,0.85,0.3168,3.0,0.9386,5.0
F12 Li4 Rh2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.1111,3.0,1.2606,0.95,0.433,3.0,0.9428,6.0
Li2 Mn6 O8,3,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375,-0.125,2.46,1.0311,0.85,0.4065,2.0,0.9682,6.0
Li2 O6 Re2,3,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.46,1.0221,0.85,0.3932,4.0,1.6,6.0
Ca2 Li2 O10 Ta3,4,0.0,0.1176,0.1176,0.5882,0.0,0.0,0.0,0.0,0.0,0.1765,0.0588,2.46,1.1101,1.2,0.4784,4.0,1.5519,6.0
Cu4 Li8 O28 P8,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.46,0.9535,0.85,0.3473,2.0,0.6236,5.0
Li2 Nd2 O24 P8,4,0.0,0.0556,0.0,0.6667,0.0,0.0556,0.0,0.0,0.0556,0.0,-1.7778,2.46,0.8266,1.25,0.3468,6.0,1.3833,5.0
Cu2 Li4 O24 P8,4,0.0,0.1053,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0526,-1.6842,2.46,0.8526,0.85,0.3064,2.0,0.5669,5.0
Li2 Ru2 Sn8,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,-2.0,1.22,0.393,0.15,0.0559,3.0,1.118,10.0
Ge2 Li4 O8 Rb4,4,0.0,0.4444,0.0,0.4444,0.0,0.0,0.1111,0.0,0.0,0.0,-0.8889,2.62,1.1996,1.75,0.6823,3.0,1.2862,5.0
Fe4 Li4 O28 P8,4,0.0,0.0909,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.5455,2.46,0.8445,0.85,0.3215,2.0,0.6428,5.0
Li2 O10 P2 V2,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-0.875,2.46,0.9408,0.85,0.3437,2.0,0.696,6.0
Cr4 Li6 O24 P6,4,0.0,0.15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-1.2,2.46,0.9589,0.85,0.3533,2.0,0.6538,5.0
As1 Li1 Zn1,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.0,1.2,0.491,0.3,0.1247,2.0,0.9428,8.0
Al4 H16 Li4,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.4638,1.2,0.5217,2.0,0.7638,5.0
Li6 O24 P6 Zn6,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.46,0.9634,0.85,0.3533,2.0,0.7284,4.0
Li4 O48 P16 Sb4,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0556,0.0,0.0,0.0,-2.1111,2.46,0.741,0.85,0.2867,3.0,0.7556,4.0
Li4 Mg4 O16 P4,4,0.0,0.1429,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,-1.1429,2.46,1.0197,0.9,0.384,1.0,0.4518,6.0
Li1 Mn4 O8,3,0.0,0.0769,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3077,-0.5385,2.46,0.9852,0.85,0.3943,2.0,0.9231,5.0
Li2 O8 Rb4 V2,4,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,2.62,1.212,1.75,0.721,3.0,1.3229,4.0
Cr2 Li6 O16 P4,4,0.0,0.2143,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0714,-1.1429,2.46,1.026,0.85,0.3681,2.0,0.589,5.0
Li4 O24 Sb4 W4,4,0.0,0.1111,0.0,0.6667,0.0,0.0,0.1111,0.0,0.0,0.1111,-1.1111,2.46,0.8465,0.85,0.3859,4.0,1.4741,6.0
Al2 Li2 O20 Si8,4,0.0,0.0625,0.0,0.625,0.0,0.0,0.25,0.0,0.0,0.0,-2.0,2.46,0.8683,0.85,0.2936,1.0,0.4635,5.0
Li1 Pt7,2,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.875,1.3,0.4299,0.1,0.0331,4.0,1.3229,12.0
Li4 O48 P12 Sn8,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-2.2222,2.46,0.7619,0.85,0.322,3.0,0.9574,5.0
Al3 Li8 Si5,3,0.0,0.5,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,-0.1875,0.92,0.4176,0.35,0.1556,1.0,0.5,10.0
