formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Lu1 Te1,2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.83,0.415,0.35,0.175,1.0,0.5,6.0
C12 Lu8,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,-1.2,1.28,0.6271,1.05,0.5144,4.0,1.9596,8.0
Lu2 O2 S1,3,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.17,0.9746,1.15,0.519,4.0,1.833,6.0
Lu1 Pt3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,1.01,0.4373,0.4,0.1732,0.0,0.0,12.0
K2 Lu2 O16 W4,4,0.0,0.0833,0.0,0.6667,0.0,0.0833,0.0,0.0,0.0833,0.1667,-0.3333,2.62,0.9074,1.6,0.5402,4.0,1.724,6.0
Lu4 Mg2 Se8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,1.28,0.627,0.6,0.2671,3.0,1.0498,6.0
C1 Lu3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,1.28,0.5174,1.05,0.4069,4.0,1.5492,6.0
Au2 Lu2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.27,0.5191,0.4,0.17,1.0,0.4714,9.0
Cd1 Lu1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.42,0.21,0.2,0.1,1.0,0.5,10.0
Lu10 Pd4 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.625,0.25,2.0,0.93,0.4282,0.35,0.162,1.0,0.4841,8.1999999999999993
Lu1 Na1 O8 Pd6,4,0.0,0.0625,0.0,0.5,0.0,0.0625,0.0,0.0,0.0625,0.375,0.0,2.51,0.8312,1.2,0.4615,4.0,1.5398,8.0
Eu2 Lu4 S8,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.4286,0.0,0.0,2.58,0.9431,0.85,0.3889,5.0,1.9166,7.0
Ba2 Lu1 O6 Ru1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.2,2.55,1.0959,1.55,0.6455,4.0,1.8574,6.0
Ba4 Co4 Lu8 O20,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.076,1.55,0.6017,4.0,1.8325,7.0
Cr2 Lu2 O8,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,-0.3333,2.17,0.9378,1.15,0.4706,4.0,1.5275,7.0
Lu4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.06,0.4792,0.4,0.1806,1.0,0.4899,8.0
Al6 Co2 Lu4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.1667,2.8333,0.61,0.2145,0.5,0.2267,3.0,1.3437,14.0
Lu2 Pr2 Se6,3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,1.42,0.6628,0.7,0.32,4.0,1.6,6.0
Lu1 Pb3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,2.25,1.06,0.459,0.05,0.0217,0.0,0.0,12.0
B2 Lu10 Si6,3,0.0,0.0,0.0,0.0,0.0,0.5556,0.4444,0.0,0.5556,0.0,0.6667,0.77,0.3329,0.9,0.3613,4.0,1.6405,7.7999999999999998
Lu2 O8 Ta2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,2.17,0.971,1.15,0.4793,4.0,1.8856,7.0
Cu2 In1 Lu1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,2.5,0.63,0.2601,0.4,0.1658,2.0,0.8292,10.0
Lu1 P1 Pt1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.01,0.4564,0.75,0.3064,3.0,1.4142,13.0
Lu4 O14 Sn4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.0,-1.4545,2.17,0.9022,1.15,0.4895,4.0,1.7104,6.0
Lu4 Mn4 O14,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.1818,-0.3636,2.17,0.9802,1.15,0.4807,4.0,1.5641,6.0
Cd2 Cs2 Lu2 Te6,4,0.0,0.1667,0.0,0.5,0.0,0.1667,0.5,0.0,0.1667,0.1667,-0.0,1.31,0.4982,1.2,0.4288,1.0,0.4714,7.0
C1 Lu3 Tl1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.2,1.28,0.4959,1.2,0.4389,4.0,1.6,6.0
Lu2 Mn10,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,0.28,0.1043,0.35,0.1304,2.0,0.7454,15.0
Ge8 Lu12 O34,3,0.0,0.0,0.0,0.6296,0.0,0.2222,0.1481,0.0,0.2222,0.0,-1.1852,2.17,0.9315,1.15,0.4824,4.0,1.6563,5.666666666666667
Lu2 O3,2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.17,1.0631,1.15,0.5634,4.0,1.9596,6.0
Al4 Lu2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,3.0,0.34,0.1603,0.5,0.2357,3.0,1.4142,16.0
Cu2 Lu1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.63,0.252,0.65,0.2379,3.0,1.0954,14.0
Lu1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Cr2 Lu1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,0.63,0.2305,0.65,0.2408,3.0,1.0954,12.0
Lu4 O12 Pr4,3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.31,1.0983,1.25,0.5887,6.0,2.5298,6.0
Cl16 Lu4 Na4,3,0.0,0.1667,0.0,0.0,0.6667,0.1667,0.0,0.0,0.1667,0.0,0.0,2.23,0.976,0.8,0.3656,3.0,1.118,5.0
Lu2 O8 V2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,2.17,0.9438,1.15,0.4625,4.0,1.5275,7.0
Lu8 O16 Pd4,3,0.0,0.0,0.0,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.1429,0.0,2.17,0.9642,1.15,0.5227,4.0,1.8406,6.0
Au1 Lu1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.27,0.5191,0.4,0.17,1.0,0.4714,8.0
Cl2 H2 Lu2,3,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.3333,1.89,0.7716,1.5,0.6124,5.0,2.0548,6.0
Lu1 Mg1,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5,0.04,0.02,0.25,0.125,3.0,1.5,10.0
Ge12 Lu6 Mn6,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.75,0.74,0.3159,0.5,0.2043,2.0,0.866,9.3333333333333339
Ge4 Lu4 Na4 O16,4,0.0,0.1429,0.0,0.5714,0.0,0.1429,0.1429,0.0,0.1429,0.0,-1.1429,2.51,1.0502,1.2,0.5209,4.0,1.4142,5.0
Au2 Ge2 Lu2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.27,0.5208,0.5,0.216,2.0,0.9428,10.0
In2 Lu4 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,0.93,0.4163,0.35,0.1568,1.0,0.4899,8.0
Lu8 O28 Si8,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.1818,0.0,0.1818,0.0,-1.4545,2.17,0.9123,1.15,0.4426,4.0,1.5048,6.0
B2 Co3 Lu1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,2.5,0.77,0.2612,0.9,0.3162,4.0,1.3744,17.0
Au2 Lu2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.27,0.5185,0.65,0.2677,3.0,1.4142,10.0
Lu4 O14 V4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.1818,0.1818,2.17,0.9634,1.15,0.4726,4.0,1.5641,6.0
Lu4 S6,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,1.31,0.6418,0.75,0.3674,3.0,1.4697,5.0
Lu4 Mn4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,2.17,0.9984,1.15,0.4903,4.0,1.6,6.0
Co6 Lu4 Si10,3,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.3,-0.8,0.63,0.2492,0.65,0.2474,3.0,1.1358,10.0
B2 Lu1 Os3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.5,0.93,0.3306,0.9,0.3092,4.0,1.8856,12.0
Fe6 Ge6 Lu1,3,0.0,0.0,0.0,0.0,0.0,0.0769,0.4615,0.0,0.0769,0.4615,-0.6923,0.74,0.1936,0.5,0.1342,2.0,0.5329,11.0
B2 Fe2 Lu1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,2.6,0.77,0.2821,0.9,0.3507,4.0,1.4967,13.0
Ba2 Cu3 Lu1 O6,4,0.0,0.0,0.1667,0.5,0.0,0.0833,0.0,0.0,0.0833,0.25,0.0833,2.55,1.0427,1.55,0.5982,4.0,1.6583,8.0
Lu8 O20 Si4,3,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.17,0.9662,1.15,0.4893,4.0,1.691,6.0
Cd2 Lu4 S8,3,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.2857,0.1429,0.0,1.31,0.5933,0.75,0.3437,3.0,1.3553,6.0
Ga3 Lu1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,0.54,0.2338,0.45,0.1949,2.0,0.866,12.0
Lu8 O20 Si4,3,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.17,0.9662,1.15,0.4893,4.0,1.691,6.0
H2 Lu1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.3333,0.93,0.4384,1.5,0.7071,5.0,2.357,8.0
In3 Lu1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,0.51,0.2208,0.2,0.0866,1.0,0.433,12.0
Lu1 Na1 S2,3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.65,0.7497,0.8,0.3879,3.0,1.299,6.0
Lu1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.64,0.254,0.65,0.2379,3.0,1.0954,15.0
C14 Lu8,2,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,0.0,0.3636,0.0,-1.4545,1.28,0.6157,1.05,0.5051,4.0,1.9242,6.0
Br2 Lu2 S2,3,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,1.69,0.7239,0.75,0.324,3.0,1.2472,6.0
Ge6 Lu4 Rh7,3,0.0,0.0,0.0,0.0,0.0,0.2353,0.3529,0.0,0.2353,0.4118,0.5294,1.01,0.3936,0.5,0.1942,2.0,0.7579,12.0
Lu2 Ni4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.64,0.3017,0.4,0.1886,2.0,0.9428,16.0
C2 Lu1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,-1.6667,1.28,0.6034,1.05,0.495,4.0,1.8856,7.0
F34 Lu6 Sr8,3,0.0,0.0,0.1667,0.0,0.7083,0.125,0.0,0.0,0.125,0.0,-0.0,3.03,1.3177,1.5,0.6366,4.0,1.5811,7.333333333333333
Lu1 Ni5,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,0.64,0.2385,0.4,0.1491,2.0,0.7454,13.0
B8 Lu4 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,3.0,0.93,0.3624,0.9,0.3731,4.0,1.7854,11.0
Lu1 Ni1 Sb1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,0.78,0.3395,0.4,0.17,2.0,0.8165,8.0
Lu1 S1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.31,0.655,0.75,0.375,3.0,1.5,6.0
Co4 Lu2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.61,0.2876,0.4,0.1886,2.0,0.9428,16.0
B2 C6 Lu6,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.1429,0.0,0.4286,0.0,0.0,1.28,0.5943,1.05,0.5035,4.0,1.9795,5.333333333333333
Lu12 Ni4 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.2222,2.0,0.69,0.3099,0.4,0.175,2.0,0.8315,8.0
