formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Al16 Be2 Mg6 O32,4,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9481,0.9,0.3547,1.0,0.4884,5.0
Mg18 Sn10,2,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1429,0.65,0.3115,0.05,0.024,2.0,0.9583,7.333333333333333
Al16 Mg8 O32,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9596,0.9,0.371,1.0,0.4949,5.125
F8 Mg2 Sm2,3,0.0,0.0,0.1667,0.0,0.6667,0.1667,0.0,0.0,0.1667,0.0,0.1667,2.81,1.2923,1.35,0.563,6.0,2.1922,5.0
Ho4 Mg8,2,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.3333,0.08,0.0377,0.25,0.1179,5.0,2.357,9.25
Mg1 Tm1,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5,0.06,0.03,0.25,0.125,5.0,2.5,10.0
Mg34 Sr4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.36,0.1105,0.5,0.1534,2.0,0.6138,9.1764705882352935
Li4 Mg4 O16 P4,4,0.0,0.1429,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,-1.1429,2.46,1.0197,0.9,0.384,1.0,0.4518,5.0
Br8 H48 Mg4 O48,4,0.0,0.0,0.037,0.4444,0.0741,0.0,0.0,0.0,0.0,0.0,-1.3333,2.13,0.6523,1.25,0.3166,3.0,0.8429,6.0
Ba1 Mg2 P2,3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5227,1.15,0.4238,3.0,1.2,6.0
As2 Ca2 F2 Mg2 O8,5,0.0,0.0,0.25,0.5,0.125,0.0,0.125,0.0,0.0,0.0,-1.0,2.98,1.0531,1.3,0.4677,2.0,0.857,5.0
In3 Mg3 Sm3,3,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.6667,0.61,0.2609,0.35,0.1546,5.0,2.0548,8.0
Mg4 Mo6 O16,3,0.0,0.0,0.1538,0.6154,0.0,0.0,0.0,0.0,0.0,0.2308,0.0,2.13,0.8294,0.9,0.4235,3.0,1.2308,5.5
Mg16 Pd8,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.0,0.89,0.4196,0.1,0.0471,2.0,0.9428,9.0
Ca18 K2 Mg2 O56 P14,5,0.0,0.0217,0.2174,0.6087,0.0,0.0,0.0,0.0,0.0,0.0,-1.2174,2.62,1.0277,1.6,0.5068,2.0,0.8203,6.0
Gd1 Mg1,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5,0.11,0.055,0.3,0.15,5.0,2.5,10.0
In4 Mg2 S8,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.4951,0.55,0.2644,2.0,0.9035,4.0
Mg2 Ni3 P1,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1667,0.88,0.331,0.5,0.1669,1.0,0.5,12.0
Mg2 N2 Sr1,3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.9158,1.35,0.5305,3.0,1.0954,6.0
Mg2 O6 Si2,3,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,-1.6,2.13,0.9181,0.9,0.3655,1.0,0.4899,5.0
H6 Li2 Mg2,3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.5273,1.25,0.6003,2.0,0.8,5.0
Ba6 Mg2 O18 Ru4,4,0.0,0.0,0.2667,0.6,0.0,0.0,0.0,0.0,0.0,0.1333,-0.2667,2.55,1.0677,1.55,0.6206,4.0,1.6918,6.0
Ag1 Ce1 Mg2,3,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.0,0.81,0.3059,0.35,0.1431,5.0,2.0463,10.0
Lu4 Mg2 Se8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,1.28,0.627,0.6,0.2671,3.0,1.0498,4.0
Mg12 Ni6,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.0,0.6,0.2828,0.15,0.0707,1.0,0.4714,10.0
C2 Mg2 O6,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,2.13,0.8372,0.9,0.3521,1.0,0.4,6.0
Ce4 Cu4 Mg2,3,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,0.78,0.3579,0.5,0.2272,5.0,2.1541,10.0
Mg12 Nd1,2,0.0,0.0,0.9231,0.0,0.0,0.0769,0.0,0.0,0.0769,0.0,2.0769,0.17,0.0453,0.35,0.0933,5.0,1.3323,9.6666666666666661
Mg18 Pd6,2,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.89,0.3854,0.1,0.0433,2.0,0.866,8.7777777777777786
Mg24 N16,2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.73,0.8475,0.85,0.4164,1.0,0.4899,5.0
F3 Mg1 Rb1,3,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.4364,1.85,0.7481,3.0,1.1662,6.0
Bi4 Mg8 O24 V4,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.13,0.9358,1.0,0.4384,4.0,1.249,5.0
Mg8 Sr4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.36,0.1697,0.5,0.2357,2.0,0.9428,9.0
Ba3 Mg1 Nb2 O9,4,0.0,0.0,0.2667,0.6,0.0,0.0,0.0,0.0,0.0,0.1333,0.0,2.55,1.1177,1.55,0.6303,4.0,1.6918,6.0
B8 Mg2 Os6,3,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.0,0.375,3.25,0.89,0.2743,0.65,0.2574,4.0,1.8666,12.0
Mg4 O16 Sb8,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.2857,0.0,0.0,0.0,-1.7143,2.13,0.8415,0.9,0.4292,3.0,1.3093,6.0
