formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Mn2 S16 Ta8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.4615,1.08,0.5207,0.45,0.2144,3.0,1.3587,6.0
Ba1 La1 Mn1 Mo1 O6,5,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.3,-0.1,2.55,1.034,1.55,0.5931,6.0,2.0616,6.0
Ca4 H4 Mn4 O20 Si4,5,0.0,0.0,0.1111,0.5556,0.0,0.0,0.1111,0.0,0.0,0.1111,-1.2222,2.44,0.932,1.55,0.4641,3.0,0.9558,5.0
H2 Mn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.65,0.325,1.15,0.575,3.0,1.5,7.0
Li6 Mn4 O32 P10,4,0.0,0.1154,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0769,-1.5385,2.46,0.9084,0.85,0.3277,2.0,0.6166,6.0
As2 Li2 Mn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,1.2,0.4901,0.3,0.1312,2.0,0.9428,7.0
Mn2 Nd2 O2 Sb2,4,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,2.3,0.8675,1.25,0.4535,6.0,2.1651,8.0
Li2 Mn6 O8,3,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375,-0.125,2.46,1.0311,0.85,0.4065,2.0,0.9682,6.0
La2 Mn2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.6667,0.3333,0.8,0.3274,0.85,0.352,5.0,2.1602,7.0
Co2 Mn1 Si1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.5,0.35,0.146,0.3,0.1173,1.0,0.433,10.0
Al1 Co2 Mn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.33,0.1515,0.15,0.0545,1.0,0.433,10.0
H32 Mn4 O32 S4,4,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.0556,-1.3333,1.89,0.6538,1.15,0.3016,3.0,0.8032,6.0
C1 Ga1 Mn3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.3873,0.7,0.2728,2.0,0.8,6.0
Mn2 S2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.03,0.515,0.4,0.2,1.0,0.5,4.0
B2 Mn1 O6 Sn1,4,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.1,-0.8,1.89,0.7665,0.85,0.3202,3.0,1.0247,6.0
Cs4 Mn2 Sn2 Te8,4,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,-1.0,1.31,0.546,1.2,0.5163,2.0,0.5995,5.0
Mn2 Se6 U2,3,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.17,0.5343,0.6,0.2358,5.0,2.0,6.0
Li1 Mn4 O8,3,0.0,0.0769,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3077,-0.5385,2.46,0.9852,0.85,0.3943,2.0,0.9231,6.0
Co1 Mn2 Sb1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.75,0.5,0.216,0.1,0.0354,1.0,0.433,10.0
Cl6 K2 Mn1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.34,1.0081,1.2,0.4909,1.0,0.4714,6.0
Mn2 O8 U2,3,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,2.06,0.9323,1.15,0.4706,7.0,2.5658,6.0
Mn3 N1 Rh1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.49,0.5945,0.75,0.2956,3.0,0.9798,6.0
