formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
F13 Na5 Zr2,3,0.0,0.25,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.0,3.05,1.4043,1.3,0.5898,3.0,0.9206,6.0
Na4 Pt2 Se4,3,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.62,0.756,0.65,0.295,3.0,1.0954,7.5
Na1 Se2 V1,3,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.62,0.6815,0.65,0.2655,1.0,0.433,8.0
Na4 O5 U1,3,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.51,1.2167,1.2,0.5952,7.0,2.0224,6.0
Cr3 Na1 O8,3,0.0,0.0833,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,2.51,0.943,1.2,0.4359,2.0,0.862,6.0
Mo8 Na8 O28,3,0.0,0.1818,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-0.3636,2.51,0.9841,1.2,0.5042,3.0,1.1355,6.0
B4 Na8 O10,3,0.0,0.3636,0.0,0.4545,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,2.51,1.1335,1.2,0.5503,1.0,0.481,6.5
Al6 Na8 O28 S1 Si6,5,0.0,0.1633,0.0,0.5714,0.0,0.0,0.1224,0.0,0.0,0.0,-1.1429,2.51,1.0191,1.2,0.4492,1.0,0.4949,5.5
Ga2 Na6 P8 Sr6,4,0.0,0.2727,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.5935,1.0,0.4324,2.0,0.8814,7.0
Na2 O4 U1,3,0.1429,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,2.51,1.1761,1.2,0.5858,7.0,2.3733,5.0
Cs8 F48 Na8 Sn8,4,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.8889,3.19,1.3324,2.1,0.7379,4.0,1.4487,5.0
Na2 O1 Sb2 Ti2,4,0.0,0.2857,0.0,0.1429,0.0,0.0,0.2857,0.0,0.0,0.2857,0.2857,2.51,0.7984,1.2,0.371,3.0,1.0302,9.0
Na4 O14 P4 Pd2,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.51,0.9517,1.2,0.457,3.0,0.862,6.0
I4 Na4 O12,3,0.0,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-1.2,2.51,0.974,1.2,0.506,3.0,1.1662,6.0
Na2 O28 Sb4 Sm6 Ti4,5,0.0,0.0455,0.0,0.6364,0.0,0.1364,0.0909,0.0,0.1364,0.0909,-0.7273,2.51,0.9852,1.25,0.5116,6.0,2.0973,6.0
Ga16 Na4 Nd4 S32,4,0.0,0.0714,0.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,0.0,1.65,0.5637,0.85,0.2856,5.0,1.2877,8.0
B4 Na12 P8,3,0.0,0.5,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.26,0.6071,0.95,0.4279,1.0,0.3727,7.666666666666667
Cd4 Na4 O16 P4,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.51,0.9701,1.2,0.4741,3.0,1.0302,6.0
