formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
N4 Nb4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.44,0.72,0.8,0.4,3.0,1.5,7.0
Au2 Nb1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6667,0.94,0.4431,0.1,0.0471,1.0,0.4714,10.0
Nb5 Sb4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.5556,1.4444,0.45,0.2236,0.0,0.0,0.0,0.0,8.5999999999999996
Nb4 O16 Zn6,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,1.84,0.8807,0.85,0.3855,3.0,1.2065,5.0
H4 Nb4 O12,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1.84,0.7779,1.2,0.3987,4.0,1.3565,5.0
Nb4 O20 P4,3,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,1.84,0.7156,0.85,0.3069,3.0,1.0498,nan
Nb4 O16 S12 Sm12,4,0.0,0.0,0.0,0.3636,0.0,0.2727,0.0,0.0,0.2727,0.0909,0.0,2.27,0.9341,1.25,0.5074,6.0,2.4797,5.0
Ge4 Nb8 Te16,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.7143,0.0,0.0,0.2857,-0.2857,0.5,0.2199,0.2,0.0623,1.0,0.3499,8.0
Br18 K4 Nb6,3,0.0,0.1429,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.2143,0.5714,2.14,0.8331,1.05,0.3618,1.0,0.4103,7.0
Li4 Nb4 O24 U4,4,0.1111,0.1111,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,0.1111,0.0,2.46,1.0103,1.15,0.4552,7.0,2.2825,5.0
