formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
F18 Nd6,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.84,1.2298,1.35,0.5846,6.0,2.5981,9.0
Ge3 Li3 Nd3,3,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,1.03,0.4526,0.6,0.2494,6.0,2.4944,10.0
Mn2 Nd2 O2 Sb2,4,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,2.3,0.8675,1.25,0.4535,6.0,2.1651,6.0
Li2 Nd2 O24 P8,4,0.0,0.0556,0.0,0.6667,0.0,0.0556,0.0,0.0,0.0556,0.0,-1.7778,2.46,0.8266,1.25,0.3468,6.0,1.3833,7.0
Nd2 Ni4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.2,0.82,0.3188,0.5,0.1855,4.0,1.4697,16.0
Au8 Nd16 O36,3,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0,0.2667,0.1333,0.0,2.3,0.9904,1.25,0.5513,6.0,2.68,6.5
Cu2 Nd4 Rb2 S8,4,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.125,1.76,0.7219,1.35,0.4931,5.0,2.0578,6.0
Nd3 Pd3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.06,0.4334,0.5,0.2248,3.0,1.2472,9.0
Ga16 Na4 Nd4 S32,4,0.0,0.0714,0.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,0.0,1.65,0.5637,0.85,0.2856,5.0,1.2877,8.0
B4 Fe56 Nd8,3,0.0,0.0,0.0,0.0,0.0,0.1176,0.0588,0.0,0.1176,0.8235,2.1765,0.9,0.2321,1.0,0.203,6.0,1.4118,16.5
