formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Mo2 Ni2 O8,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.3333,1.53,0.6662,0.85,0.3782,3.0,1.2134,6.0
In8 La2 Ni2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.3333,2.8333,0.81,0.2674,0.6,0.1795,4.0,1.2472,7.0
Ni1 Sn3 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.01,0.3995,0.65,0.2332,1.0,0.4,5.0
Ni6 Si10 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.8,0.69,0.2735,0.7,0.2656,2.0,0.781,6.333333333333333
Ni2 O12 Sc2 Sr6,4,0.0,0.0,0.2727,0.5455,0.0,0.0,0.0,0.0,0.0,0.1818,-0.0909,2.49,1.1325,1.4,0.6197,3.0,1.3361,6.0
Nd2 Ni4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.2,0.82,0.3188,0.5,0.1855,4.0,1.4697,6.5
As2 Ni2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.23,0.4543,0.85,0.313,1.0,0.4,7.0
Al1 Ni3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.3,0.1299,0.1,0.0433,1.0,0.433,12.0
Ni4 Np2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.0,0.55,0.2593,0.4,0.1886,5.0,2.357,10.0
La6 Ni4 O14,3,0.0,0.0,0.0,0.5833,0.0,0.25,0.0,0.0,0.25,0.4167,-0.0833,2.34,1.0264,1.35,0.5792,6.0,2.5111,6.0
Ni4 Sc4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.6,0.2718,0.25,0.1027,1.0,0.4714,7.0
Ni2 Pr2,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.78,0.39,0.5,0.25,4.0,2.0,8.0
Ga8 Ni2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.8333,1.91,0.683,0.45,0.165,4.0,1.4907,7.0
Ge4 Ni4 Ta4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,1.0,0.51,0.2207,0.2,0.0816,2.0,0.9428,7.0
B2 C1 Er1 Ni2,4,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.3333,1.5,1.31,0.3837,1.05,0.3702,6.0,2.1344,7.0
Eu4 Ni4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.4,3.44,1.359,1.25,0.5148,6.0,2.3324,6.0
H24 K4 Ni2 O28 S4,5,0.0,0.0645,0.0,0.4516,0.0,0.0,0.0,0.0,0.0,0.0323,-1.2903,2.62,0.77,1.95,0.4906,3.0,0.9067,6.0
Ca2 Ga6 Ni4,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.5,0.91,0.3199,0.5,0.1803,0.0,0.0,7.0
Cl6 Ni2 Rb2,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,2.34,0.9445,1.35,0.5229,2.0,0.8,6.0
Ni1 Sb1 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,0.69,0.2978,0.25,0.1027,1.0,0.4714,8.0
Er1 Ni2 P2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.95,0.3474,0.75,0.2782,5.0,1.8547,7.0
Ni2 Ta2 Te10,3,0.0,0.0,0.0,0.7143,0.0,0.0,0.7143,0.0,0.0,0.2857,-0.4286,0.6,0.2094,0.1,0.0267,2.0,0.5345,6.0
Ge2 La1 Ni2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.6,-0.2,0.91,0.3469,0.7,0.2638,4.0,1.6,7.0
Er2 Ni2 Si4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.75,0.67,0.2873,0.65,0.2658,5.0,2.0616,6.0
Hf6 Ni4 Si6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,0.5,0.61,0.2924,0.45,0.1952,3.0,1.317,7.0
Ni8 O16 Si4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.0,0.2857,-1.1429,1.54,0.7588,0.75,0.3388,2.0,0.8806,5.5
Er1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.67,0.266,0.65,0.2379,5.0,1.8547,7.0
Ca2 N2 Ni2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,2.04,0.8344,1.15,0.4732,2.0,0.9428,4.0
Eu1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.4,1.91,0.762,0.75,0.2739,5.0,1.8547,7.0
Bi1 Ni1 Zr1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.0,0.69,0.3027,0.25,0.108,2.0,0.8165,8.0
Mg2 Ni3 P1,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1667,0.88,0.331,0.5,0.1669,1.0,0.5,8.0
Bi4 Mn2 Ni2 O12,4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1.89,0.7763,1.0,0.4407,4.0,1.6,6.0
As4 Nd2 Ni4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.04,0.3816,0.7,0.2561,4.0,1.6,6.5
Mn1 Ni2 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.41,0.1644,0.1,0.0415,1.0,0.433,10.0
Ni1 O4 Pr2,3,0.0,0.0,0.0,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.1429,0.0,2.31,1.0427,1.25,0.5579,6.0,2.6186,6.0
B2 C1 Ni2 Y1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.5,1.5,1.33,0.3899,1.1,0.3841,3.0,1.2134,7.0
