formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ni4 Np2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.0,0.55,0.2593,0.4,0.1886,5.0,2.357,16.0
F6 Np2,2,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.5,2.62,1.1345,1.25,0.5413,7.0,3.0311,8.0
As1 Np1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.82,0.41,0.6,0.3,5.0,2.5,6.0
Cl8 Cs6 Np2 O4,4,0.1,0.3,0.0,0.2,0.4,0.0,0.0,0.0,0.1,0.0,-0.0,2.65,1.1522,2.0,0.7941,7.0,2.1932,4.0
Ir4 Np2 Si4,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.6,0.84,0.3069,0.65,0.2379,6.0,2.245,15.0
As2 Np2 Te2,3,0.3333,0.0,0.0,0.3333,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.82,0.3691,0.6,0.2461,5.0,2.1602,8.0
I4 Np4 O20,3,0.1429,0.0,0.0,0.7143,0.1429,0.0,0.0,0.0,0.1429,0.0,-0.8571,2.08,0.7335,1.15,0.4503,7.0,2.499,5.0
Au2 Np1 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.6,1.18,0.4475,0.65,0.2379,6.0,2.245,14.0
Ba1 Np1 O3,3,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.55,1.1438,1.55,0.6733,7.0,2.8566,6.0
Np1 S1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,1.22,0.61,0.75,0.375,6.0,3.0,6.0
Ir4 Np2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.6667,0.84,0.396,0.4,0.1886,3.0,1.4142,16.0
F36 Na4 Np8,3,0.1667,0.0833,0.0,0.0,0.75,0.0,0.0,0.0,0.1667,0.0,0.1667,3.05,1.2008,1.3,0.5486,7.0,2.586,8.0
Np1 Os2 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,1.0,0.84,0.3069,0.65,0.2375,6.0,2.245,16.0
Np1 Rh2 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.6,0.92,0.3379,0.65,0.2379,6.0,2.1909,14.0
Al8 Cu4 Np1,3,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.3077,2.8462,0.54,0.1606,0.5,0.1323,6.0,1.5765,14.0
Np1 Sn3,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-1.75,0.6,0.2598,0.3,0.1299,4.0,1.7321,12.0
