formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ba1 Os2 P2,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.31,0.522,1.15,0.4219,3.0,1.4697,6.0
Ce6 Ga24 Os6,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,3.1667,1.08,0.3197,0.55,0.205,4.0,1.5275,8.0
Ce2 Os4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.6667,1.08,0.5091,0.55,0.2593,2.0,0.9428,10.0
Nd1 Os4 Sb12,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.7059,0.0,0.0588,0.2353,-1.0,1.06,0.2317,0.55,0.1207,3.0,0.7715,6.0
K2 O12 Os4,3,0.0,0.1111,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.2222,-0.3333,2.62,0.885,1.6,0.5312,4.0,1.663,6.0
As4 Os2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,-0.6667,0.02,0.0094,0.15,0.0707,2.0,0.9428,6.0
Li2 O12 Os2 Pr4,4,0.0,0.1,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.1,-0.1,2.46,1.0649,1.25,0.5194,6.0,2.498,6.0
Ni1 O6 Os1 Sr2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.49,1.0135,1.4,0.5627,4.0,1.5362,6.0
La2 Os4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,1.0,3.6667,1.1,0.5185,0.65,0.3064,2.0,0.9428,10.0
B8 Mg2 Os6,3,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.0,0.375,3.25,0.89,0.2743,0.65,0.2574,4.0,1.8666,7.0
B4 Os2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,3.3333,0.16,0.0754,0.45,0.2121,4.0,1.8856,8.0
B8 Os6 Sc2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,3.375,0.84,0.2584,0.75,0.2781,4.0,1.854,7.0
Na2 Nd4 O12 Os2,4,0.0,0.1,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.1,-0.1,2.51,1.0698,1.25,0.5585,6.0,2.4515,6.0
C28 O28 Os8,3,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.125,-2.125,1.24,0.4923,0.7,0.22,4.0,1.3229,5.0
Cl2 O1 Os1,3,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,1.24,0.4702,0.7,0.2487,4.0,1.5,5.0
C12 F24 O12 Os2 Sb4,5,0.0,0.0,0.0,0.2222,0.4444,0.0,0.0741,0.0,0.0,0.037,-1.8519,1.93,0.7031,0.95,0.2718,4.0,1.0593,6.0
Np1 Os2 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,1.0,0.84,0.3069,0.65,0.2375,6.0,2.245,7.0
Os1 Sc6 Te2,3,0.0,0.0,0.0,0.2222,0.0,0.0,0.2222,0.0,0.0,0.7778,2.0,0.84,0.3656,0.3,0.1133,2.0,0.6849,8.0
Ba2 Na1 O6 Os1,4,0.0,0.1,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-0.3,2.55,1.1406,1.55,0.6508,4.0,1.7916,6.0
Os4 Pr1 Sb12,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.7059,0.0,0.0588,0.2353,-1.0,1.07,0.2339,0.55,0.1207,3.0,0.7715,6.0
Al3 Os2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.4,0.59,0.289,0.05,0.0245,3.0,1.4697,9.0
Dy1 Os2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.6,0.98,0.3581,0.65,0.2375,5.0,1.9391,7.0
Os8 Si12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,-0.8,0.3,0.147,0.2,0.098,3.0,1.4697,7.25
B2 Lu1 Os3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.5,0.93,0.3306,0.9,0.3092,4.0,1.8856,7.0
Np2 Os4,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,4.3333,0.84,0.396,0.45,0.2121,3.0,1.4142,10.0
Os4 Se8,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.35,0.165,0.15,0.0707,2.0,0.9428,6.0
La6 O14 Os2,3,0.0,0.0,0.0,0.6364,0.0,0.2727,0.0,0.0,0.2727,0.3636,-0.0909,2.34,1.0341,1.35,0.5959,6.0,2.6968,6.0
Os8 Si16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,-1.3333,0.3,0.1414,0.2,0.0943,3.0,1.4142,8.5
Ce1 Os2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.6,1.08,0.3955,0.75,0.275,5.0,1.9391,7.0
B2 Os3 U1,3,0.1667,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.5,4.0,0.82,0.2907,0.9,0.3092,7.0,2.4777,7.0
Cd4 O14 Os4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.3636,-0.1818,1.75,0.7354,0.95,0.404,4.0,1.7104,6.0
Os2 Pr1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.6,1.07,0.3917,0.75,0.275,5.0,1.9391,7.0
Os6 Sn14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.6,0.24,0.11,0.15,0.0687,1.0,0.4583,8.0
Ho1 Os2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.6,0.97,0.3544,0.65,0.2375,5.0,1.9391,7.0
Cl4 K2 O2 Os1,4,0.0,0.2222,0.0,0.2222,0.4444,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.62,1.009,1.6,0.5666,4.0,1.1547,4.0
Os2 Si2 U1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,1.2,0.82,0.2997,0.65,0.2375,6.0,2.245,7.0
Os8 Sc22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2667,0.84,0.3715,0.3,0.1327,2.0,0.8844,7.875
O4 Os2,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.24,0.5845,0.7,0.33,4.0,1.8856,6.0
F24 Os4,2,0.0,0.0,0.0,0.0,0.8571,0.0,0.0,0.0,0.0,0.1429,-0.2857,1.78,0.6229,0.8,0.2799,4.0,1.3997,6.0
Mo6 Os2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.04,0.0173,0.15,0.065,1.0,0.433,12.0
Br8 Os2 Y8,3,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.0,0.5556,1.3333,1.74,0.821,0.65,0.3113,2.0,0.6667,8.0
Ge24 Os16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,-0.8,0.19,0.0931,0.05,0.0245,2.0,0.9798,6.75
Cl6 K2 Os1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,0.0,2.34,0.9625,1.2,0.4899,3.0,0.9558,6.0
Br6 K2 Os1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,0.0,2.14,0.8765,1.05,0.4301,2.0,0.6285,6.0
Os1 Si1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.3,0.15,0.2,0.1,3.0,1.5,10.0
Os4 Th2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,4.0,0.9,0.4243,0.5,0.2357,3.0,1.4142,10.0
I10 Os1 Y6,3,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.4118,0.7059,1.44,0.6766,0.5,0.1969,1.0,0.2353,6.0
Os1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Al1 Os1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,0.59,0.295,0.05,0.025,3.0,1.5,10.0
Os4 U2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,4.6667,0.82,0.3866,0.45,0.2121,3.0,1.4142,10.0
Os2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Cl12 Os1 S2,3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0667,-0.8,0.96,0.2938,0.3,0.0748,3.0,0.7483,6.0
Os4 Pu2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,4.0,0.92,0.4337,0.45,0.2121,3.0,1.4142,10.0
O14 Os2 Sm6,3,0.0,0.0,0.0,0.6364,0.0,0.2727,0.0,0.0,0.2727,0.0909,-0.0909,2.27,1.0048,1.25,0.5541,6.0,2.6968,6.0
Os2 Pu1 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.8,0.92,0.336,0.65,0.2375,6.0,2.245,7.0
Br32 Os8,2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.76,0.304,0.15,0.06,2.0,0.8,6.0
Eu1 Os2 P2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.8,2.2,0.878,0.85,0.3105,5.0,1.9391,6.0
Na5 O6 Os1,3,0.0,0.4167,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0833,-0.25,2.51,1.1969,1.2,0.5737,4.0,1.0897,6.0
Al6 Os2 U4,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,4.1667,0.82,0.2742,0.5,0.2305,6.0,2.6926,10.0
La3 O10 Os2,3,0.0,0.0,0.0,0.6667,0.0,0.2,0.0,0.0,0.2,0.3333,-0.2,2.34,0.9482,1.35,0.5457,6.0,2.5157,6.0
Os1 Zr1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.87,0.435,0.25,0.125,1.0,0.5,10.0
O12 Os4 Rb2,3,0.0,0.1111,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.2222,-0.3333,2.62,0.885,1.75,0.5715,4.0,1.7498,6.0
Li2 O12 Os2 Sm4,4,0.0,0.1,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.1,-0.1,2.46,1.0538,1.25,0.5194,6.0,2.498,6.0
Gd1 Os2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.6,1.0,0.3655,0.7,0.2561,5.0,1.9391,7.0
Os6 Pu10,2,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,4.0,0.92,0.4454,0.45,0.2179,3.0,1.4524,8.6666666666666661
Ba2 Ca1 O6 Os1,4,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,2.55,1.1308,1.55,0.6508,4.0,1.8,6.0
N4 Os2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.6667,0.84,0.396,0.65,0.3064,4.0,1.8856,6.0
Os4 Pr2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.6667,1.07,0.5044,0.55,0.2593,2.0,0.9428,10.0
Cr6 Os2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.25,0.54,0.2338,0.1,0.0433,2.0,0.866,12.0
I10 La6 Os1,3,0.0,0.0,0.0,0.0,0.5882,0.3529,0.0,0.0,0.3529,0.4118,0.7059,1.56,0.7333,0.65,0.2682,3.0,1.4093,6.0
