formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
K8 O40 P8 Ti8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.62,0.9922,1.6,0.5454,2.0,0.857,4.0
Cu6 Li4 O28 P8,4,0.0,0.087,0.0,0.6087,0.0,0.0,0.0,0.0,0.0,0.1304,-1.3913,2.46,0.8412,0.85,0.3253,2.0,0.7118,4.0
Mo4 O28 P8,3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,-1.6,1.28,0.5775,0.85,0.2775,3.0,0.922,4.0
O20 P6 Sn4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-2.4667,1.48,0.636,0.85,0.3016,3.0,1.0198,4.0
Ge38 I8 P8,3,0.0,0.0,0.0,0.0,0.1481,0.0,0.7037,0.0,0.0,0.0,-3.4074,0.65,0.2286,0.4,0.1112,2.0,0.5443,5.0
P1 Sc1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.83,0.415,0.6,0.3,1.0,0.5,6.0
O24 P8 V2,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.0588,-1.8235,1.81,0.6324,0.75,0.2272,2.0,0.5882,4.0
O14 P4 Rb4 Sr2,4,0.0,0.1667,0.0833,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.62,1.0929,1.75,0.6891,3.0,1.2555,4.0
Cu28 P4 Se24,3,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.5,-0.0714,0.65,0.3123,0.35,0.1168,1.0,0.2575,4.0
O36 P12 Y4,3,0.0,0.0,0.0,0.6923,0.0,0.0,0.0,0.0,0.0,0.0769,-1.8462,2.22,0.7272,1.2,0.3371,3.0,0.8427,4.0
Li6 Mn4 O32 P10,4,0.0,0.1154,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0769,-1.5385,2.46,0.9084,0.85,0.3277,2.0,0.6166,4.0
Li4 Mo8 O52 P12,4,0.0,0.0526,0.0,0.6842,0.0,0.0,0.0,0.0,0.0,0.1053,-1.3684,2.46,0.7243,0.85,0.3168,3.0,0.9386,4.0
Ce1 P1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.07,0.535,0.85,0.425,5.0,2.5,6.0
Cu4 Li8 O28 P8,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.46,0.9535,0.85,0.3473,2.0,0.6236,4.0
Li2 Nd2 O24 P8,4,0.0,0.0556,0.0,0.6667,0.0,0.0556,0.0,0.0,0.0556,0.0,-1.7778,2.46,0.8266,1.25,0.3468,6.0,1.3833,4.0
Ga2 Na6 P8 Sr6,4,0.0,0.2727,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.5935,1.0,0.4324,2.0,0.8814,6.0
Cu2 Li4 O24 P8,4,0.0,0.1053,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0526,-1.6842,2.46,0.8526,0.85,0.3064,2.0,0.5669,4.0
Eu2 P2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,-1.6667,2.19,0.9827,0.85,0.3472,5.0,2.0548,5.0
Be4 H16 N4 O16 P4,5,0.0,0.0,0.0909,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,1.87,0.6628,0.8,0.2751,2.0,0.6166,4.0
N2 P1 U2,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.66,0.7424,1.1,0.4984,7.0,3.2863,9.0
Cu2 O7 P2,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-1.4545,1.54,0.6767,0.75,0.296,2.0,0.782,4.0
Fe4 Li4 O28 P8,4,0.0,0.0909,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.5455,2.46,0.8445,0.85,0.3215,2.0,0.6428,4.0
Li2 O10 P2 V2,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-0.875,2.46,0.9408,0.85,0.3437,2.0,0.696,4.0
Ga4 H6 O18 P6,4,0.0,0.0,0.0,0.5294,0.0,0.0,0.0,0.0,0.0,0.0,-1.4118,1.63,0.6792,1.05,0.3149,3.0,0.8765,4.0
Cr4 Li6 O24 P6,4,0.0,0.15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-1.2,2.46,0.9589,0.85,0.3533,2.0,0.6538,4.0
Na4 O14 P4 Pd2,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.51,0.9517,1.2,0.457,3.0,0.862,4.0
O8 P2 V2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,-1.0,1.81,0.7391,0.75,0.2893,2.0,0.7638,4.0
H2 O6 P2 Zr1,4,0.0,0.0,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,0.0909,-1.4545,2.11,0.7436,1.3,0.3526,4.0,1.0523,4.0
Li6 O24 P6 Zn6,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.46,0.9634,0.85,0.3533,2.0,0.7284,4.0
Li4 O48 P16 Sb4,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0556,0.0,0.0,0.0,-2.1111,2.46,0.741,0.85,0.2867,3.0,0.7556,4.0
B4 Na12 P8,3,0.0,0.5,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.26,0.6071,0.95,0.4279,1.0,0.3727,4.0
Cd4 Na4 O16 P4,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.51,0.9701,1.2,0.4741,3.0,1.0302,4.0
Li4 Mg4 O16 P4,4,0.0,0.1429,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,-1.1429,2.46,1.0197,0.9,0.384,1.0,0.4518,4.0
P4 V8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.3333,0.56,0.264,0.35,0.165,1.0,0.4714,8.0
Ba1 Mg2 P2,3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5227,1.15,0.4238,3.0,1.2,6.0
Ce1 P12 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.2353,-1.2353,1.08,0.2524,0.85,0.2217,5.0,1.3517,5.0
Na4 O20 P4 Ti4,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.51,0.9662,1.2,0.4359,2.0,0.7071,4.0
Hf14 P8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,1.4545,0.89,0.4281,0.55,0.2646,3.0,1.4431,7.75
Br4 Hg8 P12,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333,-1.3333,0.96,0.3265,0.5,0.2244,3.0,1.3437,5.0
N5 P3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.85,0.4115,0.35,0.1694,1.0,0.4841,4.666666666666667
Nb4 O20 P4,3,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,1.84,0.7156,0.85,0.3069,3.0,1.0498,nan
