formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Pa1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
O1 Pa1,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.5,1.94,0.97,1.2,0.6,7.0,3.5,6.0
Br20 Pa4,2,0.1667,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.1667,0.0,-0.0,1.46,0.5441,0.65,0.2422,5.0,1.8634,6.0
Gd2 O8 Pa2,3,0.1667,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.3333,0.0,0.0,2.24,0.989,1.2,0.5657,7.0,3.0777,8.0
Cl8 Pa2,2,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.2,1.66,0.664,0.8,0.32,6.0,2.4,7.0
Pa1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Cl10 Pa2,2,0.1667,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.1667,0.0,-0.0,1.66,0.6186,0.8,0.2981,6.0,2.2361,6.0
F8 Na3 Pa1,3,0.0833,0.25,0.0,0.0,0.6667,0.0,0.0,0.0,0.0833,0.0,0.0,3.05,1.378,1.3,0.6128,7.0,1.9076,8.0
Ir3 Pa1,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,3.5,0.7,0.3031,0.45,0.1949,3.0,1.299,12.0
Pa1 Rh3,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,3.5,0.78,0.3377,0.45,0.1949,4.0,1.7321,12.0
F12 Pa2 Rb2,3,0.125,0.125,0.0,0.0,0.75,0.0,0.0,0.0,0.125,0.0,0.0,3.16,1.2329,1.85,0.6957,7.0,2.3848,7.0
Br8 Pa2,2,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.2,1.46,0.584,0.65,0.26,5.0,2.0,7.0
O2 Pa1,2,0.3333,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,1.94,0.9145,1.2,0.5657,7.0,3.2998,8.0
As1 Pa1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.68,0.34,0.65,0.325,5.0,2.5,6.0
Ba1 O3 Pa1,3,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.55,1.1166,1.55,0.6826,7.0,2.8566,6.0
As8 Pa6,2,0.4286,0.0,0.0,0.0,0.0,0.0,0.5714,0.0,0.4286,0.0,0.4286,0.68,0.3365,0.65,0.3217,5.0,2.4744,7.0
Pa6 Sb8,2,0.4286,0.0,0.0,0.0,0.0,0.0,0.5714,0.0,0.4286,0.0,0.4286,0.55,0.2722,0.35,0.1732,4.0,1.9795,8.0
As4 Pa2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333,0.0,-0.3333,0.68,0.3206,0.65,0.3064,5.0,2.357,8.0
