formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu6 O8 Pb1,3,0.0,0.0,0.0,0.5333,0.0,0.0,0.0,0.0,0.0,0.4,-0.1333,1.54,0.7448,1.2,0.4202,4.0,1.2365,6.0
Ca1 F6 Pb1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-0.25,2.98,1.0561,1.3,0.5629,4.0,1.3919,6.0
Ba3 Pb9,2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.44,0.6235,0.35,0.1516,0.0,0.0,9.6666666666666661
O32 Pb8 Si8 Zn8,4,0.0,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.0,0.1429,-1.1429,1.79,0.7551,1.2,0.4464,4.0,1.4142,5.5
Pb2 U2,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.95,0.475,0.05,0.025,3.0,1.5,11.0
Pb8 Pt2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.05,0.02,0.45,0.18,0.0,0.0,8.0
Pb6 S30 Sb16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3077,0.0,0.0,0.0,-1.8462,0.53,0.2383,0.8,0.2879,3.0,1.1596,6.0
Cl6 Cs2 Pb1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.2222,2.37,0.9704,1.6,0.6652,3.0,1.4142,6.0
I10 In2 Pb4,3,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.25,0.88,0.2949,0.4,0.1694,1.0,0.433,7.0
Cl2 O4 Pb2 Sb2,4,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,-1.2,1.39,0.5826,1.2,0.4737,4.0,1.6248,7.0
Cd1 Li2 Pb1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,1.35,0.5625,0.35,0.1431,4.0,1.7854,10.0
F8 Pb4,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.7778,1.3,0.6128,4.0,1.8856,7.0
O8 Pb3 V2,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,1.81,0.7089,1.2,0.5147,4.0,1.6712,6.666666666666667
Ba2 Pb2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.44,0.72,0.35,0.175,0.0,0.0,7.0
Na8 O8 Pb2,3,0.0,0.4444,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222,2.51,1.1841,1.2,0.5963,4.0,1.1967,4.0
Pb8 S26 Sb12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0,0.0,0.0,-1.5652,0.53,0.2261,0.8,0.3136,3.0,1.2328,6.625
Ge24 O56 Pb8,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.2727,0.0,0.0,0.0,-2.1818,1.43,0.6548,1.2,0.4051,4.0,1.3111,7.0
O1 Pb1 Sr3,3,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.49,1.0109,1.4,0.5455,4.0,1.3565,12.0
O28 P8 Pb8,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,1.25,0.5692,1.2,0.4542,4.0,1.5048,6.5
C1 Pb1 Pd3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.35,0.1366,1.1,0.3555,4.0,1.3565,12.0
Na30 Pb8,2,0.0,0.7895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105,1.4,0.5708,0.0,0.0,3.0,1.223,9.0
I2 Pb1,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.1556,0.4,0.1886,1.0,0.4714,6.0
Dy4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.11,0.5036,0.4,0.1806,3.0,1.3565,11.0
O12 Pb4 Rb8,3,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333,2.62,1.1719,1.75,0.8045,4.0,1.6997,4.0
Cu2 Ge10 O28 Pb6,4,0.0,0.0,0.0,0.6087,0.0,0.0,0.2174,0.0,0.0,0.0435,-1.7391,1.54,0.6597,1.2,0.4415,4.0,1.4288,6.0
Li1 Pb1,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.35,0.675,0.35,0.175,4.0,2.0,10.0
Pb4 Rh2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,0.05,0.0236,0.45,0.2121,1.0,0.4714,9.0
Lu4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.06,0.4792,0.4,0.1806,1.0,0.4899,11.0
Ho4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.1,0.4987,0.4,0.1806,3.0,1.3565,11.0
O12 Pb6 S2,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.11,0.5177,1.2,0.5367,4.0,1.7916,6.0
Pb3 Pr1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,2.25,1.2,0.5196,0.05,0.0217,2.0,0.866,12.0
O16 Pb4 S4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,1.11,0.4699,1.2,0.4422,4.0,1.4625,8.0
Cl4 O12 Pb2,3,0.0,0.0,0.0,0.6667,0.2222,0.0,0.0,0.0,0.0,0.0,-1.3333,1.11,0.3463,1.2,0.3823,4.0,1.2472,8.0
Lu1 Pb3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,2.25,1.06,0.459,0.05,0.0217,0.0,0.0,12.0
As4 O26 Pb16,3,0.0,0.0,0.0,0.5652,0.0,0.0,0.087,0.0,0.0,0.0,-0.6957,1.26,0.5665,1.2,0.5574,4.0,1.861,5.75
