formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ba2 O10 Pd2 Y4,4,0.0,0.0,0.1111,0.5556,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,2.55,1.0735,1.55,0.616,4.0,1.6405,5.0
Ge2 Pd2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,2.2,0.8463,0.5,0.1828,4.0,1.4697,7.0
Ge2 Pd2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.9,0.333,0.55,0.2015,5.0,1.8547,7.0
Na4 O14 P4 Pd2,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.51,0.9517,1.2,0.457,3.0,0.862,5.0
Nd3 Pd3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.06,0.4334,0.5,0.2248,3.0,1.2472,8.6666666666666661
Pd3 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,2.2,0.9526,0.35,0.1516,3.0,1.299,12.0
Pd13 Tl9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909,1.5909,0.58,0.2852,0.5,0.2458,1.0,0.4917,9.5384615384615383
Ca2 F8 Pd2,3,0.0,0.0,0.1667,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,2.98,1.1742,1.3,0.5312,3.0,1.2134,5.0
Ga10 Pd2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.8333,0.39,0.1453,0.1,0.0373,1.0,0.3727,9.0
Ba4 Ca2 O12 Pd6,4,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,2.55,1.0411,1.55,0.6072,4.0,1.6562,6.0
Pd8 S8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.38,0.19,0.4,0.2,2.0,1.0,5.25
Al4 Cl16 Pd2,3,0.0,0.0,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0909,-0.0,1.55,0.62,0.4,0.1386,2.0,0.575,5.0
In3 Pd3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,2.2,0.9536,0.35,0.1434,3.0,1.4142,8.6666666666666661
Pd2 Si2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.9,0.3286,0.7,0.2577,6.0,2.1909,7.0
Pd8 Sn16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-2.0,0.24,0.1131,0.05,0.0236,0.0,0.0,8.0
Mg16 Pd8,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.0,0.89,0.4196,0.1,0.0471,2.0,0.9428,9.0
Li3 Pd1,2,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,1.22,0.5283,0.05,0.0217,3.0,1.299,10.0
Eu2 In8 Pd2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.6667,2.2,0.7114,0.45,0.1346,3.0,1.118,7.0
F28 Hf4 K4 Pd4,4,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,3.16,1.2054,1.7,0.5891,4.0,1.4457,6.0
F10 Pd2 Rb6,3,0.0,0.3333,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.1111,-0.0,3.16,1.4544,1.85,0.8469,3.0,1.4907,5.0
Mn1 Pd2 Sb1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.75,0.65,0.2669,0.05,0.0217,1.0,0.433,10.0
Li2 O2 Pd1,3,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.46,1.1002,0.85,0.4087,3.0,1.2,6.0
Gd3 Pd3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.0,0.41,0.5,0.216,3.0,1.2472,8.6666666666666661
La2 Pd6 S8,3,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.5,0.125,1.48,0.4698,0.95,0.3172,5.0,1.6536,5.0
Ga1 Pd2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.84,0.3462,0.3,0.109,1.0,0.5,10.0
Ba1 Pd5,2,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,2.0,1.31,0.4882,0.75,0.2795,1.0,0.3727,9.0
As4 Pd8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.02,0.0094,0.25,0.1179,1.0,0.4714,8.5
Ce3 Pd3 Zn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.08,0.4409,0.5,0.2248,4.0,1.6997,8.6666666666666661
Mg18 Pd6,2,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.89,0.3854,0.1,0.0433,2.0,0.866,8.0
F3 Pd1 Rb1,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,3.16,1.2863,1.85,0.7376,3.0,1.4697,6.0
As16 Ca16 Pd16,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,1.2,0.561,0.65,0.2677,1.0,0.4714,6.0
Ca2 O8 Pd6,3,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.375,0.0,2.44,0.8532,1.2,0.4664,3.0,1.4087,5.0
Pd2 Si2 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.03,0.3767,0.75,0.275,5.0,1.833,7.0
C1 Pb1 Pd3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.35,0.1366,1.1,0.3555,4.0,1.3565,6.0
Lu10 Pd4 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.625,0.25,2.0,0.93,0.4282,0.35,0.162,1.0,0.4841,8.0
Ba2 O10 Pd2 Pr4,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.0982,1.55,0.6284,6.0,2.5142,5.0
Lu1 Na1 O8 Pd6,4,0.0,0.0625,0.0,0.5,0.0,0.0625,0.0,0.0,0.0625,0.375,0.0,2.51,0.8312,1.2,0.4615,4.0,1.5398,5.0
Mg4 Pd8,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.0,0.89,0.4196,0.1,0.0471,2.0,0.9428,10.0
Pd8 Se2,2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.35,0.14,0.25,0.1,1.0,0.4,8.0
Pd3 Tl3 Y3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.0,0.98,0.4023,0.5,0.216,1.0,0.4714,8.6666666666666661
B1 Dy1 Pd3,3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,2.4,0.98,0.3811,0.9,0.2888,6.0,1.8974,6.0
Pd4 Sn4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,2.2,0.9854,0.35,0.1546,3.0,1.4142,7.0
Pd3 Ta1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.75,0.7,0.3031,0.05,0.0217,1.0,0.433,11.0
Ho6 Pd4,2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.4,2.6,0.97,0.4752,0.35,0.1715,3.0,1.4697,8.0
Dy4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.11,0.5036,0.4,0.1806,3.0,1.3565,8.0
In2 Pd4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,2.2,1.0208,0.35,0.1568,3.0,1.4697,8.0
Pd1 Sn3 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.25,0.438,0.6,0.2258,0.0,0.0,5.0
Pd6 Se16 Ta4,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,1.05,0.3731,0.3,0.1322,2.0,0.7458,5.0
Pd3 Tb3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,2.2,0.931,0.5,0.2095,3.0,1.2472,8.6666666666666661
In2 Nd4 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,1.06,0.4761,0.45,0.2035,3.0,1.4697,8.0
Ca8 Pd8 Si6,3,0.0,0.0,0.3636,0.0,0.0,0.0,0.2727,0.0,0.0,0.3636,0.3636,1.2,0.5288,0.7,0.2805,2.0,0.7925,6.5
Dy1 Pd1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.98,0.49,0.35,0.175,3.0,1.5,10.0
Pd1 S6 Ta2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.08,0.4423,0.45,0.2047,3.0,1.2862,6.0
Nd4 Pd4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.06,0.4538,0.45,0.2014,3.0,1.4142,7.0
Lu4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.06,0.4792,0.4,0.1806,1.0,0.4899,8.0
Pd2 S8 U4,3,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.1429,0.8571,1.2,0.5238,0.75,0.3315,6.0,2.6186,6.0
Al3 Pd2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.6,0.59,0.289,0.15,0.0735,2.0,0.9798,8.0
Hg4 Pd4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.2,0.1,0.1,0.05,1.0,0.5,9.0
Ho4 Pb2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.4,1.1,0.4987,0.4,0.1806,3.0,1.3565,8.0
O1 Pd1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.24,0.62,0.8,0.4,3.0,1.5,6.0
Ga12 Pd1 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941,2.9412,0.98,0.2783,0.5,0.2101,1.0,0.4556,6.0
Gd6 Pd4,2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.4,2.6,1.0,0.4899,0.4,0.196,3.0,1.4697,8.0
Eu2 Pd6 S8,3,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.375,0.0,2.58,0.8185,0.85,0.2909,5.0,1.6536,5.0
La4 O7 Pd1,3,0.0,0.0,0.0,0.5833,0.0,0.3333,0.0,0.0,0.3333,0.4167,-0.0,2.34,1.0831,1.35,0.6276,6.0,2.7726,5.0
Co2 Pd4 Te4,3,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.32,0.1169,0.05,0.02,1.0,0.4,7.0
As2 Ba1 Pd2,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.31,0.5201,1.0,0.3674,2.0,0.7483,8.0
Pd2 V1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.57,0.2687,0.05,0.0236,1.0,0.4714,12.0
La3 Pd3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,0.3333,1.1,0.4723,0.55,0.2483,3.0,1.4142,8.6666666666666661
As3 Pd3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.2,1.0324,0.6,0.2461,4.0,1.6997,8.0
Pd2 Si2 Y1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,-0.2,0.98,0.3581,0.7,0.2577,2.0,0.9798,7.0
Cl12 Pd2 Se4,3,0.0,0.0,0.0,0.2222,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.8889,0.96,0.3556,0.4,0.1293,2.0,0.6849,5.0
Br40 Pd8 Tl24,3,0.0,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.1111,-0.0,1.34,0.617,0.75,0.3425,2.0,0.9162,5.0
Ge1 Li2 Pd1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.22,0.5665,0.2,0.082,3.0,1.299,10.0
Pd1 Zr1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.87,0.435,0.15,0.075,0.0,0.0,10.0
Al3 La1 Pd2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.5,2.6667,1.1,0.3833,0.7,0.2478,5.0,1.8028,9.0
Pd3 Pu1,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,2.5,0.92,0.3984,0.35,0.1516,4.0,1.7321,12.0
B1 Nd1 Pd3,3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,2.4,1.06,0.4127,1.0,0.3172,6.0,1.8974,6.0
Pd36 Te16,2,0.0,0.0,0.0,0.3077,0.0,0.0,0.3077,0.0,0.0,0.6923,0.7692,0.1,0.0462,0.0,0.0,0.0,0.0,8.3333333333333339
Ge2 Pd2 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.03,0.3835,0.6,0.2205,4.0,1.4697,7.0
Pd20 Sb7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,0.0,0.0,0.7407,0.7037,0.15,0.0657,0.05,0.0219,0.0,0.0,8.6999999999999993
Mg2 Pd6,2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.89,0.3854,0.1,0.0433,2.0,0.866,12.0
Ce2 P2 Pd2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.08,0.5068,0.85,0.3472,5.0,2.0548,6.0
Mn2 Pd2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.65,0.325,0.0,0.0,1.0,0.5,10.0
In4 Pd2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,2.2,0.8489,0.35,0.1244,3.0,1.299,8.0
Pd3 Tl3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,2.2,0.931,0.5,0.2095,3.0,1.2472,8.6666666666666661
Al42 Pd16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759,2.7241,0.59,0.2637,0.15,0.067,2.0,0.8939,8.0
Er1 Pd3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,0.96,0.4157,0.35,0.1516,3.0,1.299,12.0
Ga4 Pd7 Zn3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,2.2857,0.55,0.236,0.1,0.043,1.0,0.5,9.0
Al6 Pd10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,2.375,0.59,0.2856,0.15,0.0726,2.0,0.9682,9.1999999999999993
Ca2 Pd4,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.0,1.2,0.5657,0.4,0.1886,1.0,0.4714,10.0
Pb4 Pd2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.0,0.13,0.0613,0.4,0.1886,1.0,0.4714,10.0
Lu8 O16 Pd4,3,0.0,0.0,0.0,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.1429,0.0,2.17,0.9642,1.15,0.5227,4.0,1.8406,5.0
Dy2 Pd2 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,0.98,0.431,0.35,0.1546,3.0,1.4142,7.0
I24 Pd4 Rb8,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,1.84,0.7512,0.95,0.395,0.0,0.0,5.0
Li1 Mg1 Pd1 Sn1,4,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.22,0.4893,0.1,0.0354,3.0,1.299,10.0
Ce4 In2 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,1.08,0.4854,0.45,0.2035,3.0,1.4697,8.0
Be12 Pd1,2,0.0,0.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,2.0,0.63,0.1679,0.35,0.0933,3.0,0.7994,14.0
Cs2 Pd3 Se4,3,0.0,0.2222,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.76,0.6865,1.45,0.5688,2.0,0.7857,6.0
Nd1 Pd3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,1.06,0.459,0.45,0.1949,3.0,1.299,12.0
Ge4 Ho3 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0,0.2727,0.3636,0.0909,0.97,0.398,0.5,0.1998,4.0,1.616,7.0
O8 Pd2 Zn4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2857,1.79,0.813,0.8,0.3797,3.0,1.1952,4.0
Al3 Pd3 Y3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.6667,0.98,0.4029,0.55,0.2321,2.0,0.9428,8.6666666666666661
P8 Pd8 S8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-1.0,0.39,0.1815,0.4,0.1886,2.0,0.9428,5.0
Gd2 Pd2 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.0,0.4403,0.4,0.178,3.0,1.4142,7.0
Pd3 Sc1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,0.84,0.3637,0.2,0.0866,1.0,0.433,12.0
Nd8 O14 Pd2,3,0.0,0.0,0.0,0.5833,0.0,0.3333,0.0,0.0,0.3333,0.0833,-0.0,2.3,1.0652,1.25,0.5836,6.0,2.7726,5.0
Cu2 Pd2 Rb2 Se10,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.25,-0.625,1.73,0.5708,1.2,0.3877,1.0,0.433,5.0
Pd4 Sn2 U4,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.4,0.82,0.373,0.35,0.1643,4.0,1.9596,8.0
In2 Lu4 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,0.93,0.4163,0.35,0.1568,1.0,0.4899,8.0
Ho1 Pd1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.97,0.485,0.35,0.175,3.0,1.5,10.0
Ga6 Hf6 Pd6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.0,0.9,0.3685,0.25,0.1027,2.0,0.8165,8.6666666666666661
