formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu4 Pr4 S8,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,1.45,0.5981,0.85,0.3482,5.0,2.0616,7.0
Pr2 Rb2 Te8,3,0.0,0.1667,0.0,0.6667,0.0,0.1667,0.6667,0.0,0.1667,0.0,-0.6667,1.28,0.5378,0.95,0.3602,3.0,1.118,8.0
O24 Pr6 Sb10,3,0.0,0.0,0.0,0.6,0.0,0.15,0.25,0.0,0.15,0.0,-1.5,2.31,0.8954,1.25,0.505,6.0,2.2198,7.0
B4 Co11 Pr3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.2222,0.0,0.1667,0.6111,2.3889,0.91,0.3024,1.0,0.3106,6.0,1.8725,15.333333333333334
Ni2 Pr2,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.78,0.39,0.5,0.25,4.0,2.0,9.0
B6 N12 Pr6,3,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,1.91,0.7955,1.2,0.4975,6.0,2.5981,8.0
C1 N2 O2 Pr2,4,0.0,0.0,0.0,0.2857,0.0,0.2857,0.0,0.0,0.2857,0.0,-1.1429,2.31,0.9332,1.25,0.5475,6.0,2.7105,6.0
K1 Pr1 S2,3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.76,0.8099,1.2,0.5272,5.0,2.0616,6.0
Co2 Ge2 Pr1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.88,0.3311,0.6,0.2245,4.0,1.6,14.0
B2 C1 Co2 Pr1,4,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.3333,1.5,1.42,0.4189,1.15,0.3983,6.0,2.1344,9.0
Mo4 O16 Pr2 Tl2,4,0.0,0.0,0.0,0.6667,0.0,0.0833,0.0,0.0,0.0833,0.1667,-0.3333,2.31,0.8264,1.3,0.5158,6.0,2.0138,8.0
Cr2 Ge6 Pr2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.2,0.2,-1.2,0.88,0.3448,0.6,0.2324,4.0,1.6,11.0
In3 Pr1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,0.65,0.2815,0.3,0.1299,3.0,1.299,12.0
O28 Pr16 Se12 Si8,4,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.31,0.9493,1.25,0.5,6.0,2.4238,7.0
