formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Na4 Pt2 Se4,3,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.62,0.756,0.65,0.295,3.0,1.0954,6.0
Pt4 Tb8,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.3333,2.6667,2.28,1.0748,0.4,0.1886,2.0,0.9428,7.0
Gd4 Pt4,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,1.08,0.54,0.45,0.225,2.0,1.0,7.0
La1 Pt2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.6,-0.2,1.18,0.4309,0.85,0.3108,5.0,1.9391,7.0
Pt3 Zn1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.63,0.2728,0.0,0.0,2.0,0.866,12.0
B1 Ce1 Pt3,3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,2.4,1.16,0.4497,1.0,0.3162,6.0,1.9596,6.333333333333333
Pt11 Zr9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,0.95,0.4726,0.2,0.0995,1.0,0.4975,8.9090909090909083
In8 Pt2 Sr2,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.6667,1.33,0.3917,0.65,0.1967,1.0,0.3727,7.0
Cs4 Pt2,2,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1.3333,1.49,0.7024,1.25,0.5893,0.0,0.0,7.0
Ba1 Pt5,2,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,2.0,1.39,0.518,0.8,0.2981,0.0,0.0,9.0
Hg2 Pt2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.28,0.14,0.15,0.075,0.0,0.0,11.0
Pt2 Sn8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.8,0.32,0.128,0.1,0.04,1.0,0.4,8.0
In14 Pt6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.7,0.5,0.2291,0.2,0.0917,1.0,0.4583,8.0
Fe3 Pt1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.45,0.1949,0.05,0.0217,2.0,0.866,12.0
Li1 Pt7,2,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.875,1.3,0.4299,0.1,0.0331,4.0,1.3229,12.0
O28 P8 Pt4,3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,-1.8,1.25,0.5596,0.75,0.2534,4.0,1.2,6.0
Pb8 Pt2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.05,0.02,0.45,0.18,0.0,0.0,8.0
Pt4 Sc4 Si4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.92,0.3775,0.5,0.2041,3.0,1.2472,7.0
Br6 Cs2 Pt1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.2222,2.17,0.887,1.45,0.5942,2.0,0.9428,6.0
B8 Ga6 Pt18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5625,2.4375,0.47,0.1841,0.5,0.2119,4.0,1.691,6.333333333333333
P4 Pt4 Sc4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.92,0.4141,0.6,0.2461,3.0,1.2472,7.0
Lu1 Pt3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,1.01,0.4373,0.4,0.1732,0.0,0.0,12.0
K2 Pt4 S6,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.1667,1.76,0.6257,1.2,0.4249,3.0,1.3437,5.25
Nd1 Pt5,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,1.14,0.4249,0.5,0.1863,2.0,0.7454,10.0
Ga2 Pt1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,0.47,0.2216,0.05,0.0236,2.0,0.9428,8.0
Er4 F28 Pt4,3,0.0,0.0,0.0,0.0,0.7778,0.1111,0.0,0.0,0.1111,0.1111,-0.2222,2.74,0.9549,1.25,0.4466,6.0,2.1315,6.0
Pt6 Se16 Ta4,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,1.05,0.3692,0.3,0.1206,2.0,0.973,5.666666666666667
Cl8 Cs4 Pt2,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,2.37,1.0348,1.6,0.7012,3.0,1.4846,5.0
Eu4 Ge4 Pt4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.0,2.28,1.0172,0.6,0.2625,4.0,1.633,5.0
