formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Pu4 Si4,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.62,0.31,0.65,0.325,6.0,3.0,8.0
Br2 O2 Pu2,3,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,2.16,0.9261,1.15,0.4696,7.0,2.9439,7.0
Mn4 Pu2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,2.6667,0.27,0.1273,0.35,0.165,5.0,2.357,16.0
Pu2 Rh4,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.3333,1.0,0.4714,0.4,0.1886,4.0,1.8856,16.0
B2 Pu1,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333,0.0,3.3333,0.76,0.3583,0.9,0.4243,7.0,3.2998,16.0
Pu1 Ru2 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.4,0.92,0.336,0.65,0.2375,6.0,2.1909,16.0
Cl20 Pu4 Rb8,3,0.125,0.25,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.125,2.34,1.0669,1.35,0.5831,6.0,1.9843,6.0
Pu1 Rh2 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.4,1.0,0.3659,0.65,0.2379,6.0,2.1909,14.0
Cl20 K8 Pu4,3,0.125,0.25,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.125,2.34,1.0669,1.2,0.5247,6.0,1.9365,6.0
O4 Pu1 Sr1,3,0.1667,0.0,0.1667,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,-0.3333,2.49,1.1001,1.4,0.6054,7.0,2.6247,6.0
Ga12 Pu4,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,3.25,0.53,0.2295,0.45,0.1949,5.0,2.1651,11.0
