formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
O1 Rb2,2,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.2351,1.75,0.825,3.0,1.4142,8.0
O14 P4 Rb4 Sr2,4,0.0,0.1667,0.0833,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.62,1.0929,1.75,0.6891,3.0,1.2555,8.0
As6 Rb4,2,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.4,1.36,0.6663,1.2,0.5879,1.0,0.4899,10.0
Cs2 F5 O1 Rb1 Zr1,5,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,3.19,1.4645,2.1,0.9039,4.0,1.7436,6.0
Au2 Br8 Rb2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,2.14,0.7814,1.2,0.4384,2.0,0.7638,10.0
Cu2 Nd4 Rb2 S8,4,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.125,1.76,0.7219,1.35,0.4931,5.0,2.0578,8.0
Ge2 Li4 O8 Rb4,4,0.0,0.4444,0.0,0.4444,0.0,0.0,0.1111,0.0,0.0,0.0,-0.8889,2.62,1.1996,1.75,0.6823,3.0,1.2862,8.0
Pr2 Rb2 Te8,3,0.0,0.1667,0.0,0.6667,0.0,0.1667,0.6667,0.0,0.1667,0.0,-0.6667,1.28,0.5378,0.95,0.3602,3.0,1.118,9.0
F12 K2 Rb4 Sc2,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4893,1.85,0.8198,3.0,1.2649,7.0
B4 Rb4 S12,3,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.4,1.76,0.6828,1.5,0.558,3.0,0.9798,10.0
Br2 O1 Rb4,3,0.0,0.5714,0.0,0.1429,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.1478,1.75,0.7053,3.0,1.0302,6.0
O12 Rb4 V4,3,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.62,1.1149,1.75,0.6892,3.0,1.2649,8.0
Li2 O8 Rb4 V2,4,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,2.62,1.212,1.75,0.721,3.0,1.3229,7.5
Al10 F40 Rb10,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.3232,1.85,0.6902,3.0,1.1055,8.1999999999999993
Cl6 Ni2 Rb2,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,2.34,0.9445,1.35,0.5229,2.0,0.8,11.0
Co2 I8 Rb4,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,1.84,0.8052,1.0,0.434,1.0,0.3499,7.0
F5 K1 O1 Rb2 Zr1,5,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4566,1.85,0.8098,3.0,1.3748,12.0
O20 Rb8 Si8,3,0.0,0.2222,0.0,0.5556,0.0,0.0,0.2222,0.0,0.0,0.0,-1.7778,2.62,1.0945,1.75,0.6972,3.0,1.1967,5.0
Al4 F16 Rb4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.3232,1.85,0.6902,3.0,1.1055,10.0
Ga8 H20 O44 P8 Rb4,5,0.0,0.0476,0.0,0.5238,0.0,0.0,0.0,0.0,0.0,0.0,-1.2381,2.62,0.7828,2.1,0.4753,4.0,1.0519,8.0
Cl4 Li2 Rb2,3,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.34,1.1314,1.35,0.5511,3.0,1.0897,8.0
Rb3 Sb1,2,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.23,0.5326,0.9,0.3897,0.0,0.0,10.0
F10 Pd2 Rb6,3,0.0,0.3333,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.1111,-0.0,3.16,1.4544,1.85,0.8469,3.0,1.4907,8.3333333333333339
