formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Li2 O6 Re2,3,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.46,1.0221,0.85,0.3932,4.0,1.6,6.0
O12 Re1 Sc6,3,0.0,0.0,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.3684,-0.1053,2.08,0.9729,1.0,0.4682,4.0,1.1816,6.0
Dy1 O6 Re1 Sr2,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.1,2.49,1.0982,1.4,0.5997,6.0,2.1071,6.0
N6 Na8 Re2,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.125,2.11,0.977,1.15,0.5325,4.0,1.2247,4.0
Re4 Si4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.125,3.0,1.5,8.0
Gd12 O32 Re4,3,0.0,0.0,0.0,0.6667,0.0,0.25,0.0,0.0,0.25,0.0833,-0.25,2.24,0.9891,1.2,0.5249,6.0,2.6405,5.0
O18 Re4 V2,3,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,-0.4167,1.81,0.7087,0.75,0.3248,4.0,1.5184,4.0
Ge14 Re6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,-1.6,0.11,0.0504,0.1,0.0458,2.0,0.9165,8.0
O20 Re4 Sm8,3,0.0,0.0,0.0,0.625,0.0,0.25,0.0,0.0,0.25,0.125,0.0,2.27,1.0035,1.25,0.544,6.0,2.6458,5.0
Re8 Si4 Y2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.7143,1.5714,0.68,0.238,0.7,0.2162,3.0,1.3093,7.0
C8 F2 H24 O10 Re2,5,0.0,0.0,0.0,0.2174,0.0435,0.0,0.0,0.0,0.0,0.0435,-1.5217,2.08,0.5843,1.1,0.2679,5.0,1.0471,5.0
Re8 Zr4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.57,0.2687,0.2,0.0943,1.0,0.4714,8.5
