formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ce1 Rh2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.16,0.4236,0.75,0.2739,5.0,1.833,7.0
F12 Li4 Rh2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.1111,3.0,1.2606,0.95,0.433,3.0,0.9428,6.0
Ho2 Rh4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.05,0.495,0.4,0.1886,3.0,1.4142,10.0
Ge2 Rh2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,1.33,0.493,0.75,0.2835,1.0,0.4899,7.0
Eu2 In4 Rh2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,2.28,0.8673,0.5,0.1785,3.0,1.299,8.0
Ce2 Rh4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.16,0.5468,0.5,0.2357,3.0,1.4142,10.0
Rh30 Si18 Sm6,3,0.0,0.0,0.0,0.0,0.0,0.1111,0.3333,0.0,0.1111,0.5556,0.6667,1.11,0.35,0.75,0.2187,5.0,1.4907,7.4000000000000004
Fe2 Rh4 S8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.75,0.2624,0.4,0.1821,2.0,0.8806,6.0
B2 Rh3 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.0,1.11,0.3928,1.0,0.3436,6.0,2.0616,7.0
Rh4 Si4 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,1.06,0.4385,0.7,0.2896,2.0,0.9428,7.0
Mn3 N1 Rh1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.49,0.5945,0.75,0.2956,3.0,0.9798,6.0
Rh2 V6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.65,0.2815,0.0,0.0,1.0,0.433,12.0
Ho3 Rh3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.05,0.4394,0.4,0.17,3.0,1.4142,8.6666666666666661
As1 Rh2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,1.0,0.1,0.0471,0.2,0.0943,1.0,0.4714,8.0
Nd8 Rh4 Si12,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,0.0,0.3333,0.1667,-0.5,1.14,0.4249,0.75,0.3359,5.0,2.2361,6.0
Hf6 Rh6 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.98,0.408,0.2,0.0816,1.0,0.4714,8.6666666666666661
Pu2 Rh4,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.3333,1.0,0.4714,0.4,0.1886,4.0,1.8856,10.0
Rh10 Zr6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.375,0.95,0.4599,0.2,0.0968,0.0,0.0,9.0
F6 Na1 Rb2 Rh1,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.411,1.85,0.7639,3.0,1.3416,6.0
Be1 Rh1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.71,0.355,0.3,0.15,3.0,1.5,10.0
As6 Rh7 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.2353,0.3529,0.0,0.2353,0.4118,0.8824,2.28,0.9486,0.6,0.2263,4.0,1.5317,8.7142857142857135
Ni1 Rh2 Se4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.64,0.2257,0.2,0.099,1.0,0.4518,6.0
Rh2 V2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.65,0.325,0.0,0.0,1.0,0.5,11.0
F6 Rh1 Sr1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.125,-0.125,3.03,1.0767,1.5,0.5341,3.0,1.299,6.0
