formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ge3 Ru3 Sc3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,0.84,0.3597,0.35,0.1546,1.0,0.4714,8.0
Ba1 Ru4 Sb12,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.31,0.2887,0.85,0.1846,1.0,0.2353,6.0
Co5 O8 Ru1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2143,1.56,0.7497,0.75,0.3672,3.0,1.0996,6.0
Ru4 Sb12 Sr1,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.25,0.275,0.7,0.1519,0.0,0.0,6.0
Ru4 Sn2 U4,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.8,0.82,0.373,0.45,0.2035,4.0,1.9596,8.0
I10 Ru1 Y6,3,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.4118,0.6471,1.44,0.6766,0.5,0.1969,0.0,0.0,6.0
Li2 Ru2 Sn8,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,-2.0,1.22,0.393,0.15,0.0559,3.0,1.118,10.0
Ba6 O18 Ru4 Tb2,4,0.0,0.0,0.2,0.6,0.0,0.0667,0.0,0.0,0.0667,0.1333,-0.2,3.44,1.2149,1.55,0.6353,6.0,2.0591,6.0
Ce1 P12 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.2353,-1.2353,1.08,0.2524,0.85,0.2217,5.0,1.3517,6.0
Nd2 Ru2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.06,0.4461,0.75,0.3171,5.0,2.0548,7.0
Ca8 O16 Ru4,3,0.0,0.0,0.2857,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.1429,2.44,1.0753,1.2,0.5341,3.0,1.1952,6.0
Ge6 Ho6 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.375,0.25,0.375,0.97,0.4209,0.5,0.2332,4.0,1.7854,7.0
Ru3 Sn3 U3,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.6667,0.82,0.3442,0.45,0.1871,4.0,1.8856,8.0
Hf3 P3 Ru3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,0.9,0.4219,0.55,0.2248,3.0,1.2472,8.0
B8 La2 Ru8,3,0.0,0.0,0.0,0.0,0.0,0.1111,0.4444,0.0,0.1111,0.5556,3.0,1.1,0.3293,1.1,0.3473,6.0,2.0,6.0
Pu1 Ru2 Si2,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.4,0.92,0.336,0.65,0.2375,6.0,2.1909,7.0
Al6 Ru2 Sc4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.84,0.2804,0.35,0.1601,2.0,0.7454,10.0
Ba6 Mg2 O18 Ru4,4,0.0,0.0,0.2667,0.6,0.0,0.0,0.0,0.0,0.0,0.1333,-0.2667,2.55,1.0677,1.55,0.6206,4.0,1.6918,6.0
O4 Ru1 Sr2,3,0.0,0.0,0.2857,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.1429,2.49,1.0962,1.4,0.6164,3.0,1.4846,6.0
Dy4 O14 Ru4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.1818,-0.1818,2.22,0.8831,1.15,0.4652,6.0,2.3461,6.0
B6 La3 Ru8,3,0.0,0.0,0.0,0.0,0.0,0.1765,0.3529,0.0,0.1765,0.6471,3.0,1.1,0.3997,1.1,0.3796,6.0,2.1176,6.5
Hf8 Ru12 Si16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.5556,0.1111,0.9,0.33,0.45,0.1748,3.0,1.2472,7.0
C1 Ru3 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,1.19,0.395,0.9,0.2939,3.0,1.1662,6.0
Ru4 Sm1 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.3636,-0.8182,1.03,0.2783,0.55,0.1497,3.0,0.8624,6.0
La4 O12 Ru4,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.4,0.0,2.34,0.9434,1.35,0.5426,6.0,2.4,6.0
Cu3 Nd1 O12 Ru4,4,0.0,0.0,0.0,0.6,0.0,0.05,0.0,0.0,0.05,0.35,-0.15,2.3,0.7582,1.25,0.4016,6.0,1.6613,6.0
B6 Ru4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,3.0,0.16,0.0784,0.45,0.2205,3.0,1.4697,7.0
O14 Ru2 Sm6,3,0.0,0.0,0.0,0.6364,0.0,0.2727,0.0,0.0,0.2727,0.0909,-0.1818,2.27,1.0048,1.25,0.5541,6.0,2.6442,6.0
Er4 O14 Ru4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.1818,-0.1818,2.2,0.8766,1.15,0.4652,6.0,2.3461,6.0
Er2 O12 Ru2 Sr4,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.2,2.49,1.0811,1.4,0.5975,6.0,2.0125,6.0
B2 Er1 Ru3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.0,0.96,0.3415,0.9,0.3092,6.0,2.0616,7.0
Ge2 La1 Ru2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.6,0.2,1.1,0.4109,0.7,0.2709,4.0,1.4697,7.0
Ca1 Ge2 Ru2,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,1.2,0.4501,0.55,0.2112,1.0,0.4899,7.0
Ba2 Lu1 O6 Ru1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.2,2.55,1.0959,1.55,0.6455,4.0,1.8574,6.0
Cl8 F64 Ru8,3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,-0.6,1.78,0.5626,0.8,0.2685,3.0,0.9165,6.0
Na1 O8 Rb3 Ru2,4,0.0,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.4286,2.62,1.1394,1.75,0.7174,3.0,1.407,4.0
Al1 Nb1 Ru2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.5,0.6,0.2975,0.2,0.075,2.0,0.866,10.0
Ce20 Ge8 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.625,0.25,0.0,0.625,0.125,1.25,1.08,0.4648,0.6,0.2828,4.0,1.7984,6.0
Ru2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Ba2 Ho1 O6 Ru1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.2,2.55,1.1007,1.55,0.6455,6.0,2.1932,6.0
Ge2 La2 Ru2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.6667,0.6667,1.1,0.4801,0.7,0.3189,4.0,1.6997,7.0
Dy4 Ge4 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,0.98,0.4243,0.5,0.2248,4.0,1.6997,7.0
Dy10 Ru4,2,0.0,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.7143,0.2857,3.0,0.98,0.4427,0.45,0.2033,3.0,1.3553,7.0
C19 Er10 Ru10,3,0.0,0.0,0.0,0.0,0.0,0.2564,0.0,0.0,0.2564,0.2564,-0.4103,1.31,0.5388,1.05,0.4427,6.0,2.4926,6.0
Ru1 Ti1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.66,0.33,0.1,0.05,1.0,0.5,10.0
Ru2 Si2 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.03,0.3767,0.75,0.275,5.0,1.833,7.0
La4 Ni2 O12 Ru2,4,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.4,-0.1,2.34,0.9633,1.35,0.5455,6.0,2.3685,6.0
As4 Ru4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.02,0.01,0.15,0.075,1.0,0.5,7.0
Nd6 O14 Ru2,3,0.0,0.0,0.0,0.6364,0.0,0.2727,0.0,0.0,0.2727,0.0909,-0.1818,2.3,1.0173,1.25,0.5541,6.0,2.6442,6.0
Ba6 Nd2 O18 Ru4,4,0.0,0.0,0.2,0.6,0.0,0.0667,0.0,0.0,0.0667,0.1333,-0.2,2.55,1.0824,1.55,0.6428,6.0,2.0591,6.0
C12 F24 O12 Ru2 Sb4,5,0.0,0.0,0.0,0.2222,0.4444,0.0,0.0741,0.0,0.0,0.037,-1.8889,1.93,0.7031,0.95,0.2718,3.0,0.9428,6.0
Ce1 Ge2 Ru2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.08,0.4031,0.6,0.2311,4.0,1.4697,7.0
