formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Mn2 S16 Ta8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.4615,1.08,0.5207,0.45,0.2144,3.0,1.3587,6.25
Cu4 S6 Si2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.0,0.68,0.34,0.35,0.1572,1.0,0.4714,4.333333333333333
Ca2 H8 O12 S2,4,0.0,0.0,0.0833,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.44,0.7723,1.55,0.417,3.0,0.862,4.0
Cu4 Pr4 S8,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,1.45,0.5981,0.85,0.3482,5.0,2.0616,5.0
Cs4 S24 Sb4,3,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-1.75,1.79,0.5929,1.6,0.5288,3.0,1.111,4.166666666666667
Ge2 S4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-2.6667,0.57,0.2687,0.25,0.1179,1.0,0.4714,4.0
S4 Sr2,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6667,1.63,0.7684,1.0,0.4714,2.0,0.9428,4.0
Ba2 Fe4 S6,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,1.69,0.6171,1.15,0.41,3.0,1.0672,5.333333333333333
Al6 Na8 O28 S1 Si6,5,0.0,0.1633,0.0,0.5714,0.0,0.0,0.1224,0.0,0.0,0.0,-1.1429,2.51,1.0191,1.2,0.4492,1.0,0.4949,4.0
Hg9 O18 S3,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,-1.1,1.44,0.654,0.9,0.4036,4.0,1.7916,4.0
B4 Ba2 S8,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,1.69,0.5786,1.3,0.425,4.0,1.2454,4.0
Cs4 F4 O8 S4,4,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,-1.2,3.19,1.1216,2.1,0.7889,4.0,1.5492,4.0
Cu2 Eu2 S6 Tm2,4,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.1667,0.1667,2.58,0.9466,0.85,0.3591,5.0,2.2669,6.0
Cu2 Nd4 Rb2 S8,4,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.125,1.76,0.7219,1.35,0.4931,5.0,2.0578,5.25
