formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cs4 S24 Sb4,3,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-1.75,1.79,0.5929,1.6,0.5288,3.0,1.111,5.0
Ba1 Ru4 Sb12,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.31,0.2887,0.85,0.1846,1.0,0.2353,6.0
Hf6 Sb6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.75,0.375,0.1,0.05,1.0,0.5,7.0
Cu2 Sb4 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,2.05,0.8682,0.4,0.15,4.0,1.5,8.0
Mn2 Nd2 O2 Sb2,4,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,2.3,0.8675,1.25,0.4535,6.0,2.1651,8.0
Ru4 Sb12 Sr1,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.25,0.275,0.7,0.1519,0.0,0.0,6.0
Ba4 F20 Sb4,3,0.0,0.0,0.1429,0.0,0.7143,0.0,0.1429,0.0,0.0,0.0,-0.8571,3.09,1.1755,1.65,0.6164,4.0,1.6036,6.0
Nb5 Sb4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.5556,1.4444,0.45,0.2236,0.0,0.0,0.0,0.0,8.0
S8 Sb4 Tl4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-1.5,0.96,0.4023,0.9,0.3731,3.0,1.299,5.0
Na2 O1 Sb2 Ti2,4,0.0,0.2857,0.0,0.1429,0.0,0.0,0.2857,0.0,0.0,0.2857,0.2857,2.51,0.7984,1.2,0.371,3.0,1.0302,9.0
O24 Pr6 Sb10,3,0.0,0.0,0.0,0.6,0.0,0.15,0.25,0.0,0.15,0.0,-1.5,2.31,0.8954,1.25,0.505,6.0,2.2198,5.0
Ge1 Sb4 Te7,3,0.0,0.0,0.0,0.5833,0.0,0.0,1.0,0.0,0.0,0.0,-2.5,0.09,0.0304,0.2,0.0519,1.0,0.2764,6.0
