formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ge3 Ru3 Sc3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,0.84,0.3597,0.35,0.1546,1.0,0.4714,9.0
P1 Sc1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.83,0.415,0.6,0.3,1.0,0.5,6.0
Ni2 O12 Sc2 Sr6,4,0.0,0.0,0.2727,0.5455,0.0,0.0,0.0,0.0,0.0,0.1818,-0.0909,2.49,1.1325,1.4,0.6197,3.0,1.3361,6.0
Ge2 Sc2 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.01,0.8375,0.5,0.2095,4.0,1.8856,10.0
F12 K2 Rb4 Sc2,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4893,1.85,0.8198,3.0,1.2649,6.0
Ni4 Sc4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.6,0.2718,0.25,0.1027,1.0,0.4714,10.0
O12 Re1 Sc6,3,0.0,0.0,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.3684,-0.1053,2.08,0.9729,1.0,0.4682,4.0,1.1816,6.0
Au1 Sc1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,1.18,0.4818,0.25,0.1027,2.0,0.8165,8.0
B4 Ce1 O12 Sc3,4,0.0,0.0,0.0,0.6,0.0,0.05,0.2,0.0,0.05,0.15,0.0,2.32,0.8993,1.25,0.4144,6.0,1.4283,5.0
Al1 Cu2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.54,0.2255,0.35,0.1293,1.0,0.433,10.0
S4 Sc2 U2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.25,1.22,0.605,0.75,0.3416,6.0,2.4875,6.0
Ni1 Sb1 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,0.69,0.2978,0.25,0.1027,1.0,0.4714,8.0
C1 Sc1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.19,0.595,0.9,0.45,2.0,1.0,6.0
O48 Sc8 Se12,3,0.0,0.0,0.0,0.8824,0.0,0.0,0.0,0.0,0.0,0.1176,-1.4118,2.08,0.6981,1.0,0.3535,2.0,0.9113,6.0
Al4 O12 Sc4,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.08,0.961,1.0,0.419,2.0,0.8,6.0
Pt4 Sc4 Si4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.92,0.3775,0.5,0.2041,3.0,1.2472,11.0
P4 Pt4 Sc4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.92,0.4141,0.6,0.2461,3.0,1.2472,9.0
Al6 Ru2 Sc4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.84,0.2804,0.35,0.1601,2.0,0.7454,15.0
Ga1 Pd2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.84,0.3462,0.3,0.109,1.0,0.5,10.0
Ca4 S16 Sc8,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,1.58,0.6724,0.8,0.3356,1.0,0.4949,6.0
In2 Sc6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,0.42,0.1819,0.05,0.0217,1.0,0.433,12.0
C1 Sc3 Tl1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.19,0.4611,1.2,0.4069,4.0,1.2649,6.0
C1 Ru3 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,1.19,0.395,0.9,0.2939,3.0,1.1662,12.0
Mn8 Sc4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3333,0.19,0.0896,0.2,0.0943,0.0,0.0,15.0
Cl2 Sc2,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.8,0.9,0.6,0.3,1.0,0.5,7.0
B8 Os6 Sc2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,3.375,0.84,0.2584,0.75,0.2781,4.0,1.854,11.0
Al1 Au2 Sc1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,1.18,0.5349,0.35,0.1293,3.0,1.299,10.0
Mn6 Sc1 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385,-0.6923,0.6,0.2233,0.2,0.0525,1.0,0.4985,10.0
O48 Sc8 W12,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.2941,-0.3529,2.08,0.7248,1.0,0.393,4.0,1.5519,6.0
Mg1 Sc1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.05,0.025,0.1,0.05,1.0,0.5,10.0
Ag4 Sc24 Te8,3,0.0,0.0,0.0,0.2222,0.0,0.0,0.2222,0.0,0.0,0.7778,1.6667,0.74,0.3254,0.2,0.0831,1.0,0.4714,7.833333333333333
