formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu2 Eu2 F2 Se2,4,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,3.98,1.4306,1.35,0.484,6.0,2.1794,7.0
Na4 Pt2 Se4,3,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.62,0.756,0.65,0.295,3.0,1.0954,6.0
Na1 Se2 V1,3,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.62,0.6815,0.65,0.2655,1.0,0.433,6.0
Cu2 H4 O10 Se2,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.3333,1.54,0.629,1.1,0.3448,3.0,1.0304,4.0
Cu28 P4 Se24,3,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.5,-0.0714,0.65,0.3123,0.35,0.1168,1.0,0.2575,4.833333333333333
O16 Se4 Si4 Sm8,4,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.27,0.9616,1.25,0.5126,6.0,2.4717,10.0
Ag16 Se12 Sn2,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5333,-0.5333,0.62,0.3022,0.45,0.2154,1.0,0.4899,5.166666666666667
Ce2 K2 Se8,3,0.0,0.1667,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.0,-0.6667,1.73,0.7498,1.05,0.4247,4.0,1.4907,nan
Ce1 Se1,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.43,0.715,0.7,0.35,4.0,2.0,6.0
Mn2 Se6 U2,3,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.17,0.5343,0.6,0.2358,5.0,2.0,6.666666666666667
Ga2 Se2,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.74,0.37,0.15,0.075,0.0,0.0,5.0
Cu2 Hf2 Se6 Tl2,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,1.25,0.5025,0.75,0.2765,2.0,0.9428,6.0
Ga1 Mo4 Se8,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3077,0.2308,0.74,0.24,0.3,0.1365,1.0,0.4615,6.0
Ba4 O20 Se8,3,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,2.55,0.8473,1.55,0.516,4.0,1.4142,4.0
O48 Sc8 Se12,3,0.0,0.0,0.0,0.8824,0.0,0.0,0.0,0.0,0.0,0.1176,-1.4118,2.08,0.6981,1.0,0.3535,2.0,0.9113,4.0
Ba8 Ge8 Se20,3,0.0,0.0,0.2222,0.5556,0.0,0.0,0.2222,0.0,0.0,0.0,-1.5556,1.66,0.6619,1.0,0.4058,2.0,0.8315,4.7999999999999998
Se1 Sr1,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.85,0.425,1.0,0.5,6.0
I4 Sb4 Se4,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,-2.0,0.61,0.2655,0.3,0.1312,1.0,0.4714,6.0
Bi2 Se2 Te1,3,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.53,0.2483,0.45,0.2015,2.0,0.8944,5.0
Ba8 Sb16 Se32,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.2857,0.0,0.0,0.0,-1.7143,1.66,0.5663,1.0,0.3411,2.0,0.7284,5.25
As8 Se12,2,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,-2.4,0.37,0.1813,0.0,0.0,0.0,0.0,5.0
Bi4 K12 Se12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.8094,1.05,0.4868,2.0,0.6999,5.0
Hf2 Se2 Si2,3,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.6667,1.25,0.5104,0.45,0.2014,3.0,1.2472,8.0
Au2 Cu2 Se8,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.5,0.65,0.2415,0.2,0.0943,2.0,0.7454,5.0
Rb12 Sb4 Se12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.1429,0.0,0.0,0.0,-0.8571,1.73,0.811,1.2,0.5653,1.0,0.4949,5.0
Na12 Se14 Si4,3,0.0,0.4,0.0,0.4667,0.0,0.0,0.1333,0.0,0.0,0.0,-1.0667,1.62,0.7526,0.7,0.3243,1.0,0.4989,4.4285714285714288
