formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Cu4 S6 Si2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.0,0.68,0.34,0.35,0.1572,1.0,0.4714,4.0
Ba1 Si2,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,-2.0,1.01,0.4761,1.05,0.495,3.0,1.4142,5.0
Ce1 Rh2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.16,0.4236,0.75,0.2739,5.0,1.833,6.0
Pu4 Si4,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.62,0.31,0.65,0.325,6.0,3.0,7.0
Ce2 Si4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.3333,0.0,-1.6667,0.78,0.3677,0.75,0.3536,5.0,2.357,6.0
Ca4 H4 Mn4 O20 Si4,5,0.0,0.0,0.1111,0.5556,0.0,0.0,0.1111,0.0,0.0,0.1111,-1.2222,2.44,0.932,1.55,0.4641,3.0,0.9558,4.0
Ni6 Si10 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.8,0.69,0.2735,0.7,0.2656,2.0,0.781,6.5999999999999996
Cu4 Ho3 Si4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0,0.2727,0.3636,0.0909,0.67,0.2984,0.65,0.257,5.0,2.049,7.5
Al6 Na8 O28 S1 Si6,5,0.0,0.1633,0.0,0.5714,0.0,0.0,0.1224,0.0,0.0,0.0,-1.1429,2.51,1.0191,1.2,0.4492,1.0,0.4949,4.0
K12 O30 Si12,3,0.0,0.2222,0.0,0.5556,0.0,0.0,0.2222,0.0,0.0,0.0,-1.7778,2.62,1.0945,1.6,0.6377,2.0,0.8165,4.0
O16 Se4 Si4 Sm8,4,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.27,0.9616,1.25,0.5126,6.0,2.4717,4.0
La2 Mn2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.6667,0.3333,0.8,0.3274,0.85,0.352,5.0,2.1602,7.0
Cu2 Ho1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.67,0.268,0.65,0.2379,5.0,1.8547,6.0
Co2 Mn1 Si1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.5,0.35,0.146,0.3,0.1173,1.0,0.433,10.0
O32 Pb8 Si8 Zn8,4,0.0,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.0,0.1429,-1.1429,1.79,0.7551,1.2,0.4464,4.0,1.4142,4.0
La1 Pt2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.6,-0.2,1.18,0.4309,0.85,0.3108,5.0,1.9391,6.0
Ba6 O10 Si2,3,0.0,0.0,0.3333,0.5556,0.0,0.0,0.1111,0.0,0.0,0.0,-0.8889,2.55,1.1783,1.55,0.7079,4.0,1.8325,4.0
Rh30 Si18 Sm6,3,0.0,0.0,0.0,0.0,0.0,0.1111,0.3333,0.0,0.1111,0.5556,0.6667,1.11,0.35,0.75,0.2187,5.0,1.4907,7.0
Bi12 O20 Si1,3,0.0,0.0,0.0,0.6061,0.0,0.0,0.0303,0.0,0.0,0.0,-0.2424,1.54,0.6986,1.0,0.4772,4.0,1.9089,4.0
Ca3 Ir4 Si4,3,0.0,0.0,0.2727,0.0,0.0,0.0,0.3636,0.0,0.0,0.3636,0.1818,1.2,0.4848,0.7,0.2774,3.0,1.2984,5.0
Rh4 Si4 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,1.06,0.4385,0.7,0.2896,2.0,0.9428,7.0
Al2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,1.9,0.7139,0.65,0.2396,5.0,2.0,6.0
B4 Mo10 Si2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,2.75,0.26,0.0902,0.6,0.2603,3.0,1.3229,9.0
Ag2 Al6 Br2 Na6 O24 Si6,6,0.0,0.1304,0.0,0.5217,0.0435,0.0,0.1304,0.0,0.0,0.0435,-1.0435,2.51,0.974,1.2,0.4386,3.0,0.7655,4.0
Na4 O22 Si8 Zr2,4,0.0,0.1111,0.0,0.6111,0.0,0.0,0.2222,0.0,0.0,0.0556,-1.7778,2.51,0.964,1.2,0.4211,3.0,0.7638,4.0
La8 P48 Si16,3,0.0,0.0,0.0,0.0,0.0,0.1111,0.2222,0.0,0.1111,0.1111,-2.5556,1.09,0.341,0.95,0.2936,5.0,1.5713,4.5
Nd2 Ru2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.06,0.4461,0.75,0.3171,5.0,2.0548,7.0
Mo6 Si2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,2.0,0.26,0.1126,0.35,0.1516,2.0,0.866,12.0
Al2 Li2 O20 Si8,4,0.0,0.0625,0.0,0.625,0.0,0.0,0.25,0.0,0.0,0.0,-2.0,2.46,0.8683,0.85,0.2936,1.0,0.4635,4.0
Pd2 Si2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.9,0.3286,0.7,0.2577,6.0,2.1909,6.0
Mn2 Si2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.6,0.2311,0.7,0.2577,6.0,2.245,7.0
K8 Si46,2,0.0,0.1481,0.0,0.0,0.0,0.0,0.8519,0.0,0.0,0.0,-3.2593,1.08,0.3837,1.1,0.3908,1.0,0.3552,5.0
Al3 Li8 Si5,3,0.0,0.5,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,-0.1875,0.92,0.4176,0.35,0.1556,1.0,0.5,10.0
Dy1 Si2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.3333,0.0,-1.6667,0.68,0.3206,0.65,0.3064,5.0,2.357,6.0
Nd8 Rh4 Si12,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,0.0,0.3333,0.1667,-0.5,1.14,0.4249,0.75,0.3359,5.0,2.2361,6.0
Be4 Ho4 O14 Si2,4,0.0,0.0,0.1667,0.5833,0.0,0.1667,0.0833,0.0,0.1667,0.0,-0.6667,2.21,0.9701,1.15,0.4242,6.0,2.2158,4.0
O20 Rb8 Si8,3,0.0,0.2222,0.0,0.5556,0.0,0.0,0.2222,0.0,0.0,0.0,-1.7778,2.62,1.0945,1.75,0.6972,3.0,1.1967,4.0
Ca6 O18 Si6,3,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,-1.6,2.44,1.0156,1.2,0.4716,2.0,0.8,4.0
Er2 Ni2 Si4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.75,0.67,0.2873,0.65,0.2658,5.0,2.0616,6.5
Hf6 Ni4 Si6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,0.5,0.61,0.2924,0.45,0.1952,3.0,1.317,7.0
Al2 Gd1 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.7,0.2571,0.7,0.2588,5.0,2.0,6.0
Ni8 O16 Si4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.0,0.2857,-1.1429,1.54,0.7588,0.75,0.3388,2.0,0.8806,4.0
Ba6 O30 Si12,3,0.0,0.0,0.125,0.625,0.0,0.0,0.25,0.0,0.0,0.0,-2.0,2.55,0.9542,1.55,0.5111,4.0,1.299,4.0
Re4 Si4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.125,3.0,1.5,8.0
O6 Si3,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,-2.6667,1.54,0.726,0.5,0.2357,1.0,0.4714,4.0
Pt4 Sc4 Si4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.92,0.3775,0.5,0.2041,3.0,1.2472,7.0
Er1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.67,0.266,0.65,0.2379,5.0,1.8547,6.0
Hf2 Se2 Si2,3,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.6667,1.25,0.5104,0.45,0.2014,3.0,1.2472,7.0
Hf2 Si4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,-1.3333,0.6,0.2828,0.45,0.2121,3.0,1.4142,7.5
Eu1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.4,1.91,0.762,0.75,0.2739,5.0,1.8547,7.0
Na12 Se14 Si4,3,0.0,0.4,0.0,0.4667,0.0,0.0,0.1333,0.0,0.0,0.0,-1.0667,1.62,0.7526,0.7,0.3243,1.0,0.4989,4.0
N8 Si6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,-3.4286,1.14,0.5642,0.45,0.2227,1.0,0.4949,4.0
Ca4 O12 Si4,3,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,-1.6,2.44,1.0156,1.2,0.4716,2.0,0.8,6.0
