formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
F12 Sm4,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.81,1.2168,1.35,0.5846,6.0,2.5981,8.0
Br2 O2 Sm2,3,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,2.27,0.9768,1.25,0.5115,6.0,2.4944,6.0
In1 Sm3,2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,3.0,0.61,0.2641,0.3,0.1299,3.0,1.299,12.0
O16 Se4 Si4 Sm8,4,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,2.27,0.9616,1.25,0.5126,6.0,2.4717,7.0
F8 Mg2 Sm2,3,0.0,0.0,0.1667,0.0,0.6667,0.1667,0.0,0.0,0.1667,0.0,0.1667,2.81,1.2923,1.35,0.563,6.0,2.1922,8.0
Ce4 S8 Sm2,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.4286,0.0,0.1429,1.46,0.7144,0.85,0.4206,5.0,2.4744,7.0
Sb1 Sm1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.88,0.44,0.4,0.2,3.0,1.5,6.0
Na2 O28 Sb4 Sm6 Ti4,5,0.0,0.0455,0.0,0.6364,0.0,0.1364,0.0909,0.0,0.1364,0.0909,-0.7273,2.51,0.9852,1.25,0.5116,6.0,2.0973,6.0
Rh30 Si18 Sm6,3,0.0,0.0,0.0,0.0,0.0,0.1111,0.3333,0.0,0.1111,0.5556,0.6667,1.11,0.35,0.75,0.2187,5.0,1.4907,14.0
B2 Rh3 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.0,1.11,0.3928,1.0,0.3436,6.0,2.0616,13.0
B16 Fe4 Sm4,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.6667,0.0,0.1667,0.1667,2.8333,0.87,0.318,1.0,0.3877,6.0,2.2111,14.0
F5 Sm10,2,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.6667,0.0,1.6667,2.81,1.3246,1.35,0.6364,6.0,2.8284,4.0
In3 Mg3 Sm3,3,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.6667,0.61,0.2609,0.35,0.1546,5.0,2.0548,10.0
La5 S8 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.4286,0.3571,0.1429,1.48,0.7268,0.95,0.4625,5.0,2.4744,7.0
Nb4 O16 S12 Sm12,4,0.0,0.0,0.0,0.3636,0.0,0.2727,0.0,0.0,0.2727,0.0909,0.0,2.27,0.9341,1.25,0.5074,6.0,2.4797,6.333333333333333
Cd2 Sm1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.52,0.2451,0.3,0.1414,3.0,1.4142,14.0
Cu24 Sm4,2,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.8571,2.1429,0.73,0.2554,0.5,0.175,4.0,1.3997,12.0
O8 Sm2 Ta2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,2.27,0.9969,1.25,0.5083,6.0,2.4267,7.0
O1 Sm1,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.27,1.135,1.25,0.625,6.0,3.0,6.0
O24 Sm16,2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.27,1.1121,1.25,0.6124,6.0,2.9394,5.25
O20 Re4 Sm8,3,0.0,0.0,0.0,0.625,0.0,0.25,0.0,0.0,0.25,0.125,0.0,2.27,1.0035,1.25,0.544,6.0,2.6458,7.0
Al2 Ge2 Sm2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.6667,0.84,0.3431,0.6,0.2828,5.0,2.1602,12.0
Sm1 Tl1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.0,0.45,0.225,0.05,0.025,2.0,1.0,10.0
Fe17 Sm2,2,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.0,0.1053,0.8947,2.1053,0.66,0.2025,0.45,0.1381,4.0,1.2276,15.0
Ni24 P12 Sm6,3,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.5714,0.7143,1.02,0.3162,0.85,0.2644,5.0,1.5779,12.666666666666666
Ru4 Sm1 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.3636,-0.8182,1.03,0.2783,0.55,0.1497,3.0,0.8624,12.0
O14 Ru2 Sm6,3,0.0,0.0,0.0,0.6364,0.0,0.2727,0.0,0.0,0.2727,0.0909,-0.1818,2.27,1.0048,1.25,0.5541,6.0,2.6442,6.333333333333333
B20 Co58 Si8 Sm6,4,0.0,0.0,0.0,0.0,0.0,0.0652,0.3043,0.0,0.0652,0.6304,1.7609,0.87,0.1959,1.0,0.2579,6.0,1.3899,15.333333333333334
C1 Sm3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,1.38,0.5633,1.15,0.4477,6.0,2.4,6.0
C4 O12 Rb2 Sm2,4,0.0,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.1,0.0,-1.6,2.62,0.9567,1.75,0.6017,6.0,1.9209,7.0
Pd2 Si2 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.03,0.3767,0.75,0.275,5.0,1.833,16.0
Cr1 O3 Sm1,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.0,2.27,1.0041,1.25,0.5219,6.0,2.3324,12.0
Pt7 Sb4 Sm3,3,0.0,0.0,0.0,0.0,0.0,0.2143,0.2857,0.0,0.2143,0.5,0.7857,1.11,0.4324,0.5,0.195,3.0,1.0595,10.333333333333334
O26 Si6 Sm10,3,0.0,0.0,0.0,0.619,0.0,0.2381,0.1429,0.0,0.2381,0.0,-1.0952,2.27,0.9937,1.25,0.5211,6.0,2.499,5.7999999999999998
K1 Sm1 Te2,3,0.0,0.25,0.0,0.5,0.0,0.25,0.5,0.0,0.25,0.0,0.0,1.28,0.5662,0.8,0.3361,4.0,1.5,6.0
O14 Re2 Sm6,3,0.0,0.0,0.0,0.6364,0.0,0.2727,0.0,0.0,0.2727,0.0909,-0.0909,2.27,1.0221,1.25,0.5567,6.0,2.6968,6.333333333333333
Co6 Sm3 Sn5,3,0.0,0.0,0.0,0.0,0.0,0.2143,0.0,0.0,0.2143,0.4286,0.0714,0.79,0.3083,0.5,0.1917,4.0,1.5203,11.666666666666666
Pt2 Si2 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.11,0.4053,0.75,0.2739,5.0,1.9391,16.0
Rh1 Sm1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,3.0,1.11,0.555,0.5,0.25,3.0,1.5,10.0
Sm1 Tl3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.5,0.45,0.1949,0.05,0.0217,2.0,0.866,12.0
P8 S32 Sm8,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,-1.3333,1.41,0.5164,0.85,0.3168,5.0,1.8634,7.5
Co5 Sm1,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,0.71,0.2646,0.5,0.1863,4.0,1.4907,14.0
Na2 S14 Si2 Sm6,4,0.0,0.0833,0.0,0.0,0.0,0.25,0.0833,0.0,0.25,0.0,-0.6667,1.65,0.6809,0.85,0.39,5.0,2.1651,7.0
Pt30 Si18 Sm6,3,0.0,0.0,0.0,0.0,0.0,0.1111,0.3333,0.0,0.1111,0.5556,0.1111,1.11,0.35,0.75,0.2187,5.0,1.6851,13.0
