formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
O20 P6 Sn4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-2.4667,1.48,0.636,0.85,0.3016,3.0,1.0198,5.0
Ni1 Sn3 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.01,0.3995,0.65,0.2332,1.0,0.4,5.666666666666667
Mg18 Sn10,2,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1429,0.65,0.3115,0.05,0.024,2.0,0.9583,7.5999999999999996
Ru4 Sn2 U4,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.8,0.82,0.373,0.45,0.2035,4.0,1.9596,10.0
Nd2 Ni4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.2,0.82,0.3188,0.5,0.1855,4.0,1.4697,6.5
Ag16 Se12 Sn2,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5333,-0.5333,0.62,0.3022,0.45,0.2154,1.0,0.4899,5.0
Eu2 P2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,-1.6667,2.19,0.9827,0.85,0.3472,5.0,2.0548,5.0
Li2 Ru2 Sn8,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,-2.0,1.22,0.393,0.15,0.0559,3.0,1.118,8.0
Cs8 F48 Na8 Sn8,4,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.8889,3.19,1.3324,2.1,0.7379,4.0,1.4487,6.0
B2 Mn1 O6 Sn1,4,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.1,-0.8,1.89,0.7665,0.85,0.3202,3.0,1.0247,6.0
Co4 Er4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.72,0.3222,0.4,0.17,4.0,1.6997,7.0
Ni4 Sc4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.6,0.2718,0.25,0.1027,1.0,0.4714,7.0
Sn1 Te1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-3.0,0.14,0.07,0.05,0.025,0.0,0.0,10.0
Au2 Ce2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.42,0.5829,0.5,0.216,3.0,1.2472,7.0
Sn8 Te24 Tl16,3,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-1.3333,0.48,0.2155,0.5,0.2305,1.0,0.4714,5.0
Cs4 Mn2 Sn2 Te8,4,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,-1.0,1.31,0.546,1.2,0.5163,2.0,0.5995,5.0
Au1 Sc1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,1.18,0.4818,0.25,0.1027,2.0,0.8165,8.0
Cu4 Dy3 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.0,0.0,0.2727,0.3636,0.0909,0.74,0.3172,0.4,0.1616,4.0,1.616,7.0
Cu1 F6 Sn1,3,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.125,-1.0,2.08,0.8878,0.95,0.3905,3.0,1.111,6.0
C6 Fe1 N6 Sn2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,-3.2,1.21,0.415,0.8,0.3043,3.0,1.0873,6.0
Pt2 Sn8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.8,0.32,0.128,0.1,0.04,1.0,0.4,7.0
O30 P10 Sn4,3,0.0,0.0,0.0,0.6818,0.0,0.0,0.0,0.0,0.0,0.0,-2.4091,1.48,0.6156,0.85,0.2716,3.0,0.8919,6.0
Ho3 Rh3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.05,0.4394,0.4,0.17,3.0,1.4142,8.0
Sn2 Ti6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.42,0.1819,0.05,0.0217,1.0,0.433,12.0
Ca2 O6 Sn2,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,2.44,1.007,1.2,0.5142,3.0,1.2649,6.0
Pd8 Sn16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-2.0,0.24,0.1131,0.05,0.0236,0.0,0.0,7.0
Li4 O48 P12 Sn8,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-2.2222,2.46,0.7619,0.85,0.322,3.0,0.9574,5.5
Br16 Sn4,2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-1.6,1.0,0.4,0.3,0.12,1.0,0.4,4.0
F16 Sn6,2,0.0,0.0,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0,-1.8182,2.02,0.8996,0.95,0.4231,3.0,1.3361,6.0
Hf6 Rh6 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.98,0.408,0.2,0.0816,1.0,0.4714,8.0
Co3 Sn3 Zr3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.63,0.28,0.2,0.0816,1.0,0.4714,8.0
K32 O24 Sn8,3,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,2.62,1.2128,1.6,0.741,3.0,1.111,5.0
F24 K8 Sn8,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-1.2,3.16,1.3191,1.7,0.6911,3.0,1.2649,5.0
Ru3 Sn3 U3,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.6667,0.82,0.3442,0.45,0.1871,4.0,1.8856,8.0
Sn4 Y4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.74,0.3034,0.45,0.1929,1.0,0.4714,7.0
Fe6 Sn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.13,0.0563,0.05,0.0217,1.0,0.433,12.0
Ir6 Sn14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.9,0.24,0.11,0.1,0.0458,1.0,0.4583,7.8571428571428568
O14 Sn4 Y4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-1.4545,2.22,0.9175,1.2,0.5042,3.0,1.4431,6.0
Li1 S2 Sn1,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,1.6,0.6543,0.45,0.225,3.0,1.0897,7.0
Cs16 Sn16,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.17,0.585,1.15,0.575,1.0,0.5,7.0
Eu2 Sn4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.4,1.96,0.7352,0.5,0.1855,4.0,1.4697,6.5
Ba2 Hg2 Sn2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.3333,1.11,0.5141,0.7,0.3189,1.0,0.4714,6.0
Cl4 F4 Sn4,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-2.0,2.02,0.8295,0.95,0.388,3.0,1.2472,6.0
Mn1 Ni2 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.41,0.1644,0.1,0.0415,1.0,0.433,10.0
Na8 O6 Sn2,3,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,2.51,1.162,1.2,0.5581,3.0,0.927,5.0
Sn6 Th10,2,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,1.0,0.66,0.3195,0.35,0.1694,4.0,1.9365,8.0
As8 K8 O40 Sn8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.125,0.0,0.0,0.0,-2.0,2.62,0.9388,1.6,0.5545,3.0,1.1659,5.5
C1 Lu3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,1.28,0.5174,1.05,0.4069,4.0,1.5492,12.0
Hf1 Ni2 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.66,0.2721,0.2,0.0829,2.0,0.8292,10.0
Co3 Sn3 U3,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.3333,0.58,0.2566,0.4,0.17,5.0,2.1602,8.0
Cl16 Sn8,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-2.0,1.2,0.5657,0.45,0.2121,2.0,0.9428,6.0
K16 Se16 Sn4,3,0.0,0.4444,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.0,-0.8889,1.73,0.8201,1.05,0.5,1.0,0.3143,5.0
Ba2 Sn2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.07,0.535,0.7,0.35,1.0,0.5,7.0
Ir3 Sn3 Zr3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.87,0.3669,0.2,0.0816,1.0,0.4714,8.0
Au2 Lu2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.27,0.5191,0.4,0.17,1.0,0.4714,7.0
Fe3 Sn1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.13,0.0563,0.05,0.0217,1.0,0.433,12.0
Ru4 Sm1 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.3636,-0.8182,1.03,0.2783,0.55,0.1497,3.0,0.8624,6.666666666666667
O1 Sn1 Yb3,3,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.6,0.0,0.6,3.44,1.4031,1.15,0.4454,6.0,2.4,12.0
S6 Sn4 Tl4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7143,0.96,0.4115,0.9,0.3748,3.0,1.2936,5.0
S1 Sn1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.62,0.31,0.45,0.225,2.0,1.0,6.0
Ag2 Fe1 S4 Sn1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,-1.0,0.75,0.3356,0.6,0.2639,2.0,0.927,5.0
Ag3 Er3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.72,0.3326,0.3,0.1225,3.0,1.4142,8.3333333333333339
C1 Sm3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,1.38,0.5633,1.15,0.4477,6.0,2.4,6.0
Cd2 Na4 Sn2,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.03,0.4576,0.35,0.1541,2.0,1.0,8.0
F8 Se12 Sn4 Sr8,4,0.0,0.0,0.25,0.375,0.25,0.0,0.0,0.0,0.0,0.0,-1.0,3.03,1.0868,1.5,0.5384,3.0,1.1659,5.0
F12 Na4 Sn2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.8889,3.05,1.3064,1.3,0.5659,3.0,0.9558,6.0
Fe6 Sn4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.4,0.13,0.0637,0.05,0.0245,1.0,0.4899,9.5
Er2 Sn4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,-1.6667,0.72,0.3394,0.3,0.1414,3.0,1.4142,8.5
Cd4 O8 Sn2,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.2857,-1.1429,1.75,0.8257,0.95,0.4547,3.0,1.4846,6.0
Bi4 O14 Sn4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,1.48,0.6978,1.0,0.4473,4.0,1.7104,6.0
Na2 P2 Sn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.26,0.5479,0.8,0.3274,2.0,0.9428,5.0
Ag2 Nd2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.82,0.3797,0.4,0.165,3.0,1.4142,7.0
Sb2 Sn1 Te4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.8571,0.0,0.0,0.0,-2.5714,0.14,0.0484,0.05,0.0247,0.0,0.0,6.0
Cu2 Pr6 Se14 Sn2,4,0.0,0.0,0.0,0.5833,0.0,0.25,0.0,0.0,0.25,0.0833,-0.5833,1.42,0.5985,0.7,0.2939,4.0,1.7058,5.0
Ir4 Sn4 Sr3,3,0.0,0.0,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.1818,1.25,0.5136,0.65,0.2706,1.0,0.481,5.0
F20 Na8 Sn6,3,0.0,0.2353,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.0,-1.0588,3.05,1.3248,1.3,0.5768,3.0,1.113,5.0
Co6 Sm3 Sn5,3,0.0,0.0,0.0,0.0,0.0,0.2143,0.0,0.0,0.2143,0.4286,0.0714,0.79,0.3083,0.5,0.1917,4.0,1.5203,8.1999999999999993
Co3 Sn3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.08,0.04,0.1,0.05,1.0,0.5,9.0
Ag2 La6 Se14 Sn2,4,0.0,0.0,0.0,0.5833,0.0,0.25,0.0,0.0,0.25,0.3333,-0.6667,1.45,0.6099,0.8,0.3398,4.0,1.675,5.0
K2 Sb2 Sn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-2.0,1.23,0.5598,0.75,0.3536,1.0,0.4714,5.0
F28 Sn4 Y4,3,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.0,0.0,0.1111,-0.8889,2.76,1.0088,1.3,0.4749,3.0,1.2472,6.0
O12 Sn4 Sr4,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,2.49,1.0236,1.4,0.5779,3.0,1.4697,6.0
Pd4 Sn4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,2.2,0.9854,0.35,0.1546,3.0,1.4142,7.0
Pr4 Sn4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.83,0.3424,0.5,0.216,4.0,1.6997,7.0
F8 Sn4,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-2.0,2.02,0.9522,0.95,0.4478,3.0,1.4142,6.0
Mn6 Sc1 Sn6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385,-0.6923,0.6,0.2233,0.2,0.0525,1.0,0.4985,9.6666666666666661
N8 Sn6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4286,1.08,0.5345,0.8,0.3959,3.0,1.4846,5.333333333333333
Co2 Mn1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.41,0.1579,0.1,0.0415,1.0,0.433,10.0
Na20 Sn12 Tl4,3,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6667,1.03,0.4797,0.45,0.1755,3.0,1.1547,7.333333333333333
Li6 O24 P6 Sn6,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.46,0.9225,0.85,0.3732,3.0,1.0498,5.0
Se4 Sn4,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.59,0.295,0.3,0.15,1.0,0.5,6.0
Pd1 Sn3 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.25,0.438,0.6,0.2258,0.0,0.0,5.666666666666667
Ca2 O6 Sn2,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,2.44,1.007,1.2,0.5142,3.0,1.2649,5.0
K2 O3 Sn2,3,0.0,0.2857,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,-1.7143,2.62,1.1022,1.6,0.6692,3.0,1.2936,5.0
Ca4 O12 Sn4,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,2.44,1.007,1.2,0.5142,3.0,1.2649,6.0
Cs2 F6 Sn1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.8889,3.19,1.3578,2.1,0.8677,4.0,1.7498,6.0
B4 F28 Sn8,3,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,-1.2,2.02,0.9137,0.95,0.377,3.0,1.2,5.5
F8 S12 Sn4 Sr8,4,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-1.0,3.03,1.0881,1.5,0.5522,3.0,1.2247,5.0
Ni4 Sn4 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.74,0.3377,0.45,0.1929,1.0,0.4714,7.0
Nd4 Pd4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.06,0.4538,0.45,0.2014,3.0,1.4142,7.0
Co6 Ho7 Sn23,3,0.0,0.0,0.0,0.0,0.0,0.1944,0.0,0.0,0.1944,0.1667,-1.6389,0.73,0.2839,0.4,0.132,4.0,1.3202,7.2173913043478262
Pt3 Sm3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.11,0.4665,0.5,0.216,3.0,1.2472,8.0
S4 Sn2 Ta2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.75,1.08,0.4551,0.45,0.225,3.0,1.299,5.0
Ba4 Mg8 Sn8,3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.07,0.4163,0.7,0.2709,3.0,1.2,6.25
B2 Mg1 O6 Sn1,4,0.0,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.0,0.0,-0.8,2.13,0.8086,0.9,0.3393,3.0,0.9165,6.0
Nb1 Ni2 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,0.36,0.1429,0.1,0.05,1.0,0.5,10.0
Li6 Sn6,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.98,0.49,0.0,0.0,3.0,1.5,11.0
Sb4 Sn2 Zn2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,-2.0,0.4,0.1644,0.1,0.0433,1.0,0.433,5.0
Au2 Li2 Sn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.56,0.6438,0.1,0.0471,4.0,1.6997,8.0
Li12 O48 P12 Sn8,4,0.0,0.15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,2.46,0.93,0.85,0.3611,3.0,0.9206,5.0
B2 Ir6 Sn5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,0.0,0.4615,0.3077,0.24,0.1115,0.6,0.2021,4.0,1.3587,8.4000000000000004
Cl6 Sn1 Tl2,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.8889,1.54,0.6789,0.9,0.3742,3.0,1.2862,6.0
Na16 Se40 Sn16,3,0.0,0.2222,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,-1.7778,1.62,0.6476,0.65,0.2633,2.0,0.6667,4.5
Sn4 Sr8,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.4761,0.55,0.2593,0.0,0.0,8.0
Sn1 Te1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-3.0,0.14,0.07,0.05,0.025,0.0,0.0,6.0
O14 Sn4 Sr6,3,0.0,0.0,0.25,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.49,1.0769,1.4,0.6072,3.0,1.479,6.0
Cu4 Mg1 Sn1,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.65,0.2254,0.15,0.0607,2.0,0.5774,16.0
Cu6 S12 Sn3 Sr3,4,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.75,1.63,0.5405,1.0,0.3297,2.0,0.8292,5.0
C1 Ho3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,1.32,0.5357,1.05,0.4069,6.0,2.4,6.0
Au4 Na4 Sn4,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.61,0.6658,0.45,0.1929,3.0,1.2472,7.0
Sn3 Y1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-2.25,0.74,0.3204,0.35,0.1516,0.0,0.0,12.0
Sn2 V6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.75,0.33,0.1429,0.1,0.0433,1.0,0.433,12.0
Sb1 Sn1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-3.5,0.09,0.045,0.0,0.0,0.0,0.0,6.0
C1 Fe3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.4,0.72,0.2796,0.75,0.2857,3.0,0.9798,12.0
Au20 Ca20 Sn20,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.54,0.6351,0.45,0.1929,2.0,0.8165,7.0
La3 Pd3 Sn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,0.3333,1.1,0.4723,0.55,0.2483,3.0,1.4142,8.0
C1 Nd3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,1.41,0.5772,1.15,0.4477,6.0,2.4,6.0
Ag6 Sn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,-0.25,0.03,0.013,0.15,0.065,0.0,0.0,12.0
C1 Mn3 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.4,1.0,0.3926,0.75,0.2857,3.0,0.9798,12.0
Lu4 O14 Sn4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.0,-1.4545,2.17,0.9022,1.15,0.4895,4.0,1.7104,6.0
Cu2 Sm2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.79,0.3591,0.5,0.216,4.0,1.6997,7.0
Ce1 Ni2 Sn2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.2,0.84,0.3268,0.5,0.1855,4.0,1.4697,7.0
Ca1 Na10 Sn12,3,0.0,0.4348,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5652,1.03,0.5115,0.35,0.1748,2.0,0.9741,6.0
La6 Rh8 Sn26,3,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.35,-1.55,1.18,0.3566,0.6,0.191,3.0,1.0712,7.384615384615385
Nb1 Rh1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,0.68,0.2778,0.1,0.0471,0.0,0.0,8.0
Sn12 Sr4,2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1.01,0.4373,0.55,0.2382,0.0,0.0,9.5
O36 P12 Sn4,3,0.0,0.0,0.0,0.6923,0.0,0.0,0.0,0.0,0.0,0.0,-2.3846,1.48,0.606,0.85,0.2601,3.0,0.8427,6.0
C4 Sn2 Ti6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.01,0.4517,0.75,0.3363,3.0,1.118,11.0
