formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
S4 Sr2,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6667,1.63,0.7684,1.0,0.4714,2.0,0.9428,8.0
Ni1 Sn3 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.01,0.3995,0.65,0.2332,1.0,0.4,11.0
O14 P4 Rb4 Sr2,4,0.0,0.1667,0.0833,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.62,1.0929,1.75,0.6891,3.0,1.2555,6.0
C4 Cu4 O20 Sr8,4,0.0,0.0,0.2222,0.5556,0.0,0.0,0.0,0.0,0.0,0.1111,-0.8889,2.49,1.0254,1.4,0.5785,3.0,1.2862,7.75
Bi2 Cu2 Sr2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,1.07,0.4786,0.65,0.2677,2.0,0.8165,13.0
Cs4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.65,1.0628,2.0,0.6687,4.0,1.4142,8.0
Ru4 Sb12 Sr1,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.25,0.275,0.7,0.1519,0.0,0.0,13.0
Ni2 O12 Sc2 Sr6,4,0.0,0.0,0.2727,0.5455,0.0,0.0,0.0,0.0,0.0,0.1818,-0.0909,2.49,1.1325,1.4,0.6197,3.0,1.3361,7.0
Ga2 Na6 P8 Sr6,4,0.0,0.2727,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.5935,1.0,0.4324,2.0,0.8814,8.0
As2 Ni2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.23,0.4543,0.85,0.313,1.0,0.4,15.0
Ge2 Rh2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,1.33,0.493,0.75,0.2835,1.0,0.4899,14.0
Fe2 O12 Sr4 Ta2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.1,2.49,1.0714,1.4,0.5747,4.0,1.5362,8.0
Mg34 Sr4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.36,0.1105,0.5,0.1534,2.0,0.6138,14.5
As6 H2 Sr10,3,0.0,0.0,0.5556,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.25,0.6137,1.75,0.594,4.0,1.2273,7.7999999999999998
In8 Pt2 Sr2,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2.6667,1.33,0.3917,0.65,0.1967,1.0,0.3727,11.0
Cd2 P2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.24,0.4548,1.0,0.3803,2.0,0.9798,8.0
O56 Sr16 V16,3,0.0,0.0,0.1818,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,2.49,1.0544,1.4,0.553,3.0,1.2398,6.75
Dy1 O6 Re1 Sr2,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.1,2.49,1.0982,1.4,0.5997,6.0,2.1071,12.0
Sb12 Sr20,2,0.0,0.0,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,1.1,0.5325,0.55,0.2663,0.0,0.0,7.4000000000000004
Hf4 O12 Sr4,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.49,1.1395,1.4,0.593,4.0,1.7436,7.0
Sr1 Zn5,2,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,2.0,0.7,0.2609,0.65,0.2422,1.0,0.3727,15.0
Cd6 Sb12 Sr11,3,0.0,0.0,0.3793,0.0,0.0,0.0,0.4138,0.0,0.0,0.2069,-0.069,1.1,0.494,0.55,0.2534,0.0,0.0,8.0909090909090917
K4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.62,1.0573,1.6,0.5754,3.0,1.0553,8.0
