formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Mn2 S16 Ta8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.4615,1.08,0.5207,0.45,0.2144,3.0,1.3587,7.0
Ba2 La1 O6 Ta1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.2,0.0,2.55,1.1596,1.55,0.6739,6.0,2.2716,6.0
Ca2 Li2 O10 Ta3,4,0.0,0.1176,0.1176,0.5882,0.0,0.0,0.0,0.0,0.0,0.1765,0.0588,2.46,1.1101,1.2,0.4784,4.0,1.5519,5.333333333333333
Cl120 Ta48,2,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.2857,0.7143,1.66,0.7499,0.45,0.2033,3.0,1.3553,7.0
Fe2 O12 Sr4 Ta2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.1,2.49,1.0714,1.4,0.5747,4.0,1.5362,6.0
Ge4 Ni4 Ta4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,1.0,0.51,0.2207,0.2,0.0816,2.0,0.9428,10.0
Cl16 F4 Ta4,3,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.1667,0.0,2.48,0.7428,0.95,0.2745,4.0,1.2472,6.0
Mn8 Ta4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.05,0.0236,0.05,0.0236,2.0,0.9428,15.0
La4 O16 Ta4,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.3333,0.0,2.34,1.0154,1.35,0.5383,6.0,2.4267,5.0
Cu3 S4 Ta1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,1.08,0.4088,0.45,0.19,3.0,0.9682,7.0
Ni2 Ta2 Te10,3,0.0,0.0,0.0,0.7143,0.0,0.0,0.7143,0.0,0.0,0.2857,-0.4286,0.6,0.2094,0.1,0.0267,2.0,0.5345,8.0
Ba1 La1 O6 Ta1 Zn1,5,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.3,0.0,2.55,1.0731,1.55,0.5903,6.0,2.1541,6.0
H1 Ta2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.0,0.7,0.33,1.2,0.5657,5.0,2.357,5.0
S4 Ta1 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.08,0.4964,0.9,0.4172,3.0,1.5,4.0
O8 Sm2 Ta2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,2.27,0.9969,1.25,0.5083,6.0,2.4267,5.0
La2 O8 Ta2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.3333,0.0,2.34,1.0154,1.35,0.5383,6.0,2.4267,5.0
