formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ga20 O48 Tb12,3,0.0,0.0,0.0,0.6,0.0,0.15,0.0,0.0,0.15,0.0,0.0,3.44,1.2595,1.15,0.4473,6.0,2.1071,8.0
Ge2 Pd2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,2.2,0.8463,0.5,0.1828,4.0,1.4697,16.0
Cu2 Sb4 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,2.05,0.8682,0.4,0.15,4.0,1.5,11.0
Ba2 O6 Tb2,3,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,-0.2,3.44,1.494,1.55,0.6733,6.0,2.5298,6.0
Pt4 Tb8,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.3333,2.6667,2.28,1.0748,0.4,0.1886,2.0,0.9428,7.0
Ge2 Sc2 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.01,0.8375,0.5,0.2095,4.0,1.8856,8.0
Pd3 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,2.2,0.9526,0.35,0.1516,3.0,1.299,12.0
Ba6 O18 Ru4 Tb2,4,0.0,0.0,0.2,0.6,0.0,0.0667,0.0,0.0,0.0667,0.1333,-0.2,3.44,1.2149,1.55,0.6353,6.0,2.0591,6.0
In3 Pd3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,2.2,0.9536,0.35,0.1434,3.0,1.4142,9.0
Cu1 Ge4 O12 Tb2,4,0.0,0.0,0.0,0.6316,0.0,0.1053,0.2105,0.0,0.1053,0.0526,-1.6842,3.44,1.1167,1.15,0.4115,6.0,1.8712,6.0
Cu3 In3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,1.9,0.8688,0.4,0.1633,4.0,1.6997,9.0
C2 Co1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,-0.75,2.55,1.0439,1.05,0.4479,6.0,2.4495,10.0
Cu4 In1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.6667,2.3333,1.9,0.7005,0.4,0.1528,4.0,1.4625,16.0
Cr2 O8 Tb2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,-0.3333,3.44,1.3204,1.15,0.4706,6.0,2.2111,7.0
Tb4 Tl2,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,2.3333,1.62,0.7637,0.15,0.0707,2.0,0.9428,9.5
Ni1 Sb1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.05,0.9351,0.4,0.17,4.0,1.6997,8.0
Ge4 Mn4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,2.01,0.8599,0.5,0.2095,4.0,1.8856,10.0
Ga3 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,1.81,0.7838,0.45,0.1949,4.0,1.7321,12.0
Au1 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,3.0,2.54,1.27,0.4,0.2,2.0,1.0,10.0
O16 Se4 Si4 Tb8,4,0.0,0.0,0.0,0.625,0.0,0.25,0.125,0.0,0.25,0.0,-1.0,3.44,1.4141,1.15,0.4736,6.0,2.4717,7.0
Pd4 Sn4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,2.2,0.9854,0.35,0.1546,3.0,1.4142,10.0
I12 O36 Tb4,3,0.0,0.0,0.0,0.6923,0.2308,0.0769,0.0,0.0,0.0769,0.0,-1.3846,3.44,0.9236,1.15,0.4182,6.0,1.8748,7.0
Si4 Tb4,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,-0.5,1.9,0.95,0.65,0.325,5.0,2.5,8.0
Ga2 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,3.0,1.81,0.8532,0.45,0.2121,4.0,1.8856,13.0
In2 Pd4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,2.6,2.2,1.0208,0.35,0.1568,3.0,1.4697,8.0
As2 O8 Tb2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.1667,0.0,0.1667,0.0,-1.3333,3.44,1.2741,1.15,0.4365,6.0,2.2111,7.0
K18 O42 Si12 Tb6,4,0.0,0.2308,0.0,0.5385,0.0,0.0769,0.1538,0.0,0.0769,0.0,-1.2308,3.44,1.2789,1.6,0.6672,6.0,1.639,6.0
Pd3 Tb3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,2.2,0.931,0.5,0.2095,3.0,1.2472,10.0
N1 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,3.04,1.52,1.1,0.55,6.0,3.0,6.0
Al8 Ni2 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.8333,1.91,0.6319,0.5,0.1826,5.0,1.8257,12.0
Ca2 F12 Tb2,3,0.0,0.0,0.125,0.0,0.75,0.125,0.0,0.0,0.125,0.0,-0.125,3.98,1.5275,1.3,0.5522,6.0,2.0,7.0
Mn4 Tb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.55,0.7307,0.35,0.165,4.0,1.8856,16.0
Ga2 Tb2,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,1.81,0.905,0.45,0.225,4.0,2.0,8.0
S4 Tb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,-0.3333,2.58,1.2162,0.75,0.3536,5.0,2.357,8.0
Bi1 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,2.02,1.01,0.15,0.075,2.0,1.0,6.0
Se2 Tb2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.55,1.275,0.6,0.3,4.0,2.0,4.0
O12 Rh4 Tb4,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.0,3.44,1.3377,1.15,0.4823,6.0,2.4,6.0
Ge4 Ni2 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.75,2.01,0.8569,0.5,0.2062,4.0,1.7321,12.0
Au1 Pb1 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,2.54,1.1511,0.45,0.2014,2.0,0.9428,8.0
Fe4 Tb2 Zn40,3,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.9565,2.0435,1.83,0.3436,0.4,0.0819,4.0,0.8157,13.0
Br2 Tb2,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,2.96,1.48,0.6,0.3,4.0,2.0,7.0
Al3 Si2 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.0,1.0,1.9,0.7889,0.65,0.2605,5.0,2.2588,9.0
Cu4 Tb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.9,0.8957,0.4,0.1886,4.0,1.8856,11.0
B2 Br15 Tb10,3,0.0,0.0,0.0,0.0,0.5556,0.3704,0.0741,0.0,0.3704,0.0,0.7778,2.96,1.3971,0.9,0.3162,6.0,2.1082,6.2000000000000002
Cu4 Ge4 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0,0.2727,0.3636,0.0909,2.01,0.8719,0.5,0.2049,4.0,1.7814,11.0
Al2 Si2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,1.9,0.7139,0.65,0.2396,5.0,2.0,9.0
P8 S32 Tb8,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,-1.3333,2.58,0.9433,0.75,0.2795,5.0,1.8634,7.5
Cd2 Cs2 Se6 Tb2,4,0.0,0.1667,0.0,0.5,0.0,0.1667,0.0,0.0,0.1667,0.1667,-0.0,2.55,0.9904,1.45,0.5199,4.0,1.4625,7.0
O16 Sr4 Tb8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,3.44,1.5732,1.4,0.6152,6.0,2.6419,6.0
C1 Fe2 Si2 Tb2,4,0.0,0.0,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.2857,-0.2857,2.55,0.934,1.05,0.3512,6.0,2.2588,8.0
Al1 C1 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.6,2.55,1.0615,1.05,0.4176,6.0,2.7129,6.0
C10 Tb8,2,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.4444,0.0,-0.8889,2.55,1.2671,1.05,0.5217,6.0,2.9814,6.0
Ag1 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.0,1.93,0.965,0.15,0.075,3.0,1.5,10.0
Ge8 Ir4 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.5,2.2,0.9011,0.5,0.2062,4.0,1.6583,11.5
F24 Li8 Tb4,3,0.0,0.2222,0.0,0.0,0.6667,0.1111,0.0,0.0,0.1111,0.0,-0.1111,3.98,1.5907,1.25,0.5017,6.0,1.8856,7.0
Ag3 Ge3 Tb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.0,2.01,0.9292,0.5,0.2095,4.0,1.6997,10.0
Co4 Tb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.88,0.8862,0.4,0.1886,4.0,1.8856,16.0
O6 Tb4,2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,3.44,1.6852,1.15,0.5634,6.0,2.9394,6.0
