formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Tc1 Ti1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.36,0.18,0.05,0.025,1.0,0.5,10.0
Co4 O8 Tc2,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,1.56,0.7687,0.75,0.3712,3.0,1.1952,6.0
P12 Tc8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,0.29,0.1421,0.35,0.1715,2.0,0.9798,7.0
Pu4 Si8 Tc6,3,0.2222,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.2222,0.3333,0.4444,0.62,0.2578,0.65,0.2507,6.0,2.3094,7.0
K2 O8 Tc2,3,0.0,0.1667,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,-0.5,2.62,1.0289,1.6,0.6058,3.0,1.2134,4.0
P12 Tc4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-1.25,0.29,0.1256,0.35,0.1516,2.0,0.866,6.0
F24 O16 Tc8,3,0.0,0.0,0.0,0.3333,0.5,0.0,0.0,0.0,0.0,0.1667,-0.5,2.08,0.7355,0.85,0.3052,3.0,1.118,5.0
O28 Tc8,2,0.0,0.0,0.0,0.7778,0.0,0.0,0.0,0.0,0.0,0.2222,-0.6667,1.54,0.6402,0.75,0.3118,3.0,1.2472,4.0
Tc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Si20 Tc12 U8,3,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.3,0.4,0.52,0.208,0.65,0.2474,6.0,2.2716,7.333333333333333
Al12 Tc2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,3.1429,0.29,0.1015,0.1,0.035,2.0,0.6999,9.0
Cl6 K2 Tc1,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,0.0,2.34,0.9786,1.2,0.4901,2.0,0.6849,6.0
Ag2 O8 Tc2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.5,1.54,0.7189,1.0,0.4187,3.0,1.4142,4.0
Cs4 O16 Tc4,3,0.0,0.1667,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,-0.5,2.65,1.0383,2.0,0.7419,4.0,1.675,4.0
Hf1 Tc1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.6,0.3,0.2,0.1,1.0,0.5,10.0
O3 Sr1 Tc1,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.49,1.0318,1.4,0.5653,3.0,1.4697,6.0
P32 Tc8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,0.29,0.116,0.35,0.14,2.0,0.8,6.0
Tc1 V1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.27,0.135,0.0,0.0,1.0,0.5,10.0
