formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Lu1 Te1,2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.83,0.415,0.35,0.175,1.0,0.5,6.0
Bi6 Te6,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.08,0.04,0.2,0.1,1.0,0.5,6.0
Pr2 Rb2 Te8,3,0.0,0.1667,0.0,0.6667,0.0,0.1667,0.6667,0.0,0.1667,0.0,-0.6667,1.28,0.5378,0.95,0.3602,3.0,1.118,5.0
Co4 O12 Te4,3,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.2,-1.2,1.56,0.7138,0.8,0.38,3.0,1.2649,5.0
Ge1 Sb4 Te7,3,0.0,0.0,0.0,0.5833,0.0,0.0,1.0,0.0,0.0,0.0,-2.5,0.09,0.0304,0.2,0.0519,1.0,0.2764,6.1428571428571432
Sn1 Te1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-3.0,0.14,0.07,0.05,0.025,0.0,0.0,10.0
Sn8 Te24 Tl16,3,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-1.3333,0.48,0.2155,0.5,0.2305,1.0,0.4714,5.333333333333333
Cs4 Mn2 Sn2 Te8,4,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,-1.0,1.31,0.546,1.2,0.5163,2.0,0.5995,5.0
Te2,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Hg12 I8 Te8,3,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.0,0.0,0.4286,-0.4286,0.66,0.2831,0.1,0.0495,1.0,0.4949,5.0
P1 Te2 Zr2,3,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.86,0.3933,0.55,0.2015,2.0,0.8,7.0
Te2 Tm2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.85,0.425,0.35,0.175,3.0,1.5,7.0
K12 Mn2 Te8,3,0.0,0.5455,0.0,0.3636,0.0,0.0,0.3636,0.0,0.0,0.0909,0.0,1.28,0.6012,0.8,0.3983,1.0,0.481,5.0
Ni2 Ta2 Te10,3,0.0,0.0,0.0,0.7143,0.0,0.0,0.7143,0.0,0.0,0.2857,-0.4286,0.6,0.2094,0.1,0.0267,2.0,0.5345,6.4000000000000004
Br18 Te2 W2,3,0.0,0.0,0.0,0.0909,0.8182,0.0,0.0909,0.0,0.0,0.0909,-0.6364,0.86,0.287,0.25,0.0874,2.0,0.6166,5.0
Ge4 Nb8 Te16,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.7143,0.0,0.0,0.2857,-0.2857,0.5,0.2199,0.2,0.0623,1.0,0.3499,8.0
Mn4 Te8,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.3333,-0.6667,0.55,0.2593,0.0,0.0,1.0,0.4714,6.0
Nd2 S2 Te1,3,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.4,0.0,0.0,1.44,0.6511,0.85,0.3803,5.0,2.245,9.0
Bi2 Se2 Te1,3,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.53,0.2483,0.45,0.2015,2.0,0.8944,7.0
Ge2 Te2 U2,3,0.3333,0.0,0.0,0.3333,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.72,0.3203,0.5,0.2095,5.0,2.1602,8.0
K6 Si2 Te6,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.5714,0.0,0.0,0.0,-1.0,1.28,0.6122,1.1,0.444,2.0,0.6999,5.0
S4 Te4 U4,3,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.3333,0.0,0.6667,1.2,0.4932,0.75,0.3064,6.0,2.4944,10.0
Bi1 I1 Te1,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.64,0.2847,0.2,0.0943,1.0,0.4714,6.0
Sr1 Te1,2,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.15,0.575,0.6,0.3,0.0,0.0,6.0
Mn4 O20 Te8,3,0.0,0.0,0.0,0.875,0.0,0.0,0.25,0.0,0.0,0.125,-1.5,1.89,0.7544,0.8,0.3873,3.0,1.3229,5.0
As2 Np2 Te2,3,0.3333,0.0,0.0,0.3333,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.82,0.3691,0.6,0.2461,5.0,2.1602,8.0
K8 Te12 Zr4,3,0.0,0.3333,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.1667,0.0,1.28,0.5805,0.8,0.3633,1.0,0.4714,6.0
Rb2 Te12,2,0.0,0.1429,0.0,0.8571,0.0,0.0,0.8571,0.0,0.0,0.0,-1.5714,1.28,0.4479,0.95,0.3324,0.0,0.0,5.0
Al4 K12 Te12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,1.28,0.5948,0.95,0.4174,2.0,0.6999,5.0
Cl4 Hg6 Te4,3,0.0,0.0,0.0,0.2857,0.2857,0.0,0.2857,0.0,0.0,0.4286,-0.4286,1.16,0.5077,0.5,0.2119,3.0,1.2454,5.0
Cl2 Rh2 Te2,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.3333,0.0,1.06,0.4631,0.4,0.178,2.0,0.9428,6.0
Rb6 Te6,2,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,1.28,0.64,0.95,0.475,0.0,0.0,5.0
I4 Nb8 Te24,3,0.0,0.0,0.0,0.6667,0.1111,0.0,0.6667,0.0,0.0,0.2222,-0.3333,1.06,0.2967,0.05,0.0208,0.0,0.0,7.0
Ag2 Ba2 Te6 Y2,4,0.0,0.0,0.1667,0.5,0.0,0.0,0.5,0.0,0.0,0.3333,0.0,1.21,0.4858,0.75,0.2765,1.0,0.3727,6.0
O24 Te4 Y8,3,0.0,0.0,0.0,0.7778,0.0,0.0,0.1111,0.0,0.0,0.2222,-0.8889,2.22,0.9393,1.2,0.5145,3.0,1.4142,6.0
Br4 Cu4 Te8,3,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.25,-0.75,1.06,0.4095,0.25,0.1031,1.0,0.5,5.0
Sb2 Sn1 Te4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.8571,0.0,0.0,0.0,-2.5714,0.14,0.0484,0.05,0.0247,0.0,0.0,6.0
K1 Sm1 Te2,3,0.0,0.25,0.0,0.5,0.0,0.25,0.5,0.0,0.25,0.0,0.0,1.28,0.5662,0.8,0.3361,4.0,1.5,6.0
Pt3 Te4,2,0.0,0.0,0.0,0.5714,0.0,0.0,0.5714,0.0,0.0,0.4286,-0.2857,0.18,0.0891,0.05,0.0247,1.0,0.4949,6.0
Cd1 Ga2 Te4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.41,0.1675,0.25,0.0776,1.0,0.4518,4.0
Ba4 Te16 Tm8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.5714,0.0,0.2857,0.0,0.0,1.21,0.4927,0.75,0.2692,3.0,1.3093,6.0
K1 Nd1 Te2,3,0.0,0.25,0.0,0.5,0.0,0.25,0.5,0.0,0.25,0.0,0.0,1.28,0.5713,0.8,0.3361,4.0,1.5,6.0
K1 Pr1 Te2,3,0.0,0.25,0.0,0.5,0.0,0.25,0.5,0.0,0.25,0.0,0.0,1.28,0.5731,0.8,0.3361,4.0,1.5,6.0
Li2 Te1,2,0.0,0.6667,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.12,0.528,0.05,0.0236,3.0,1.4142,8.0
